Species	Strain	Source_ID	Temp
Bordetella bronchiseptica	Dog 71	NCTC 452	37
Bordetella bronchiseptica	Rabbit 72	NCTC 454	37
Bordetella bronchiseptica	Ferret 1	NCTC 455	37
Bordetella bronchiseptica	Monkey 21	NCTC 456	37
Bordetella bronchiseptica	Man 1	NCTC 458	37
Clostridium tetanomorphum	146 TBI	NCTC 500	37
Clostridium septicum	GC 186	NCTC 501	37
Clostridium histolyticum	Weinberg	NCTC 503	37
Clostridium septicum	141	NCTC 504	37
Clostridium sporogenes	208	NCTC 505	37
Clostridium bifermentans	FI	NCTC 506	37
Clostridium sphenoides	Thorlby	NCTC 507	37
Mycobacterium smegmatis	New York	NCTC 523	37
Mycobacterium phlei	Hay	NCTC 525	30
Clostridium sporogenes	SR 5	NCTC 532	37
Clostridium sporogenes	Conradi	NCTC 534	37
Clostridium novyi	Jolly	NCTC 538	37
Clostridium tetani	R 220 E	NCTC 539	37
Clostridium tetani	T 67	NCTC 540	37
Clostridium tertium	P II Col 54	NCTC 541	37
Clostridium tetanomorphum	259 E. III	NCTC 543	37
Clostridium septicum	Pasteur III	NCTC 547	37
Clostridium septicum	R Past I	NCTC 549	37
Clostridium septicum	VFS Milk IV	NCTC 550	37
Clostridium septicum	Prior	NCTC 551	37
Streptomyces sp.	Horton	NCTC 600	30
Micrococcus luteus	Thaysen	NCTC 611	37
Salmonella enterica subsp. enterica serotype enteritidis	Liverpool virus	NCTC 618	37
Brucella abortus	English strain 8	NCTC 624	37
Alcaligenes faecalis	Lister	NCTC 655	37
Enterococcus durans	Thaysen II	NCTC 662	37
Propionibacterium acnes	Ponsonby	NCTC 737	37
Clostridium botulinum	X	NCTC 751	37
Corynebacterium striatum	Minnett (AL)	NCTC 764	37
Enterococcus faecalis	Tissier	NCTC 775	37
Salmonella enterica subsp. enterica serotype typhi	Johns Hopkins	NCTC 779	37
Salmonella enterica subsp. enterica serotype typhi	Lister (CN 6236)	NCTC 786	37
Erysipelothrix rhusiopathiae	Topley A	NCTC 807	37
Yersinia pseudotuberculosis	Stockholm	NCTC 824	37
Corynebacterium diphtheriae biovar belfanti	Horse D 34	NCTC 854	37
Clostridium botulinum	38	NCTC 887	37
Pseudomonas putida	Urine	NCTC 912	30
Bacillus mycoides	CR ii Rothamsted	NCTC 926	37
Corynebacterium segmentosum	Graham	NCTC 934	37
Mycobacterium chelonae subsp. chelonae	Friedmann	NCTC 946	30
Pasteurella multocida	Mouse	NCTC 948	37
Corynebacterium kutscheri	Mouse	NCTC 949	37
Pseudomonas aeruginosa	0 45	NCTC 950	30
Bacillus licheniformis	Chapman	NCTC 962	37
Micrococcus lylae	Ropy Milk	NCTC 963	37
Bacillus licheniformis	BI	NCTC 1024	37
Bacillus licheniformis	C III	NCTC 1025	37
Paenibacillus macerans	234A	NCTC 1068	37
Actinomadura madurae	Madura foot	NCTC 1070	37
Streptococcus anginosus	van Sickle	NCTC 1080	37
Escherichia coli	5288 Haemolytic (coli III) Bacterium communis	NCTC 1093	37
Bacillus licheniformis	Potato	NCTC 1097	37
Yersinia pseudotuberculosis	Postollea	NCTC 1101	37
Yersinia pseudotuberculosis	Pfaff	NCTC 1102	37
Yersinia pseudotuberculosis	Schnurer II	NCTC 1103	37
Yersinia pseudotuberculosis	Schnurer III	NCTC 1104	37
Pasteurella multocida	Mouse 49	NCTC 1140	37
Erysipelothrix rhusiopathiae	Wragge	NCTC 1224	37
Pasteurella multocida	Bov Pn I	NCTC 1287	37
Bacillus anthracis	Fildes	NCTC 1328	37
Clostridium bifermentans	70	NCTC 1340	37
Clostridium bifermentans	116	NCTC 1341	37
Comamonas terrigena	Bedson	NCTC 1347	37
Serratia marcescens	Delft 137	NCTC 1377	37
Corynebacterium kutscheri	Browning	NCTC 1386	37
Lactobacillus plantarum	Type 1	NCTC 1406	37
Lactobacillus odontolyticus	Type 2	NCTC 1407	37
Brucella abortus	Weybridge IV	NCTC 1478	37
Corynebacterium dihptheriae var intermedius	55	NCTC 1523	37
Mycobacterium fortuitum	Cobbett	NCTC 1542	37
Escherichia coli	Towne	NCTC 1601	37
Micrococcus sp.	Thaysen	NCTC 1630	37
Kocuria varians	Milk	NCTC 1631	27
Haemophilus haemoglobinophilus	XIII	NCTC 1659	37
Burkholderia pseudomallei	Rat	NCTC 1688	37
Erysipelothrix rhusiopathiae	Aberdeen	NCTC 1694	37
Bordetella bronchiseptica	Rahmen 78	NCTC 1704	37
Morganella morganii	Palestine I	NCTC 1707	37
Lactobacillus acidophilus	4 B	NCTC 1723	37
Pasteurella multocida	Gaiger	NCTC 1737	37
Yersinia pseudotuberculosis	C 8	NCTC 1779	37
Staphylococcus aureus	Gaiger	NCTC 1803	37
Pasteurella multocida	01316	NCTC 1876	37
Pasteurella multocida	08366	NCTC 1877	37
Lactobacillus acidophilus	2	NCTC 1899	37
Nocardia otitidiscaviarum	Noc II Sumatra	NCTC 1934	37
Nocardia farcinica	Noc I Sumatra	NCTC 1935	37
Klebsiella pneumoniae subsp. rhinoscleromatis	5 Sumatra	NCTC 1936	37
Comamonas terrigena	Mudd	NCTC 1937	37
Pseudomonas aeruginosa	Fildes III	NCTC 1999	30
Pseudomonas aeruginosa	Eyre I	NCTC 2000	37
Mycobacterium fortuitum	Terrapin C 3	NCTC 2006	30
Clostridium botulinum	Loch Maree	NCTC 2012	37
Yersinia pestis	Java	NCTC 2028	37
Bacillus licheniformis	ATCC 8187	NCTC 2120	37
Streptococcus pyogenes	SF 3	NCTC 2218	37
Salmonella enterica subsp. enterica serotype thompson	Thompson	NCTC 2252	37
Mycobacterium fortuitum	Halibut	NCTC 2291	37
Streptococcus pyogenes	E 3	NCTC 2366	37
Enterococcus faecalis	Rettger	NCTC 2400	37
Pasteurella multocida	Rabbit 105	NCTC 2417	37
Erysipelothrix rhusiopathiae	Solly	NCTC 2422	37
Serratia marcescens	233925	NCTC 2446	37
Yersinia pseudotuberculosis	Turkey 324	NCTC 2477	30
Pasteurella multocida	Hen 1330	NCTC 2479	37
Providencia rustigianii	Braun	NCTC 2481	37
Pasteurella multocida	Guinea-pig	NCTC 2484	37
Clostridium perfringens	Steele Col 5	NCTC 2544	37
Bacillus pumilus	Ford 9	NCTC 2595	37
Bacillus pumilus	Ford 10A	NCTC 2596	37
Bacillus cereus	Gibson 971	NCTC 2599	37
Bacillus cereus	Ford 17	NCTC 2603	37
Bacillus sphaericus	Ford 24D	NCTC 2608	37
Bacillus sphaericus	Ford 25	NCTC 2609	37
Bacillus circulans	Ford 26	NCTC 2610	37
Brevibacillus brevis	Ford 27B	NCTC 2611	37
Brevibacillus laterosporus	Ford 29	NCTC 2613	37
Bacillus anthracis	Hankow hide	NCTC 2620	37
Micrococcus luteus	2665	NCTC 2665	37
Staphylococcus aureus	Bundaberg	NCTC 2669	37
Shigella sp.	Gettings bacillus	NCTC 2670	37
Kocuria rosea	ATCC 998	NCTC 2676	37
Enterococcus faecalis	Hucker 15	NCTC 2705	37
Pasteurella multocida	5985	NCTC 2771	37
Morganella morganii	Green-billed toucan	NCTC 2815	37
Morganella morganii	Pine Snake, 1	NCTC 2818	37
Clostridium perfringens	13 Zeissler	NCTC 2836	37
Serratia marcescens	K 5	NCTC 2847	37
Yersinia pestis	Bombay 1	NCTC 2868	30
Mycobacterium fortuitum	2891	NCTC 2891	30
Proteus mirabilis	Minced heart	NCTC 2896	37
Clostridium novyi	Hall 140	NCTC 2908	37
Clostridium cochlearium	446 Ivan Hall	NCTC 2909	37
Clostridium bifermentans	50	NCTC 2914	37
Clostridium histolyticum	290	NCTC 2915	37
Clostridium botulinum	2447	NCTC 2916	37
Clostridium tertium	2787 Ba	NCTC 2917	37
Clostridium tetani	1171	NCTC 2918	37
Clostridium tetani	TenBroeck Type I	NCTC 2933	37
Clostridium tetani	TenBroeck Type II	NCTC 2934	37
Clostridium tetani	TenBroeck Type III	NCTC 2935	37
Clostridium tetani	TenBroeck Type IV	NCTC 2936	37
Clostridium tetani	TenBroeck Type V	NCTC 2937	37
Clostridium tetani	TenBroeck Type VI	NCTC 2938	37
Lactobacillus acidophilus	Cruickshank V. 3	NCTC 2949	37
Shigella dysenteriae	Monkey 68	NCTC 2966	37
Actinomadura pelletieri	Cullen	NCTC 3026	37
Salmonella enterica subsp. enterica serotype enteritidis	OG1	NCTC 3045	37
Salmonella sp.	HG 3	NCTC 3046	37
Salmonella enterica subsp. enterica serotype typhimurium	Glasgow H (CN 412)	NCTC 3048	37
Salmonella enterica subsp. enterica serotype anatum	C 5	NCTC 3072	37
Clostridium perfringens		NCTC 3110	37
Brucella suis	519	NCTC 3142	37
Brucella suis	530	NCTC 3143	37
Salmonella enterica subsp. enterica serotype senftenberg	734 (CN 6650)	NCTC 3158	37
Streptococcus gordonii	Pyorrhoea	NCTC 3165	37
Streptococcus sanguinis	I	NCTC 3166	37
Streptococcus sanguinis	Green spreader	NCTC 3168	37
Salmonella enterica subsp. enterica serotype paratyphi b	HB 2	NCTC 3176	37
Proteus mirabilis	Calf	NCTC 3177	37
Clostridium perfringens	CT 47	NCTC 3182	37
Neisseria flavescens	156	NCTC 3191	37
Pasteurella multocida	HS	NCTC 3195	37
Corynebacterium bovis	Evans	NCTC 3224	37
Achromobacter sp.	ATCC 337	NCTC 3233	37
Streptomyces somaliensis	IX	NCTC 3236	30
Klebsiella aerogenes	Biberratte	NCTC 3279	37
Paenibacillus alvei	127	NCTC 3324	37
Paenibacillus alvei	179	NCTC 3349	37
Streptococcus pyogenes	Dochez	NCTC 3359	37
Actinobacillus equuli	Foal	NCTC 3365	37
Neisseria meningitidis	Ipswich 2	NCTC 3372	37
Neisseria meningitidis	Sixsmith	NCTC 3375	37
Salmonella enterica subsp. enterica serotype eastbourne	Indole positive	NCTC 3378	37
Salmonella enterica subsp. enterica serotype typhi	S	NCTC 3390	37
Avibacterium volantium	6	NCTC 3438	37
Corynebacterium pseudotuberculosis	E 23	NCTC 3450	37
Corynebacterium diphtheriae	5036	NCTC 3529	37
Corynebacterium diphtheriae	1243	NCTC 3544	37
Yersinia pseudotuberculosis	Elstree	NCTC 3569	37
Yersinia pseudotuberculosis	Monkey 155	NCTC 3571	37
Bacillus subtilis	Marburg	NCTC 3610	37
Moraxella (branhamella) catarrhalis	O	NCTC 3622	37
Moraxella (branhamella) catarrhalis	4	NCTC 3623	37
Moraxella (branhamella) catarrhalis	3	NCTC 3625	37
Mycobacterium fortuitum	Cow 18	NCTC 3631	30
Corynebacterium kutscheri	Rat	NCTC 3655	37
Neisseria flavescens	409	NCTC 3656	37
Vibrio cholerae	Doorenbos 80	NCTC 3661	37
Burkholderia mallei	102	NCTC 3708	37
Burkholderia mallei	106	NCTC 3709	37
Staphylococcus aureus	Mrs Fox	NCTC 3750	37
Pseudomonas fluorescens	Spiers	NCTC 3756	30
Staphylococcus aureus	A gamma	NCTC 3761	37
Clostridium tetani	T 52 (0 form) TenBroeck Type VI	NCTC 3795	37
Serratia marcescens	Munro	NCTC 3804	37
Clostridium botulinum	62	NCTC 3805	37
Clostridium botulinum	97	NCTC 3806	37
Clostridium botulinum	115	NCTC 3807	37
Clostridium botulinum	6B Nevin	NCTC 3815	37
Mycobacterium smegmatis	179 Mist Bacillus	NCTC 3820	37
Mycobacterium smegmatis	ATCC 281 Moellers Mist Bacillus	NCTC 3821	30
Streptococcus uberis	Diernhofer	NCTC 3858	37
Kocuria rosea	Chapman	NCTC 3874	37
Corynebacterium diphtheriae	467 E	NCTC 3984	37
Corynebacterium diphtheriae	Withey	NCTC 3985	37
Corynebacterium diphtheriae	Hull 333	NCTC 3986	37
Corynebacterium diphtheriae	SDS 108	NCTC 3987	37
Corynebacterium diphtheriae	Hull 338	NCTC 3988	37
Corynebacterium diphtheriae	460	NCTC 3989	37
Corynebacterium diphtheriae	911	NCTC 3990	37
Bacillus coagulans	Tomato	NCTC 3991	37
Bacillus coagulans	Berry	NCTC 3992	37
Bacillus coagulans	Berry	NCTC 3993	37
Streptococcus pyogenes	Aronson (Schitzer)	NCTC 4001	37
Avibacterium endocarditidis	1	NCTC 4101	37
Moraxella (branhamella) catarrhalis	Chatham	NCTC 4103	37
Staphylococcus warneri	3	NCTC 4133	37
Staphylococcus aureus	42	NCTC 4135	37
Staphylococcus aureus	95	NCTC 4136	37
Staphylococcus aureus	135	NCTC 4137	37
Actinomadura pelletieri	Naudi	NCTC 4162	37
Staphylococcus aureus	Insecticide	NCTC 4163	37
Escherichia coli	Fikri	NCTC 4168	37
Escherichia coli	Davis	NCTC 4174	37
Proteus vulgaris	Lehmann	NCTC 4175	37
Actinobacillus lignieresii	1	NCTC 4189	37
Actinobacillus lignieresii	33	NCTC 4191	37
Proteus mirabilis	Monkey 3	NCTC 4199	37
Staphylococcus haemolyticus	7516-C	NCTC 4276	37
Kocuria varians	M 1/4	NCTC 4285	37
Erysipelothrix rhusiopathiae	Topley B	NCTC 4304	37
Corynebacterium diphtheriae var intermedius	PW 8 (110)	NCTC 4305	37
Streptococcus dysgalactiae subsp. dysgalactiae	N 35	NCTC 4335	37
Micrococcus luteus	C 7603	NCTC 4351	37
Kocuria varians	6784c	NCTC 4355	37
Salmonella enterica subsp. enterica serotype enteritidis	Ratin 688	NCTC 4444	37
Escherichia coli	Julian	NCTC 4450	37
Brucella abortus	Canti	NCTC 4487	37
Brucella suis	P 16	NCTC 4490	37
Actinomyces bovis	D 121	NCTC 4500	37
Actinomyces bovis	D 127	NCTC 4502	37
Lactobacillus acidophilus	Cruickshank 2	NCTC 4504	37
Streptomyces sp.	Pollacci	NCTC 4518	37
Streptomyces griseus	ATCC 3311	NCTC 4523	37
Streptomyces hominis	ATCC 3008	NCTC 4525	30
Streptococcus sp.	Azgazardah	NCTC 4540	37
Bacillus alcalophilus	1	NCTC 4553	37
Haemophilus parasuis	1374	NCTC 4557	37
Haemophilus influenzae	RAMC 18 Biotype III	NCTC 4560	37
Clostridium botulinum	Lederle	NCTC 4587	37
Neisseria pharyngis	Fleming 1	NCTC 4590	37
Neisseria maccae	Fleming 6	NCTC 4591	37
Serratia marcescens	MEC	NCTC 4618	37
Serratia marcescens	Lasseur	NCTC 4619	37
Proteus vulgaris	O X L (Felix)	NCTC 4635	37
Proteus vulgaris	H X L (Felix)	NCTC 4636	37
Corynebacterium pseudotuberculosis	2	NCTC 4655	37
Corynebacterium pseudotuberculosis	3	NCTC 4656	37
Corynebacterium pseudotuberculosis	4	NCTC 4657	37
Streptococcus dysgalactiae subsp. dysgalactiae	S 32	NCTC 4669	37
Streptococcus dysgalactiae subsp. dysgalactiae	N 33	NCTC 4670	37
Streptococcus dysgalactiae subsp. dysgalactiae	S 54	NCTC 4671	37
Streptococcus uberis	S 51	NCTC 4672	37
Streptococcus uberis	N 20	NCTC 4673	37
Streptococcus uberis	N 29	NCTC 4674	37
Streptococcus equi subsp. zooepidemicus	S 55	NCTC 4675	37
Streptococcus equi subsp. zooepidemicus	S 34	NCTC 4676	37
Streptococcus sp.	T 7	NCTC 4678	37
Corynebacterium pseudotuberculosis	B 65	NCTC 4681	37
Corynebacterium pseudotuberculosis	B 68	NCTC 4683	37
Corynebacterium pseudotuberculosis	Soil	NCTC 4691	37
Vibrio cholerae	Japanese, original	NCTC 4693	37
Vibrio cholerae non 0:1	Nanking 32/123	NCTC 4711	37
Vibrio cholerae non o:1	El Tor 34-D 19	NCTC 4714	37
Vibrio cholerae non 0:1	El Tor 34-D 23	NCTC 4715	37
Vibrio cholerae non 0:1	KASAULI 73	NCTC 4716	37
Clostridium putrificum	Wound	NCTC 4718	37
Shigella flexneri	Denton 1	NCTC 4720	37
Streptococcus sp.	Motile	NCTC 4725	37
Kocuria varians	Rex	NCTC 4736	37
Paenibacillus macerans	Porter	NCTC 4743	37
Paenibacillus polymyxa	Pribram	NCTC 4744	37
Paenibacillus polymyxa	Porter	NCTC 4747	37
Salmonella enterica subsp. enterica serotype enteritidis	450	NCTC 4776	37
Salmonella enterica subsp. enterica serotype enteritidis	4777 451 9, 12:g, m:-	NCTC 4777	37
Salmonella enterica subsp. enterica serotype typhimurium	1810 0-form	NCTC 4782	37
Salmonella enterica subsp. enterica serotype eastbourne	Indole negative	NCTC 4785	37
Bacillus carotarum	G 21	NCTC 4821	37
Bacillus freudenreichii	Gibson 68	NCTC 4823	37
Bacillus lentus	Gibson 165	NCTC 4824	37
Bacillus loehnisii	97	NCTC 4825	37
Shigella dysenteriae	Newcastle 1934	NCTC 4837	37
Salmonella enterica subsp. enterica serotype poona	Dunbar	NCTC 4840	37
Haemophilus influenzae	AF Biotype III	NCTC 4842	37
Burkholderia pseudomallei	S 397	NCTC 4845	37
Burkholderia pseudomallei	S 396	NCTC 4846	37
Actinomyces israelii	Hillier	NCTC 4860	37
Listeria monocytogenes	Fowl 5443	NCTC 4883	37
Listeria monocytogenes	OBrien	NCTC 4885	37
Listeria monocytogenes	Nurse 1933	NCTC 4886	37
Clostridium perfringens	Wilsdon Type B E?	NCTC 4964	37
Salmonella enterica subsp. enterica serotype senftenberg	5765-1	NCTC 4969	37
Actinobacillus lignieresii	CM 1	NCTC 4975	37
Actinobacillus lignieresii	CM 2	NCTC 4976	37
Actinobacillus lignieresii	Sen	NCTC 4985	37
Corynebacterium diphtheriae	207 N	NCTC 5002	37
Corynebacterium diphtheriae	1195	NCTC 5003	37
Corynebacterium diphtheriae	18T	NCTC 5004	37
Corynebacterium diphtheriae	238 N 1	NCTC 5005	37
Corynebacterium diphtheriae	840	NCTC 5007	37
Corynebacterium diphtheriae	1228	NCTC 5008	37
Corynebacterium diphtheriae	1230	NCTC 5009	37
Corynebacterium diphtheriae	238 N2	NCTC 5010	37
Corynebacterium diphtheriae	1286	NCTC 5011	37
Corynebacterium diphtheriae	246	NCTC 5012	37
Corynebacterium diphtheriae	351	NCTC 5013	37
Corynebacterium diphtheriae	230	NCTC 5014	37
Klebsiella pneumoniae subsp. rhinoscleromatis	R 70	NCTC 5046	37
Klebsiella pneumoniae subsp. rhinoscleromatis	R 73	NCTC 5047	37
Klebsiella pneumoniae subsp. rhinoscleromatis	R 81	NCTC 5048	37
Klebsiella pneumoniae subsp. ozaenae	O 3	NCTC 5050	37
Klebsiella pneumoniae sensu stricto	O 45	NCTC 5051	37
Klebsiella pneumoniae subsp. ozaenae	0 30	NCTC 5052	37
Klebsiella pneumoniae subsp. ozaenae	0 45	NCTC 5053	37
Klebsiella pneumoniae	F 9	NCTC 5055	37
Klebsiella pneumoniae	F 10	NCTC 5056	37
Klebsiella pneumoniae sensu stricto	F 1 a	NCTC 5057	37
Brucella abortus	Ast 325	NCTC 5059	37
Brucella suis	P 1	NCTC 5061	37
Pseudomonas aeruginosa	Dukes C.	NCTC 5083	37
Salmonella enterica subsp. enterica serotype typhisuis	538	NCTC 5096	37
Listeria monocytogenes	GPMH	NCTC 5105	37
Shigella dysenteriae	9 D 36	NCTC 5109	37
Shigella dysenteriae	25 D 36	NCTC 5110	37
Streptococcus pyogenes	NY 5 Bergey	NCTC 5163	37
Streptococcus pyogenes	NY 5 Wadsworth	NCTC 5164	37
Dermatophilus congolensis	Str 11	NCTC 5175	37
Escherichia alkalescens	Wood	NCTC 5183	37
Salmonella enterica subsp. enterica serotype enteritidis	5188 Menendez 245	NCTC 5188	37
Listeria monocytogenes	101	NCTC 5214	37
Trueperella pyogenes	Carne 84	NCTC 5224	37
Arcanobacterium pyogenes	Carne 85	NCTC 5225	37
Streptococcus sp.	Turner	NCTC 5338	37
Listeria monocytogenes	Gibson	NCTC 5348	37
Salmonella enterica subsp. enterica serotype choleraesuis	Penang 306	NCTC 5364	37
Streptococcus dysgalactiae subsp. equisimilis	Niel	NCTC 5370	37
Streptococcus dysgalactiae subsp. equisimilis	Angel	NCTC 5371	37
Streptococcus sp.	Low Acid	NCTC 5385	37
Streptococcus sp.	Colebrook	NCTC 5386	37
Streptococcus sp.	OMahoney	NCTC 5389	37
Vibrio cholerae	Iraq	NCTC 5395	37
Bacillus subtilis	Parry 1	NCTC 5398	37
Bacillus licheniformis	Parry 2	NCTC 5399	37
Clostridium tetani	TM2	NCTC 5404	37
Clostridium tetani	TH 20	NCTC 5405	37
Clostridium tetani	TM 3	NCTC 5408	37
Clostridium tetani	Tulloch	NCTC 5410	37
Clostridium tetani	TM 5	NCTC 5411	37
Clostridium tetani	TH 2	NCTC 5413	37
Bacillus anthracis	St. Marys	NCTC 5444	37
Vibrio cholerae	Shanghai 10	NCTC 5596	37
Bacillus megaterium	386	NCTC 5635	37
Bacillus megaterium	659	NCTC 5637	37
Actinomadura madurae	Aden	NCTC 5654	37
Staphylococcus aureus	30/30	NCTC 5655	37
Staphylococcus aureus	37 Belgium	NCTC 5656	37
Staphylococcus aureus	Barrs Canada	NCTC 5657	37
Staphylococcus aureus	24 Canada	NCTC 5658	37
Staphylococcus aureus	32 Australia	NCTC 5660	37
Staphylococcus pseudintermedius	D4	NCTC 5661	37
Staphylococcus aureus	Williams Australia	NCTC 5662	37
Staphylococcus aureus	B Sweden	NCTC 5663	37
Staphylococcus aureus	Y2 Sweden	NCTC 5664	37
Salmonella enterica subsp. enterica serotype enteritidis	5694 Mouse-virulent 9, 12:g, m:-	NCTC 5694	37
Salmonella enterica subsp. enterica serotype paratyphi a	1015 (K1)	NCTC 5702	37
Salmonella enterica subsp. enterica serotype paratyphi b	8006 (K3)	NCTC 5704	37
Salmonella enterica subsp. enterica serotype paratyphi b	6617 (K4)	NCTC 5705	37
Salmonella enterica subsp. enterica serotype java	K 5 (CN 1137)	NCTC 5706	37
Salmonella enterica subsp. enterica serotype paratyphi b	K6	NCTC 5707	37
Salmonella enterica subsp. enterica serotype paratyphi b	8085 (K7)	NCTC 5708	37
Salmonella enterica subsp. enterica serotype paratyphi b	5709 9864 (K8) 1, 4, 12:b:1, 2	NCTC 5709	37
Salmonella enterica subsp. enterica serotype typhimurium	1406 (K 9)	NCTC 5710	37
Salmonella enterica subsp. enterica serotype typhimurium	4066 (K 10)	NCTC 5711	37
Salmonella enterica subsp. enterica serotype typhimurium	659 (K 11)	NCTC 5712	37
Salmonella enterica subsp. enterica serotype typhimurium	3146 (K 12)	NCTC 5713	37
Salmonella enterica subsp. enterica serotype typhimurium	3173 (K 13)	NCTC 5714	37
Salmonella enterica subsp. enterica serotype typhimurium	10953 (K 14)	NCTC 5715	37
Salmonella enterica subsp. enterica serotype stanley	7855 (K 15)	NCTC 5716	37
Salmonella enterica subsp. enterica serotype heidelberg	K 16	NCTC 5717	37
Salmonella enterica subsp. enterica serotype chester	5718 1254 (K 17) 4, 5, 12:e, h:e, n, x	NCTC 5718	37
Salmonella enterica subsp. enterica serotype sandiago	1254 (K 18)	NCTC 5719	37
Salmonella enterica subsp. enterica serotype reading	K 19	NCTC 5720	37
Salmonella enterica subsp. enterica serotype derby	31 (K 20)	NCTC 5721	37
Salmonella enterica subsp. enterica serotype derby	5722 15145 (K 21) 4, 12:f, g:-	NCTC 5722	37
Salmonella enterica subsp. enterica serotype essen	5723 173 (K 22) 4, 12:g, m:-	NCTC 5723	37
Salmonella enterica subsp. enterica serotype budapest	5724 K 23 (CN 1165) 1, 4, 12:g, t:-	NCTC 5724	37
Salmonella enterica subsp. enterica serotype abortusequi	5727 202 (K26) 4, 12:-:e, n, x	NCTC 5727	37
Salmonella enterica subsp. enterica serotype abortusbovis	a 1960 (K 28) (CN 5727)	NCTC 5729	37
Salmonella enterica subsp. enterica serotype abortusbovis	5730 b 1960 (K SC 29) 1, 4, 12, 27:-:e, n, x	NCTC 5730	37
Salmonella enterica subsp. enterica serotype bredeney	1051 (K 30)	NCTC 5731	37
Salmonella enterica subsp. enterica serotype schleissheim	5732 a 13 (K 31, CN 1225) 4, 12, 27:b:-	NCTC 5732	37
Salmonella enterica subsp. enterica serotype paratyphi c	East Africa (K32)	NCTC 5733	37
Salmonella enterica subsp. enterica serotype paratyphi c	Hirschfeld (K33)	NCTC 5734	37
Salmonella enterica subsp. enterica serotype choleraesuis	1348	NCTC 5735	37
Salmonella enterica subsp. enterica serotype choleraesuis	K35	NCTC 5736	37
Salmonella enterica subsp. enterica serotype choleraesuis	1350 (K 36)	NCTC 5737	37
Salmonella enterica subsp. enterica serotype choleraesuis	5210 (K37)	NCTC 5738	37
Salmonella enterica subsp. enterica serotype typhisuis	1347 (K 38)	NCTC 5739	37
Salmonella enterica subsp. enterica serotype thompson	8 (K 39)	NCTC 5740	37
Salmonella enterica subsp. enterica	5741 2988 (K 40) 6, 7:-:1, 5	NCTC 5741	37
Salmonella enterica subsp. enterica serotype virchow	4519 (K 41)	NCTC 5742	37
