Species	Strain	Source_ID	Temp	ncbiTaxID
Clostridium tetanomorphum	259 E. III	NCTC 543	37	1553
Clostridium septicum	Pasteur III	NCTC 547	37	1504
Clostridium septicum	R Past I	NCTC 549	37	1504
Clostridium septicum	VFS Milk IV	NCTC 550	37	1504
Clostridium septicum	Prior	NCTC 551	37	1504
Streptomyces sp.	Horton	NCTC 600	30	-1
Micrococcus luteus	Thaysen	NCTC 611	37	1270
Salmonella enterica subsp. enterica serotype enteritidis	Liverpool virus	NCTC 618	37	-1
Brucella abortus	English strain 8	NCTC 624	37	235
Alcaligenes faecalis	Lister	NCTC 655	37	511
Enterococcus durans	Thaysen II	NCTC 662	37	53345
Propionibacterium acnes	Ponsonby	NCTC 737	37	-1
Clostridium botulinum	X	NCTC 751	37	1491
Corynebacterium striatum	Minnett (AL)	NCTC 764	37	43770
Enterococcus faecalis	Tissier	NCTC 775	37	1351
Salmonella enterica subsp. enterica serotype typhi	Johns Hopkins	NCTC 779	37	-1
Salmonella enterica subsp. enterica serotype typhi	Lister (CN 6236)	NCTC 786	37	-1
Erysipelothrix rhusiopathiae	Topley A	NCTC 807	37	1648
Yersinia pseudotuberculosis	Stockholm	NCTC 824	37	633
Corynebacterium diphtheriae biovar belfanti	Horse D 34	NCTC 854	37	-1
Clostridium botulinum	38	NCTC 887	37	1491
Pseudomonas putida	Urine	NCTC 912	30	303
Bacillus mycoides	CR ii Rothamsted	NCTC 926	37	1405
Corynebacterium segmentosum	Graham	NCTC 934	37	43990
Mycobacterium chelonae subsp. chelonae	Friedmann	NCTC 946	30	-1
Pasteurella multocida	Mouse	NCTC 948	37	747
Corynebacterium kutscheri	Mouse	NCTC 949	37	35755
Pseudomonas aeruginosa	0 45	NCTC 950	30	287
Bacillus licheniformis	Chapman	NCTC 962	37	1402
Micrococcus lylae	Ropy Milk	NCTC 963	37	1273
Bacillus licheniformis	BI	NCTC 1024	37	1402
Bacillus licheniformis	C III	NCTC 1025	37	1402
Paenibacillus macerans	234A	NCTC 1068	37	44252
Actinomadura madurae	Madura foot	NCTC 1070	37	1993
Streptococcus anginosus	van Sickle	NCTC 1080	37	1328
Escherichia coli	5288 Haemolytic (coli III) Bacterium communis	NCTC 1093	37	562
Bacillus licheniformis	Potato	NCTC 1097	37	1402
Yersinia pseudotuberculosis	Postollea	NCTC 1101	37	633
Yersinia pseudotuberculosis	Pfaff	NCTC 1102	37	633
Yersinia pseudotuberculosis	Schnurer II	NCTC 1103	37	633
Yersinia pseudotuberculosis	Schnurer III	NCTC 1104	37	633
Pasteurella multocida	Mouse 49	NCTC 1140	37	747
Erysipelothrix rhusiopathiae	Wragge	NCTC 1224	37	1648
Pasteurella multocida	Bov Pn I	NCTC 1287	37	747
Bacillus anthracis	Fildes	NCTC 1328	37	1392
Clostridium bifermentans	70	NCTC 1340	37	-1
Clostridium bifermentans	116	NCTC 1341	37	-1
Comamonas terrigena	Bedson	NCTC 1347	37	32013
Serratia marcescens	Delft 137	NCTC 1377	37	615
Corynebacterium kutscheri	Browning	NCTC 1386	37	35755
Lactobacillus plantarum	Type 1	NCTC 1406	37	-1
Lactobacillus odontolyticus	Type 2	NCTC 1407	37	-1
Brucella abortus	Weybridge IV	NCTC 1478	37	235
Corynebacterium dihptheriae var intermedius	55	NCTC 1523	37	-1
Mycobacterium fortuitum	Cobbett	NCTC 1542	37	-1
Escherichia coli	Towne	NCTC 1601	37	562
Micrococcus sp.	Thaysen	NCTC 1630	37	-1
Kocuria varians	Milk	NCTC 1631	27	1272
Haemophilus haemoglobinophilus	XIII	NCTC 1659	37	-1
Burkholderia pseudomallei	Rat	NCTC 1688	37	28450
Erysipelothrix rhusiopathiae	Aberdeen	NCTC 1694	37	1648
Bordetella bronchiseptica	Rahmen 78	NCTC 1704	37	518
Morganella morganii	Palestine I	NCTC 1707	37	582
Lactobacillus acidophilus	4 B	NCTC 1723	37	1579
Pasteurella multocida	Gaiger	NCTC 1737	37	747
Yersinia pseudotuberculosis	C 8	NCTC 1779	37	633
Staphylococcus aureus	Gaiger	NCTC 1803	37	1280
Pasteurella multocida	01316	NCTC 1876	37	747
Pasteurella multocida	08366	NCTC 1877	37	747
Lactobacillus acidophilus	2	NCTC 1899	37	1579
Nocardia otitidiscaviarum	Noc II Sumatra	NCTC 1934	37	1823
Nocardia farcinica	Noc I Sumatra	NCTC 1935	37	37329
Klebsiella pneumoniae subsp. rhinoscleromatis	5 Sumatra	NCTC 1936	37	39831
Comamonas terrigena	Mudd	NCTC 1937	37	32013
Pseudomonas aeruginosa	Fildes III	NCTC 1999	30	287
Pseudomonas aeruginosa	Eyre I	NCTC 2000	37	287
Mycobacterium fortuitum	Terrapin C 3	NCTC 2006	30	-1
Clostridium botulinum	Loch Maree	NCTC 2012	37	1491
Yersinia pestis	Java	NCTC 2028	37	632
Bacillus licheniformis	ATCC 8187	NCTC 2120	37	1402
Streptococcus pyogenes	SF 3	NCTC 2218	37	1314
Salmonella enterica subsp. enterica serotype thompson	Thompson	NCTC 2252	37	-1
Mycobacterium fortuitum	Halibut	NCTC 2291	37	-1
Streptococcus pyogenes	E 3	NCTC 2366	37	1314
Enterococcus faecalis	Rettger	NCTC 2400	37	1351
Pasteurella multocida	Rabbit 105	NCTC 2417	37	747
Erysipelothrix rhusiopathiae	Solly	NCTC 2422	37	1648
Serratia marcescens	233925	NCTC 2446	37	615
Yersinia pseudotuberculosis	Turkey 324	NCTC 2477	30	633
Pasteurella multocida	Hen 1330	NCTC 2479	37	747
Providencia rustigianii	Braun	NCTC 2481	37	158850
Pasteurella multocida	Guinea-pig	NCTC 2484	37	747
Clostridium perfringens	Steele Col 5	NCTC 2544	37	1502
Bacillus pumilus	Ford 9	NCTC 2595	37	1408
Bacillus pumilus	Ford 10A	NCTC 2596	37	1408
Bacillus cereus	Gibson 971	NCTC 2599	37	1396
Bacillus cereus	Ford 17	NCTC 2603	37	1396
Bacillus sphaericus	Ford 24D	NCTC 2608	37	-1
Bacillus sphaericus	Ford 25	NCTC 2609	37	-1
Bacillus circulans	Ford 26	NCTC 2610	37	-1
Brevibacillus brevis	Ford 27B	NCTC 2611	37	1393
Brevibacillus laterosporus	Ford 29	NCTC 2613	37	1465
Bacillus anthracis	Hankow hide	NCTC 2620	37	1392
Micrococcus luteus	2665	NCTC 2665	37	1270
Staphylococcus aureus	Bundaberg	NCTC 2669	37	1280
Shigella sp.	Gettings bacillus	NCTC 2670	37	-1
Kocuria rosea	ATCC 998	NCTC 2676	37	1275
Enterococcus faecalis	Hucker 15	NCTC 2705	37	1351
Pasteurella multocida	5985	NCTC 2771	37	747
Morganella morganii	Green-billed toucan	NCTC 2815	37	582
Morganella morganii	Pine Snake, 1	NCTC 2818	37	582
Clostridium perfringens	13 Zeissler	NCTC 2836	37	1502
Serratia marcescens	K 5	NCTC 2847	37	615
Yersinia pestis	Bombay 1	NCTC 2868	30	632
Mycobacterium fortuitum	2891	NCTC 2891	30	-1
Proteus mirabilis	Minced heart	NCTC 2896	37	584
Clostridium novyi	Hall 140	NCTC 2908	37	1542
Clostridium cochlearium	446 Ivan Hall	NCTC 2909	37	1494
Clostridium bifermentans	50	NCTC 2914	37	-1
Clostridium histolyticum	290	NCTC 2915	37	-1
Clostridium botulinum	2447	NCTC 2916	37	1491
Clostridium tertium	2787 Ba	NCTC 2917	37	1559
Clostridium tetani	1171	NCTC 2918	37	1513
Clostridium tetani	TenBroeck Type I	NCTC 2933	37	1513
Clostridium tetani	TenBroeck Type II	NCTC 2934	37	1513
Clostridium tetani	TenBroeck Type III	NCTC 2935	37	1513
Clostridium tetani	TenBroeck Type IV	NCTC 2936	37	1513
Clostridium tetani	TenBroeck Type V	NCTC 2937	37	1513
Clostridium tetani	TenBroeck Type VI	NCTC 2938	37	1513
Lactobacillus acidophilus	Cruickshank V. 3	NCTC 2949	37	1579
Shigella dysenteriae	Monkey 68	NCTC 2966	37	622
Actinomadura pelletieri	Cullen	NCTC 3026	37	111805
Salmonella enterica subsp. enterica serotype enteritidis	OG1	NCTC 3045	37	-1
Salmonella sp.	HG 3	NCTC 3046	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	Glasgow H (CN 412)	NCTC 3048	37	-1
Salmonella enterica subsp. enterica serotype anatum	C 5	NCTC 3072	37	-1
Clostridium perfringens	nan	NCTC 3110	37	1502
Brucella suis	519	NCTC 3142	37	29461
Brucella suis	530	NCTC 3143	37	29461
Salmonella enterica subsp. enterica serotype senftenberg	734 (CN 6650)	NCTC 3158	37	-1
Streptococcus gordonii	Pyorrhoea	NCTC 3165	37	1302
Streptococcus sanguinis	I	NCTC 3166	37	1305
Streptococcus sanguinis	Green spreader	NCTC 3168	37	1305
Salmonella enterica subsp. enterica serotype paratyphi b	HB 2	NCTC 3176	37	-1
Proteus mirabilis	Calf	NCTC 3177	37	584
Clostridium perfringens	CT 47	NCTC 3182	37	1502
Neisseria flavescens	156	NCTC 3191	37	484
Pasteurella multocida	HS	NCTC 3195	37	747
Corynebacterium bovis	Evans	NCTC 3224	37	36808
Achromobacter sp.	ATCC 337	NCTC 3233	37	-1
Streptomyces somaliensis	IX	NCTC 3236	30	78355
Klebsiella aerogenes	Biberratte	NCTC 3279	37	548
Paenibacillus alvei	127	NCTC 3324	37	44250
Paenibacillus alvei	179	NCTC 3349	37	44250
Streptococcus pyogenes	Dochez	NCTC 3359	37	1314
Actinobacillus equuli	Foal	NCTC 3365	37	718
Neisseria meningitidis	Ipswich 2	NCTC 3372	37	487
Neisseria meningitidis	Sixsmith	NCTC 3375	37	487
Salmonella enterica subsp. enterica serotype eastbourne	Indole positive	NCTC 3378	37	-1
Salmonella enterica subsp. enterica serotype typhi	S	NCTC 3390	37	-1
Avibacterium volantium	6	NCTC 3438	37	762
Corynebacterium pseudotuberculosis	E 23	NCTC 3450	37	1719
Corynebacterium diphtheriae	5036	NCTC 3529	37	1717
Corynebacterium diphtheriae	1243	NCTC 3544	37	1717
Yersinia pseudotuberculosis	Elstree	NCTC 3569	37	633
Yersinia pseudotuberculosis	Monkey 155	NCTC 3571	37	633
Bacillus subtilis	Marburg	NCTC 3610	37	1423
Moraxella (branhamella) catarrhalis	O	NCTC 3622	37	-1
Moraxella (branhamella) catarrhalis	4	NCTC 3623	37	-1
Moraxella (branhamella) catarrhalis	3	NCTC 3625	37	-1
Mycobacterium fortuitum	Cow 18	NCTC 3631	30	-1
Corynebacterium kutscheri	Rat	NCTC 3655	37	35755
Neisseria flavescens	409	NCTC 3656	37	484
Vibrio cholerae	Doorenbos 80	NCTC 3661	37	666
Burkholderia mallei	102	NCTC 3708	37	13373
Burkholderia mallei	106	NCTC 3709	37	13373
Staphylococcus aureus	Mrs Fox	NCTC 3750	37	1280
Pseudomonas fluorescens	Spiers	NCTC 3756	30	294
Staphylococcus aureus	A gamma	NCTC 3761	37	1280
Clostridium tetani	T 52 (0 form) TenBroeck Type VI	NCTC 3795	37	1513
Serratia marcescens	Munro	NCTC 3804	37	615
Clostridium botulinum	62	NCTC 3805	37	1491
Clostridium botulinum	97	NCTC 3806	37	1491
Clostridium botulinum	115	NCTC 3807	37	1491
Clostridium botulinum	6B Nevin	NCTC 3815	37	1491
Mycobacterium smegmatis	179 Mist Bacillus	NCTC 3820	37	-1
Mycobacterium smegmatis	ATCC 281 Moellers Mist Bacillus	NCTC 3821	30	-1
Streptococcus uberis	Diernhofer	NCTC 3858	37	1349
Kocuria rosea	Chapman	NCTC 3874	37	1275
Corynebacterium diphtheriae	467 E	NCTC 3984	37	1717
Corynebacterium diphtheriae	Withey	NCTC 3985	37	1717
Corynebacterium diphtheriae	Hull 333	NCTC 3986	37	1717
Corynebacterium diphtheriae	SDS 108	NCTC 3987	37	1717
Corynebacterium diphtheriae	Hull 338	NCTC 3988	37	1717
Corynebacterium diphtheriae	460	NCTC 3989	37	1717
Corynebacterium diphtheriae	911	NCTC 3990	37	1717
Bacillus coagulans	Tomato	NCTC 3991	37	-1
Bacillus coagulans	Berry	NCTC 3992	37	-1
Bacillus coagulans	Berry	NCTC 3993	37	-1
Streptococcus pyogenes	Aronson (Schitzer)	NCTC 4001	37	1314
Avibacterium endocarditidis	1	NCTC 4101	37	380674
Moraxella (branhamella) catarrhalis	Chatham	NCTC 4103	37	-1
Staphylococcus warneri	3	NCTC 4133	37	1292
Staphylococcus aureus	42	NCTC 4135	37	1280
Staphylococcus aureus	95	NCTC 4136	37	1280
Staphylococcus aureus	135	NCTC 4137	37	1280
Actinomadura pelletieri	Naudi	NCTC 4162	37	111805
Staphylococcus aureus	Insecticide	NCTC 4163	37	1280
Escherichia coli	Fikri	NCTC 4168	37	562
Escherichia coli	Davis	NCTC 4174	37	562
Proteus vulgaris	Lehmann	NCTC 4175	37	585
Actinobacillus lignieresii	1	NCTC 4189	37	720
Actinobacillus lignieresii	33	NCTC 4191	37	720
Proteus mirabilis	Monkey 3	NCTC 4199	37	584
Staphylococcus haemolyticus	7516-C	NCTC 4276	37	1283
Kocuria varians	M 1/4	NCTC 4285	37	1272
Erysipelothrix rhusiopathiae	Topley B	NCTC 4304	37	1648
Corynebacterium diphtheriae var intermedius	PW 8 (110)	NCTC 4305	37	-1
Streptococcus dysgalactiae subsp. dysgalactiae	N 35	NCTC 4335	37	99822
Micrococcus luteus	C 7603	NCTC 4351	37	1270
Kocuria varians	6784c	NCTC 4355	37	1272
Salmonella enterica subsp. enterica serotype enteritidis	Ratin 688	NCTC 4444	37	-1
Escherichia coli	Julian	NCTC 4450	37	562
Brucella abortus	Canti	NCTC 4487	37	235
Brucella suis	P 16	NCTC 4490	37	29461
Actinomyces bovis	D 121	NCTC 4500	37	1658
Actinomyces bovis	D 127	NCTC 4502	37	1658
Lactobacillus acidophilus	Cruickshank 2	NCTC 4504	37	1579
Streptomyces sp.	Pollacci	NCTC 4518	37	-1
Streptomyces griseus	ATCC 3311	NCTC 4523	37	1911
Streptomyces hominis	ATCC 3008	NCTC 4525	30	1520569
Streptococcus sp.	Azgazardah	NCTC 4540	37	-1
Bacillus alcalophilus	1	NCTC 4553	37	-1
Haemophilus parasuis	1374	NCTC 4557	37	-1
Haemophilus influenzae	RAMC 18 Biotype III	NCTC 4560	37	727
Clostridium botulinum	Lederle	NCTC 4587	37	1491
Neisseria pharyngis	Fleming 1	NCTC 4590	37	29434
Neisseria maccae	Fleming 6	NCTC 4591	37	-1
Serratia marcescens	MEC	NCTC 4618	37	615
Serratia marcescens	Lasseur	NCTC 4619	37	615
Proteus vulgaris	O X L (Felix)	NCTC 4635	37	585
Proteus vulgaris	H X L (Felix)	NCTC 4636	37	585
Corynebacterium pseudotuberculosis	2	NCTC 4655	37	1719
Corynebacterium pseudotuberculosis	3	NCTC 4656	37	1719
Corynebacterium pseudotuberculosis	4	NCTC 4657	37	1719
Streptococcus dysgalactiae subsp. dysgalactiae	S 32	NCTC 4669	37	99822
Streptococcus dysgalactiae subsp. dysgalactiae	N 33	NCTC 4670	37	99822
Streptococcus dysgalactiae subsp. dysgalactiae	S 54	NCTC 4671	37	99822
Streptococcus uberis	S 51	NCTC 4672	37	1349
Streptococcus uberis	N 20	NCTC 4673	37	1349
Streptococcus uberis	N 29	NCTC 4674	37	1349
Streptococcus equi subsp. zooepidemicus	S 55	NCTC 4675	37	40041
Streptococcus equi subsp. zooepidemicus	S 34	NCTC 4676	37	40041
Streptococcus sp.	T 7	NCTC 4678	37	-1
Corynebacterium pseudotuberculosis	B 65	NCTC 4681	37	1719
Corynebacterium pseudotuberculosis	B 68	NCTC 4683	37	1719
Corynebacterium pseudotuberculosis	Soil	NCTC 4691	37	1719
Vibrio cholerae	Japanese, original	NCTC 4693	37	666
Vibrio cholerae non 0:1	Nanking 32/123	NCTC 4711	37	-1
Vibrio cholerae non o:1	El Tor 34-D 19	NCTC 4714	37	-1
Vibrio cholerae non 0:1	El Tor 34-D 23	NCTC 4715	37	-1
Vibrio cholerae non 0:1	KASAULI 73	NCTC 4716	37	-1
Clostridium putrificum	Wound	NCTC 4718	37	-1
Shigella flexneri	Denton 1	NCTC 4720	37	623
Streptococcus sp.	Motile	NCTC 4725	37	-1
Kocuria varians	Rex	NCTC 4736	37	1272
Paenibacillus macerans	Porter	NCTC 4743	37	44252
Paenibacillus polymyxa	Pribram	NCTC 4744	37	1406
Paenibacillus polymyxa	Porter	NCTC 4747	37	1406
Salmonella enterica subsp. enterica serotype enteritidis	450	NCTC 4776	37	-1
Salmonella enterica subsp. enterica serotype enteritidis	4777 451 9, 12:g, m:-	NCTC 4777	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	1810 0-form	NCTC 4782	37	-1
Salmonella enterica subsp. enterica serotype eastbourne	Indole negative	NCTC 4785	37	-1
Bacillus carotarum	G 21	NCTC 4821	37	-1
Bacillus freudenreichii	Gibson 68	NCTC 4823	37	1783501
Bacillus lentus	Gibson 165	NCTC 4824	37	-1
Bacillus loehnisii	97	NCTC 4825	37	-1
Shigella dysenteriae	Newcastle 1934	NCTC 4837	37	622
Salmonella enterica subsp. enterica serotype poona	Dunbar	NCTC 4840	37	-1
Haemophilus influenzae	AF Biotype III	NCTC 4842	37	727
Burkholderia pseudomallei	S 397	NCTC 4845	37	28450
Burkholderia pseudomallei	S 396	NCTC 4846	37	28450
Actinomyces israelii	Hillier	NCTC 4860	37	1659
Listeria monocytogenes	Fowl 5443	NCTC 4883	37	1639
Listeria monocytogenes	OBrien	NCTC 4885	37	1639
Listeria monocytogenes	Nurse 1933	NCTC 4886	37	1639
Clostridium perfringens	Wilsdon Type B E?	NCTC 4964	37	1502
Salmonella enterica subsp. enterica serotype senftenberg	5765-1	NCTC 4969	37	-1
Actinobacillus lignieresii	CM 1	NCTC 4975	37	720
Actinobacillus lignieresii	CM 2	NCTC 4976	37	720
Actinobacillus lignieresii	Sen	NCTC 4985	37	720
Corynebacterium diphtheriae	207 N	NCTC 5002	37	1717
Corynebacterium diphtheriae	1195	NCTC 5003	37	1717
Corynebacterium diphtheriae	18T	NCTC 5004	37	1717
Corynebacterium diphtheriae	238 N 1	NCTC 5005	37	1717
Corynebacterium diphtheriae	840	NCTC 5007	37	1717
Corynebacterium diphtheriae	1228	NCTC 5008	37	1717
Corynebacterium diphtheriae	1230	NCTC 5009	37	1717
Corynebacterium diphtheriae	238 N2	NCTC 5010	37	1717
Corynebacterium diphtheriae	1286	NCTC 5011	37	1717
Corynebacterium diphtheriae	246	NCTC 5012	37	1717
Corynebacterium diphtheriae	351	NCTC 5013	37	1717
Corynebacterium diphtheriae	230	NCTC 5014	37	1717
Klebsiella pneumoniae subsp. rhinoscleromatis	R 70	NCTC 5046	37	39831
Klebsiella pneumoniae subsp. rhinoscleromatis	R 73	NCTC 5047	37	39831
Klebsiella pneumoniae subsp. rhinoscleromatis	R 81	NCTC 5048	37	39831
Klebsiella pneumoniae subsp. ozaenae	O 3	NCTC 5050	37	574
Klebsiella pneumoniae sensu stricto	O 45	NCTC 5051	37	-1
Klebsiella pneumoniae subsp. ozaenae	0 30	NCTC 5052	37	574
Klebsiella pneumoniae subsp. ozaenae	0 45	NCTC 5053	37	574
Klebsiella pneumoniae	F 9	NCTC 5055	37	573
Klebsiella pneumoniae	F 10	NCTC 5056	37	573
Klebsiella pneumoniae sensu stricto	F 1 a	NCTC 5057	37	-1
Brucella abortus	Ast 325	NCTC 5059	37	235
Brucella suis	P 1	NCTC 5061	37	29461
Pseudomonas aeruginosa	Dukes C.	NCTC 5083	37	287
Salmonella enterica subsp. enterica serotype typhisuis	538	NCTC 5096	37	-1
Listeria monocytogenes	GPMH	NCTC 5105	37	1639
Shigella dysenteriae	9 D 36	NCTC 5109	37	622
Shigella dysenteriae	25 D 36	NCTC 5110	37	622
Streptococcus pyogenes	NY 5 Bergey	NCTC 5163	37	1314
Streptococcus pyogenes	NY 5 Wadsworth	NCTC 5164	37	1314
Dermatophilus congolensis	Str 11	NCTC 5175	37	1863
Escherichia alkalescens	Wood	NCTC 5183	37	-1
Salmonella enterica subsp. enterica serotype enteritidis	5188 Menendez 245	NCTC 5188	37	-1
Listeria monocytogenes	101	NCTC 5214	37	1639
Trueperella pyogenes	Carne 84	NCTC 5224	37	1661
Arcanobacterium pyogenes	Carne 85	NCTC 5225	37	-1
Streptococcus sp.	Turner	NCTC 5338	37	-1
Listeria monocytogenes	Gibson	NCTC 5348	37	1639
Salmonella enterica subsp. enterica serotype choleraesuis	Penang 306	NCTC 5364	37	-1
Streptococcus dysgalactiae subsp. equisimilis	Niel	NCTC 5370	37	119602
Streptococcus dysgalactiae subsp. equisimilis	Angel	NCTC 5371	37	119602
Streptococcus sp.	Low Acid	NCTC 5385	37	-1
Streptococcus sp.	Colebrook	NCTC 5386	37	-1
Streptococcus sp.	OMahoney	NCTC 5389	37	-1
Vibrio cholerae	Iraq	NCTC 5395	37	666
Bacillus subtilis	Parry 1	NCTC 5398	37	1423
Bacillus licheniformis	Parry 2	NCTC 5399	37	1402
Clostridium tetani	TM2	NCTC 5404	37	1513
Clostridium tetani	TH 20	NCTC 5405	37	1513
Clostridium tetani	TM 3	NCTC 5408	37	1513
Clostridium tetani	Tulloch	NCTC 5410	37	1513
Clostridium tetani	TM 5	NCTC 5411	37	1513
Clostridium tetani	TH 2	NCTC 5413	37	1513
Bacillus anthracis	St. Marys	NCTC 5444	37	1392
Vibrio cholerae	Shanghai 10	NCTC 5596	37	666
Bacillus megaterium	386	NCTC 5635	37	-1
Bacillus megaterium	659	NCTC 5637	37	-1
Actinomadura madurae	Aden	NCTC 5654	37	1993
Staphylococcus aureus	30/30	NCTC 5655	37	1280
Staphylococcus aureus	37 Belgium	NCTC 5656	37	1280
Staphylococcus aureus	Barrs Canada	NCTC 5657	37	1280
Staphylococcus aureus	24 Canada	NCTC 5658	37	1280
Staphylococcus aureus	32 Australia	NCTC 5660	37	1280
Staphylococcus pseudintermedius	D4	NCTC 5661	37	283734
Staphylococcus aureus	Williams Australia	NCTC 5662	37	1280
Staphylococcus aureus	B Sweden	NCTC 5663	37	1280
Staphylococcus aureus	Y2 Sweden	NCTC 5664	37	1280
Salmonella enterica subsp. enterica serotype enteritidis	5694 Mouse-virulent 9, 12:g, m:-	NCTC 5694	37	-1
Salmonella enterica subsp. enterica serotype paratyphi a	1015 (K1)	NCTC 5702	37	-1
Salmonella enterica subsp. enterica serotype paratyphi b	8006 (K3)	NCTC 5704	37	-1
Salmonella enterica subsp. enterica serotype paratyphi b	6617 (K4)	NCTC 5705	37	-1
Salmonella enterica subsp. enterica serotype java	K 5 (CN 1137)	NCTC 5706	37	-1
Salmonella enterica subsp. enterica serotype paratyphi b	K6	NCTC 5707	37	-1
Salmonella enterica subsp. enterica serotype paratyphi b	8085 (K7)	NCTC 5708	37	-1
Salmonella enterica subsp. enterica serotype paratyphi b	5709 9864 (K8) 1, 4, 12:b:1, 2	NCTC 5709	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	1406 (K 9)	NCTC 5710	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	4066 (K 10)	NCTC 5711	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	659 (K 11)	NCTC 5712	37	-1
Salmonella enterica subsp. enterica serotype typhimurium	3146 (K 12)	NCTC 5713	37	-1
