Source_ID	Name	Temp	ncbiTaxID
73587T	Buttiauxella ferragutiae	30	82989
73571T	Campylobacter armoricus	37	2505970
73498T	Epilithonimonas vandammei	30	2487072
73522T	Vagococcus acidifermentans	37	564710
73523T	Vagococcus entomophilus	37	1160095
73524T	Vagococcus humatus	37	1889241
73525T	Vagococcus martis	37	1768210
73526T	Vagococcus penaei	37	633807
73527T	Vagococcus teuberi	37	519472
73377T	Pandoraea iniqua	37	2508288
73378T	Pandoraea commovens	37	2508289
73379T	Pandoraea horticolens	37	2508298
73380T	Pandoraea eparura	37	2508291
73381T	Pandoraea terrigena	37	2508292
73382T	Pandoraea soli	37	2508293
73383T	Pandoraea communis	30	2508297
73384T	Pandoraea aquatica	30	2508290
73385T	Pandoraea anapnoica	37	2508301
73386T	Pandoraea anhela	37	2508295
73387T	Pandoraea captiosa	30	2508302
73388T	Pandoraea pneumonica	30	2508299
73389T	Pandoraea morbifera	37	2508300
73390T	Pandoraea nosoerga	30-37	2508296
73276T	Kaistella daneshvariae	30	2487074
73139T	Streptococcus downii	37	1968889
73096T	Pseudocitrobacter vendiensis	30	2488306
72808T	Prevotella vespertina	37	2608404
72809T	Prevotella brunnea	37	2508867
72814T	Bifidobacterium callimiconis	37	2306973
72815T	Bifidobacterium goeldii	37	2306975
72816T	Bifidobacterium castoris	37	2306972
72817T	Bifidobacterium samirii	37	2306974
72818T	Bifidobacterium dolichotidis	37	2306976
72762T	Streptococcus hillyeri	37	2282420
72763T	Staphylococcus pseudoxylosus	37	2282419
72509T	Corynebacterium diphtheriae subsp lausannense	37	2315254
72425T	Gardnerella leopoldii	37	2792978
72427T	Gardnerella piotii	37	2792977
72429T	Gardnerella swidsinskii	37	2792979
72092T	Sanguibacter massiliensis	37	1973217
72399T	Methylopila carotae	30	2126033
72353T	Marasmitruncus massiliensis	37	1944642
72355T	Aeribacillus pallidus	56	33936
72345T	Paratractidigestivibacter faecalis	37	2292441
72321T	Pseudomonas zeshuii	30	1076620
72322T	Pseudomonas guangdongensis	30	1245526
72323T	Enterococcus diestrammenae	37	1155073
72325T	Corynebacterium atrinae	37	1336740
72292T	Actinomyces minihominis	37	2002838
72269T	Staphylococcus edaphicus	37	1955013
72270T	Staphylococcus pragensis	37	1611836
72271T	Mammaliicoccus stepanovicii	37	643214
72241T	Lysinibacillus capsici	37	2115968
72164T	Lysobacter pythonis	30	2483112
72165T	Corynebacterium gerontici	37	2079234
72166T	Corynebacterium choanae	37	1862358
72167T	Corynebacterium pseudopelargi	37	2080757
72126T	Mycobacterium innocens	37	2341083
72127T	Mycobacterium attenuatum	37	2341086
72128T	Mycobacterium pseudokansasii	37	2341080
71989T	Paracoccus simplex	30	2086346
71912T	Staphylococcus caeli	37	2201815
71898T	Actinomyces marseillensis	37	1852376
71848T	Lentilactobacillus raoultii	37	1987503
71842T	Megasphaera stantonii	37	2144175
71359T	Dorea phocaeensis	37	2040291
71632T	Massiliimalia timonensis	37	1987501
71633T	Lactobacillus timonensis	37	1970790
71568T	Lachnoclostridium edouardi	37	1926283
71558T	Achromobacter veterisilvae	30	2069367
71550T	Helcococcus massiliense	37	2040290
71488T	Congobacterium massiliense	37	1907655
71489T	Clostridium pacaense	37	1917870
71490T	Catenibacillus scindens	37	673271
71370T	Shewanella submarina	30	2016376
71356T	Dysgonomonas massiliensis	37	2040292
71357T	Miniphocaeibacter massiliensis	37	2041841
71358T	Clostridium minihomine	37	2045012
71360T	Neobittarella massiliensis	37	2041842
71291T	Ornithinibacillus massiliensis	37	1944633
71276T	Campylobacter blaseri	37	2042961
71182T	Parolsenella massiliensis	37	1871022
71183T	Parabacteroides timonensis	37	1871013
70981T	Oceanobacillus timonensis	37	1926285
70959T	Bifidobacterium margollesii	37	2020964
70960T	Bifidobacterium anseris	37	2020963
70961T	Bifidobacterium imperatoris	37	2020965
70962T	Bifidobacterium criceti	37	1960969
70963T	Bifidobacterium italicum	37	1960968
70964T	Bifidobacterium parmae	37	361854
70947T	Collinsella provencensis	37	1937461
70915T	Klebsiella quasipneumoniae subsp. quasipneumoniae	37	1667327
70916T	Klebsiella quasipneumoniae subsp. similipneumoniae	37	1463164
70917T	Staphylococcus argenteus	37	985002
70918T	Staphylococcus schweitzeri	37	1654388
70919T	Rouxiella chamberiensis	30	1513468
70920T	Staphylococcus argensis	37	1607738
70863T	Streptococcus ursoris	37	648567
70864T	Streptococcus troglodytae	37	1111760
70865T	Streptococcus loxodontisalivarius	37	1349415
70866T	Streptococcus saliviloxodontae	37	1349416
70867T	Streptococcus panodentis	37	1581472
70868T	Streptococcus oricebi	37	1547447
70857T	Psittacicella gerlachiana	37	2028574
70858T	Psittacicella melopsittaci	37	2028576
70831T	Vagococcus bubulae	37	1977868
70832T	Vagococcus vulneris	37	1977869
70816T	Raoultella electrica	30	1259973
70817T	Streptococcus troglodytidis	37	1071886
70711T	Lactobacillus timonensis	37	1970790
70680T	Raoultibacter timonensis	37	1907662
70681T	Phoenicibacter congonensis	37	1944646
70682T	Collinsella bouchesdurhonensis	37	1907654
70632T	Clostridium neonatale	37	137838
70622T	Blautia marasmi	37	1917868
70601T	Methylobacillus caricis	37	1971611
70602T	Methylophilus aquaticus	30	1971610
70587T	Campylobacter vulpis	37	1655500
70550T	Bacteroides ihuae	30	1852362
70551T	Selenomonas felix	37	1944634
70546T	Mycobacterium aurum	30	1791
70547T	Vibrio natriegens	30	691
70536T	Aggregatibacter kilianii	37	2025884
70613T	Oceanobacillus senegalensis	37	1936063
70143T	Actinomyces mediterranea	37	1871028
70388T	Virgibacillus ndiopensis	37	2004408
70390T	Negativicoccus massiliensis	37	1702287
70327T	Eggerthella timonensis	37	1871008
70328T	Collinsella bouchesdurhonensis	37	1907654
70329T	Pygmaiobacter massiliensis	37	1917873
70281T	Mobilibacterium timonense	37	1871012
70282T	Gabonibacter timonensis	37	1917882
70284T	Ellagibacter isourolithinifaciens	37	2137581
70237T	Ancylobacter sonchi	30	1937790
70177T	Bacillus swezeyi	37	1925020
70178T	Bacillus haynesii	37	1925021
70144T	Bacteroides congonensis	37	1871006
69668T	Rodentibacter trehalosifermentans	37	1908263
69890T	Bacillus sinesaloumensis	37	1926280
69891T	Virgibacillus dakarensis	37	1917889
69892T	Bacillus dakarensis	37	1926278
69893T	Clostridium massiliodielmoense	37	1776385
69896T	Paenibacillus senegalimassiliensis	37	1737426
69858T	Auricoccus indicus	37	1817405
69806T	Kingella negevensis	37	1522312
69738T	Bacillus massiliogabonensis	37	1871011
69739T	Bacillus phocaeensis	37	1720202
69700T	Acinetobacter harbinensis	30	1353941
69701T	Acinetobacter guangdongensis	30	756892
69702T	Acinetobacter indicus	30	756892
69703T	Acinetobacter kookii	30	1226327
69706T	Acinetobacter oryzae	30	742719
69707T	Acinetobacter pakistanensis	30	1435036
69709T	Acinetobacter puyangensis	30	1096779
69710T	Acinetobacter qingfengensis	30	1262585
69665T	Rodentibacter ratti	37	1906745
69666T	Rodentibacter myodis	37	1907939
69667T	Rodentibacter heidelbergensis	37	1908258
69669T	Rodentibacter mrazii	37	1908257
69661T	Tuwongella immobilis	30	692036
69621T	Streptococcus phocae subsp. salmonis	37	1000562
69622T	Acidipropionibacterium olivae	30	1243000
69625T	Acinetobacter dijkshoorniae	30	1785128
69612T	Streptococcus ovuberis	37	1936207
69580T	Pseudomonas jinjuensis	30	198616
69581T	Pseudomonas pohangensis	30	364197
69583T	Pseudomonas taeanensis	30	574962
69584T	Acinetobacter apis	30	1229165
69570T	Campylobacter pinnipediorum subsp. pinnipediorum	37	1660067
69496T	Elizabethkingia ursingii	30	1756150
69503T	Elizabethkingia bruuniana	30	1756149
69505T	Elizabethkingia occulta	30	1867263
69482T	Campylobacter ornithocola	37	1848766
69378T	Streptococcus azizii	37	1579424
69366T	Corynebacterium alimapuense	30	1576874
69273T	Pseudomonas caspiana	30	1451454
69277T	Streptococcus bovimastitidis	37	1856638
69239T	Acinetobacter celticus	30	1891224
69192T	Corynebacterium crudilactis	30	1652495
69147T	Jeotgalibaca arthritidis	37	1868794
69148T	Jeotgalibaca porci	37	1868793
68999T	Methylobacillus methanolivorans	37	1848927
68920T	Macrococcus canis	37	1855823
68827T	Enterococcus saigonensis	37	1805431
68785T	Acinetobacter lactucae	30	1785128
68786T	Bacillus nakamurai	37	1793963
68726T	Shigella sonnei	30	624
68730T	Chryseobacterium taklimakanense	30	536441
68698T	Paludifilum halophilum	42	1642702
68672T	Acinetobacter portensis	30	1839785
68674T	Acinetobacter guerrae	30	1843371
68650T	Campylobacter pinnipediorum subsp. caledonicus	37	1874362
68478T	Enterobacter soli	30	885040
68479T	Streptococcus moroccensis	37	1451356
68482T	Acinetobacter gandensis	30	1443941
68430T	Lacrimispora celerecrescens	37	29354
68431T	Acinetobacter nectaris	30	1219382
68432T	Acinetobacter boissieri	30	1219383
68403T	Burkholderia ptereochthonis	30	1777144
68404T	Burkholderia glebae	30	1777143
68405T	Burkholderia arationis	30	1777142
68406T	Burkholderia pedi	30	1777141
68407T	Burkholderia hypogeia	30	1777140
68408T	Burkholderia calidae	30	1777139
68409T	Burkholderia fortuita	30	1777138
68410T	Burkholderia temeraria	30	1777137
68411T	Burkholderia catudaia	30	1777136
68412T	Burkholderia arvi	30	1777135
68413T	Burkholderia turbans	30	1777134
68414T	Burkholderia concitans	30	1777133
68415T	Burkholderia peredens	30	1777132
68283T	Neisseria musculi	37	1815583
68107T	Kroppenstedtia pulmonis	42	1380685
67960T	Acinetobacter courvalinii	30	280147
67961T	Acinetobacter dispersus	30	70348
67962T	Acinetobacter pragensis	30	1806892
67963T	Acinetobacter pseudolwoffi	30	2053287
67964T	Acinetobacter modestus	30	1776740
67965T	Acinetobacter proteolyticus	30	1776741
67966T	Acinetobacter colistiniresistens	30	280145
67967T	Acinetobacter vivianii	30	1776742
67887T	Bergeyella porcorum	37	1735111
67844T	Henriciella algicola	30	1608422
67636T	Oblitimonas alkaliphila	37	1697053
67583T	Halopseudomonas gallaeciensis	30	857227
67440T	Aquitalea pelogenes	30	1293573
67421T	Prevotella colorans	37	1703337
67281T	Acinetobacter albensis	30	1673609
67170T	Streptococcus caprae	37	1640501
67145T	Bifidobacterium aquikefiri	30	1653207
67100T	Streptococcus halichoeri subsp hominis	37	2033848
66934T	Henriciella barbaraensis	30	86342
66838T	Haematospirillum jordaniae	37	1549855
66798T	Peptoniphilus catoniae	37	1660341
66799T	Citroniella saccharovorans	37	2053367
66741T	Scandinavium goeteborgense	30	1851514
66735T	Porphyromonas pasteri	37	1583331
66681T	Parabacteroides faecis	37	1217282
66657T	Lawsonella clevelandensis	37	1528099
66554T	Mycobacterium saopaulense	37	1578165
66538T	Legionella busanensis	37	190655
66539T	Kosakonia arachidis	30	551989
66540T	Flaviflexus salsibiostraticola	30	1282737
66541T	Aliivibrio sifiae	20	566293
66513T	Saccharophagus degradans	30	86304
66514T	Streptococcus tigurinus	37	1077464
66515T	Klebsiella michiganensis	30-37	1134687
66516T	Streptococcus rubneri	37	1234680
66490T	Streptococcus lactarius	37	684066
66491T	Streptococcus hongkongensis	37	910939
66492T	Streptococcus oralis subsp. dentisani	37	1458253
66496T	Streptococcus cuniculipharyngis	37	1562651
66484T	Arcobacter faecis	37	1564138
66485T	Arcobacter lanthieri	37	1355374
66341T	Legionella fairfieldensis	37	45064
66315T	Clostridium disporicum	37	84024
66298T	Pseudomonas canadensis	30	915099
66239T	Eudoraea chungangensis	30	1481905
66188T	Dysgonomonas termitidis	30	1516126
66137T	Hydromonas duriensis	30	1527608
66114T	Bifidobacterium melliventris	37	-1
65936T	Legionella norrlandica	37	1498499
65911T	Prevotella imum	37	-1
65857T	Enterococcus crotali	37	1453587
65815T	Corynebacterium lowii	37	1544413
65816T	Corynebacterium oculi	37	1544416
65711T	Kistimonas alittae	30	544926
65685T	Burkholderia singularis	30	1503053
65686T	Burkholderia stagnalis	30	1503054
65687T	Burkholderia territorii	30	1503055
65562T	Butyricimonas faecihominis	37	1472416
65563T	Butyricimonas paravirosa	37	1472417
65564T	Spodiobacter cordis	30-37	1323990
65455T	Corynebacterium nasicanis	37	1448267
65456T	Corynebacterium tapiri	37	1448266
65457T	Massilia norwichensis	30	1442366
65431T	Methylobrevis pamukkalensis	30	1439726
65426T	Rarimicrobium hominis	37	434126
65427T	Veillonella seminalis	37	1502943
65204T	Acinetobacter equi	30-37	1324350
65171T	Atopobium deltae	37	1393034
65144T	Ursidibacter maritimus	37	1331689
65145T	Ursidibacter arcticus	37	1524965
65146T	Testudinibacter aquarius	37	1524974
65148T	Bisgaardia miroungae	37	1460875
65085T	Streptococcus cunuculi	37	1432788
64955T	Sneathiella chungangensis	30	1418234
64942T	Campylobacter corcagiensis	37	1448857
64792T	Roseovarius aquimarinus	30	1229156
64793T	Salegentibacter chungangensis	30	1335724
64794T	Salinimicrobium soli	30	1254399
64585T	Vespertiliibacter pulmonis	37	1443036
64570T	Peptoniphilus stercorisuis	37	1436965
64571T	Ezakiella peruensis	37	1464038
64483T	Cupriavidus numazuensis	30	221992
64465T	Pelistega suis	30	1631957
64422T	Pedobacter nutrimenti	30	1241337
64368T	Burkholderia cordobensis	30	1353886
64352T	Rhizobium endolithicum	30-37	1191678
64267T	Falsiporphyromonas endometrii	37	1387297
64261T	Gordonibacter urolithinfaciens	37	1335613
64215T	Edwardsiella anguillarum	30	1821960
64195T	Clostridium punense	37	1054297
64197T	Megasphaera elsdenii	37	907
64165T	Halopseudomonas aestusnigri	37	857252
64113T	Bacillus invictae	37	293387
64075T	Eisenbergiella tayi	37	1432052
64068T	Actinotignum sanguinis	37	1445614
64069T	Canibacter oris	37	1365628
64011T	Variovorax dokdonensis	37	344883
64013T	Akkermansia muciniphila	37	239935
64014T	Alicycliphilus denitrificans	30	179636
64016T	Acidovorax anthurii	30	78229
63931T	Peptidiphaga gingivicola	37	2741497
63891T	Paraglaciecola oceanifecundans	30	1211136
63842T	Acinetobacter bohemicus	30	1435036
63829T	Aestuariihabitans beolgyonensis	30	1307136
63830T	Jejudonia soesokkakensis	30	1323432
63831T	Sabulilitoribacter multivorans	30	1304750
63832T	Winogradskyella undariae	30	1285465
63821T	Arsenicicoccus piscis	37	673954
63804T	Paracoccus communis	30	1282439
63805T	Methylopila oligotropha	30	1282438
63806T	Ancylobacter defluvii	30	1282440
63769T	Marinobacter piscensis	30	1562308
63681T	Tenacibaculum halocynthiae	20	1254437
63682T	Geojedonia litorea	30	1268269
63684T	Algibacter undariae	30	1285464
63629T	Lactobacillus melliventris	37	1218507
63631T	Lactobacillus kullabergensis	37	1218493
63633T	Lactobacillus kimbladii	30-37	1218506
63563T	Savagea faecisuis	37	1274803
63528T	Rhodovulum salis	30	1155475
63529T	Intestinimonas butyriciproducens	37	1297617
63415T	Jannaschia faecimaris	30	1244108
63416T	Litoreibacter halocynthiae	30	1242689
63418T	Mucilaginibacter calamicampi	30	1302352
63419T	Paraperlucidibaca wandonensis	20	1268273
63391T	Murimonas intestini	37	1337051
63367T	Actinopolyspora saharensis	30	995062
63368T	Actinopolyspora righensis	30	995060
63369T	Streptomonospora algeriensis	30	995084
63370T	Salinifilum ghardaiensis	30	1293032
63371T	Corynebacterium frankenforstense	37	1230998
63372T	Corynebacterium lactis	37	1231000
63373T	Uruburuella testudinis	30-37	1282863
63287T	Apilactobacillus apinorum	37	1218495
63289T	Bombilactobacillus mellis	37	1218508
63291T	Bombilactobacillus mellifer	37	1218492
63301T	Lactobacillus helsingborgensis	37	1218494
63270T	Paenibacillus doosanensis	37	1229154
63246T	Hwangdonia seohaensis	30	1240727
63247T	Cyclobacterium caenipelagium	30	1235754
63249T	Pseudomonas yamanorum	30	515393
63250T	Actinoplanes friuliensis	30	196914
63059T	Burkholderia humi	30	326474
63060T	Burkholderia telluris	30	326475
63061T	Burkholderia udeis	30	1232866
63062T	Burkholderia terrestris	30	1226301
63063T	Burkholderia choica	30	326476
63018T	Geodermatophilus poikilotrophi	30	1333667
63019T	Chryseobacterium hispalense	30	1453492
63020T	Chryseobacterium oleae	30	491207
63021T	Saccharothrix ecbatanensis	30	1105145
63022T	Promicromonospora iranensis	30	1105144
62990T	Lacticaseibacillus songhuajiangensis	37	1296539
62991T	Lactiplantibacillus mudanjiangensis	37	1296538
62994T	Enterobacter xiangfangensis	30	1296536
62981T	Glycocaulis abyssi	30	1433403
62982T	Sphingomonas canadensis	30	1219257
62977T	Pseudomonas boanensis	30	2822138
62965T	Actinopolyspora mzabensis	20-30	995066
62969T	Geodermatophilus africanus	30	1137993
62970T	Geodermatophilus dictyosporus	30	1523247
62971T	Geodermatophilus amargosae	30	1296565
62974T	Streptosporangium algeriense	30	1682748
62952T	Sungkyunkwania multivorans	30	1173618
62953T	Litorisediminicola beolgyonensis	30	1173614
62945T	Iodobacter arcticus	20	590593
62929T	Edwardsiella piscicida	30-37	1263550
62918T	Paraglaciecola aquimarina	30	1235557
62919T	Nonlabens arenilitoris	30	1217969
62895T	Burkholderia pseudomultivorans	30-37	1207504
62813T	Geodermatophilus saharensis	37	1137994
62814T	Geodermatophilus normandii	30-37	1137989
62791T	Thalassococcus lentus	28	1210524
62792T	Lentilitoribacter donghaensis	30	1215923
62793T	Hirschia litorea	30	1199156
62794T	Vannielia litorea	30	1217970
62762T	Geodermatophilus tzadiensis	37	1137988
62763T	Geodermatophilus arenarius	37	1137990
62764T	Geodermatophilus telluris	30-37	1190417
62765T	Geodermatophilus siccatus	30-37	1137991
62727T	Staphylococcus petrasii ss petrasii	37	1276936
62728T	Staphylococcus croceilyticus	37	319942
62683T	Nocardia vulneris	37	1141657
62640T	Streptococcus new species	37	1306
62657T	Staphylococcus petrasii	37	1276936
62631T	Cloacibacillus porcorum	37	1197717
62543T	Melghiribacillus thermohalophilus	56	1324956
62540T	Arcticibacter svalbardensis	20	1288027
62505T	Niabella drilacis	30	1285928
62507T	Niabella hirudinis	30	1285929
62476T	Oryzisolibacter propanilivorax	30	1527607
62415T	Actinopolyspora algeriensis	30	995059
62421T	Achromobacter dolens	37	1287738
62426T	Achromobacter insuavis	37	1287735
62433T	Achromobacter deleyi	37	1353891
62438T	Achromobacter aegrifaciens	37	1287736
62444T	Achromobacter anxifer	37	1287737
62449T	Achromobacter kerstersii	37	1353890
62454T	Achromobacter agilis	30	1353888
62410T	Frederiksenia canicola	37	123824
62411T	Shewanella litorisediminis	30	1173586
62412T	Ruegeria arenilitoris	30	1173585
62413T	Roseovarius sediminilitoris	30	1173584
62414T	Mariniflexile jejuense	30	1173582
62394T	Castellaniella hirudinis	30	1144617
62387T	Streptococcus constellatus ss viborgensis	37	1272518
62278T	Hydrobacter penzbergensis	30	1235997
62266T	Lacticaseibacillus porcinae	37	1123687
62224T	Virgibacillus natechei	30	1216297
62221T	Lutibacter holmesii	30	1137985
62214T	Mucilaginibacter sabulilitoris	30	1173583
62215T	Winogradskyella litorisediminis	30	1156618
62217T	Kangiella sediminilitoris	30	1144748
62218T	Roseovarius litoreus	30	1155722
62198T	Microbacterium lemovicicum	30	1072463
62186T	Lysinibacillus contaminans	30	1293441
62181T	Arsenicicocus dermatophilus	37	1076331
62153T	Bacteroides reticulotermitis	37	1133319
62154T	Parabacteroides chinchillae	37	871327
62110T	Bizionia hallyeonensis	30	1123757
62112T	Marivita geojedonensis	30	1123756
62113T	Loktanella litorea	30	1123755
62114T	Pseudofulvibacter geojedonensis	30	1123758
62053T	Mycobacterium iranicum	37	912594
62025T	Cruoricaptor ignavus	37	1118202
62000T	Carnobacterium iners	20	1073423
61948T	Maribacter chungangensis	30	1069117
61920T	Haloferula chungangensis	30	1048331
61909T	Blastococcus aggregatus	30	38502
61914T	Geodermatophilus obscurus	37	1861
61889T	Bacillus songklensis	30	1069116
61890T	Algoriphagus chungangensis	30	1134595
61959T	Achromobacter pestifer	30	1353889
61961T	Achromobacter mucicolens	37	1389922
61966T	Achromobacter animicus	30	1389935
61972T	Achromobacter pulmonis	30	1389932
61792T	Kribbella shirazensis	37	1105143
61767T	Pseudoarcicella hirudinis	30	1079859
61707T	Seminibacterium arietis	37	1173502
61694T	Methyloversatilis thermotolerans	30	1346290
61695T	Methylovorus menthalis	30	1002227
61696T	Methylopila musalis	30	1134781
61697T	Methyloligella solikamskensis	30	1177756
61687T	Methyloligella halotolerans	30	1177755
61664T	Acinetobacter pittii	30	48296
61636T	Acinetobacter brisouii	30	396323
61593T	Enterococcus rotai	37	118060
61574T	Corynebacterium aquatimens	37	1190508
61573T	Arcanobacterium canis	37	999183
61533T	Gordonia phosphorivorans	37	1056982
61504T	Gaetbulibacter lutimaris	20	1031273
61506T	Pseudorhodobacter wandonensis	30	1120568
61507T	Olleya namhaensis	20	1144750
61508T	Novosphingobium fuchskuhlense	20	1117702
61484T	Mucilaginibacter litoreus	30	1048221
61485T	Namhaeicola litoreus	30	1052145
61486T	Litoreibacter meonggei	30	1049199
61472T	Weissella fabalis	30	1070421
61473T	Tardiphaga robiniae	30	943830
61470T	Pseudomonas entomophila	30	312306
61328T	Campylobacter troglodytis	37	654363
61321T	Marinomonas hwangdonensis	30	1053647
61299T	Actinomyces weissii	37	675090
61259T	Enterococcus eurekensis	37	1159753
61260T	Enterococcus lemanii	37	1159752
61247T	Bosea lathyri	30	1036778
61248T	Bosea lupini	30	1036779
61249T	Bosea robiniae	30	1036780
61235T	Corynebacterium uterequi	37	1072256
61094T	Camelimonas abortus	37	1017184
61031T	Flavobacterium araucananum	20	946678
61032T	Flavobacterium chilense	20-30	946677
60991T	Yersinia pekkanenii	30	1288385
60970T	Nocardia grenadensis	37	931537
60908T	Phocaeicola salanitronis	37	376805
60910T	Bacteroides graminisolvens	37	477666
60912T	Bacteroides fluxus	37	626930
60913T	Bacteroides oleiciplenus	37	626931
60914T	Bacteroides faecis	37	674529
60892T	Macellibacteroides fermentans	37	879969
60898T	Salinimicrobium gaetbulicola	30	999702
60899T	Jannaschia aquimarina	30	935700
60900T	Shewanella seohaensis	30	755175
60888T	Singularimonas variicoloris	30	254408
60890T	Solimonas soli	37	413479
60891T	Yersinia nurmii	30	685706
60872T	Bacteroides stercorirosoris	37	871324
60873T	Bacteroides faecichinchillae	37	871325
60841T	Gulosibacter chungangensis	30-37	979746
60843T	Flavobacterium saliperosum	30	329186
60798T	Winogradskyella aquimaris	30	864074
60799T	Celeribacter baekdonensis	30	875171
60800T	Muricauda beolgyonensis	30	864064
60801T	Cellulophaga geojensis	30	935699
60802T	Mesonia ostrea	30	861110
60763T	Glaciecola siphonariae	30	521012
60742T	Mucilaginibacter lutimaris	30	931629
60743T	Alteromonas lutimaris	30	914153
60744T	Ruegeria halocynthiae	30	985054
60745T	Roseovarius halocynthiae	30	985055
