strainID	Genus	Species	Strain	typeID	has_model	biomassID
103	Shewanella	oneidensis	SO4606	1	1	
104	Shewanella	oneidensis	SO0781	1	1	
105	Escherichia	coli	BL21	1	1	1
106	Pseudomonas	putida	KT2440	1	1	
107	Bacillus	subtilis	1S53	1	1	4
108	Bacillus	subtilis	JH642	1	1	4
109	Bacillus	subtilis	LAB2135	1	1	4
110	Bacillus	subtilis	LAB2136	1	1	4
111	Bacillus	subtilis	LAB2234	1	1	4
112	Bacillus	subtilis	LAB2339	1	1	4
113	Bacillus	subtilis	LAB2341	1	1	4
114	Bacillus	subtilis	LAB2408	1	1	4
115	Bacillus	subtilis	LAB2439	1	1	4
116	Bacillus	subtilis	LAB2506	1	1	4
117	Bacillus	subtilis	ATCC 6051	1	1	4
118	Bacillus	subtilis	ATCC 6051_pyk+	1	1	4
119	Bacillus	subtilis	168CA	1	1	4
120	Bacillus	subtilis	GM1501	1	1	4
121	Bacillus	subtilis	GM1500	1	1	4
122	Bradyrhizobium	japonicum	USDA 110	1	0	
123	Escherichia	coli	KO229	1	1	1
124	Escherichia	coli	BL21[pACYC184]	1	1	1
125	Escherichia	coli	BL21[pACDdsA]	1	1	1
126	Hydrogenobacter	thermophilus	TK-6	1	0	
127	Salmonella	enterica	Typhimurium	1	1	
128	Salmonella	enterica	Typhimurium flr-19	1	1	
129	Salmonella	enterica	Typhimurium flr-191	1	1	
130	Salmonella	enterica	Typhimurium CV241	1	1	
131	Streptomyces	Coelicolor	J802	1	1	
132	Streptomyces	Coelicolor	A3(2)	1	1	
133	Streptomyces	Coelicolor	J845	1	1	
134	Streptomyces	Coelicolor	J846	1	1	
135	Streptomyces	Coelicolor	J847	1	1	
136	Escherichia	coli	BL21[pET-ASPP]	1	1	1
137	Escherichia	coli	BL21[pET-28b(+)]	1	1	1
138	Escherichia	coli	BL21_aspP-	1	1	1
139	Haemophilus	influenzae	Rd	1	1	
140	Corynebacterium	glutamicum	ATCC 13032	1	1	
141	Neurospora	crassa	OR74A	3	0	2
142	Mannheimia	succiniciproducens	MMBEL55E	1	1	3
143	Mycobacterium	tuberculosis	H37Rv	1	1	
144	Zymomonas	mobilis	CP4	1	1	
145	Zymomonas	mobilis	11163	1	1	
146	Zymomonas	mobilis	ATCC 10988	1	1	
147	Zymomonas	mobilis	CU1	1	1	
148	Staphylococcus	aureus	N315	1	1	
149	Acinetobacter	baumannii	ATCC 19606	1	1	
150	Cyanothece		ATCC 51142	1	0	
151	Deinococcus	radiodurans	R1	1	1	
152	Bacillus	amyloliquefaciens	B155	1	0	
153	Bacillus	amyloliquefaciens	B20	1	0	
155	Saccharomyces	cerevisiae	T2-3D	3	1	
156	Aspergillus	nidulans	conidia	3	1	
157	Aspergillus	nidulans	A187	3	1	
158	Aspergillus	nidulans	creA	3	1	
159	Aspergillus	nidulans	A28	3	1	
160	Aspergillus	nidulans	TA1	3	1	
162	Aspergillus	niger	AB1.13	3	1	
163	Aspergillus	oryzae	A1560	3	1	
164	Aspergillus	oryzae	CF1.1	3	1	
165	Aspergillus	oryzae	CF2.1	3	1	
166	Aspergillus	terreus	ATCC 74135	3	1	
167	Bacillus	megaterium	KM Leu-	1	1	
168	Bacillus	megaterium	-	1	1	
169	Candida	glabrata	CTCC M202019	3	1	
170	Candida	glabrata	WSH-IP303	3	1	
171	Lactococcus	lactis	MG1363	1	1	
172	Lactococcus	lactis	MG1614	1	1	
173	Lactococcus	lactis	NCDO712	1	1	
174	Lactococcus	lactis	C2	1	1	
175	Lactococcus	lactis	IL1403	1	1	
176	Lactococcus	lactis	NCDO 2118	1	1	
177	Francisella	tularensis	-	1	1	
178	Geobacter	metallireducens	-	1	1	
179	Halobacterium	salinarum	R-1	2	1	
180	Ketogulonicigenium	vulgare	-	1	1	
181	Streptococcus	thermophilus	ST1	1	1	
182	Streptococcus	thermophilus	ST7	1	1	
183	Streptococcus	thermophilus	ST8	1	1	
184	Streptococcus	thermophilus	ST11	1	1	
185	Streptococcus	thermophilus	ST18	1	1	
186	Streptococcus	thermophilus	ST21	1	1	
188	Synechocystis	PCC6803	-	1	1	
189	Synechocystis	PCC6803	psbA	1	1	
190	Saccharomyces	cerevisiae	GG 570	3	1	
191	Saccharomyces	cerevisiae	CBS 8066	3	1	
192	Saccharomyces	cerevisiae	Y294	3	1	
193	Saccharomyces	cerevisiae	Y294[PGK1]	3	1	
194	Saccharomyces	cerevisiae	Y294[PGK1-XYN]	3	1	
195	Saccharomyces	cerevisiae	Y294[ADH2]	3	1	
196	Saccharomyces	cerevisiae	Y294[ADH2-XYN]	3	1	
197	Albidiferax	ferrireducens	DMS 15236	1	1	
198	Cupriavidus	necator	H16	1	1	
199	Neiserria	meningitidis	serogroup B	1	1	
200	Neiserria	meningitidis	M1	1	1	
202	Neiserria	meningitidis	M5	1	1	
203	Neiserria	meningitidis	M6	1	1	
204	Thermotoga	maritima	DSM 3109	1	1	
205	Methanosarcina	acetivorans	C2A	2	1	
206	Methanosarcina	barkeri	Fusaro	2	1	
207	Methanococcus	maripaludis	S2	2	0	
208	Methanococcus	maripaludis	JJ	2	0	
209	Methanococcus	maripaludis	MM707	2	0	
210	Methanococcus	maripaludis	MM708	2	0	
211	Methanococcus	maripaludis	MM709	2	0	
212	Methanococcus	maripaludis	MM1145	2	0	
213	Methanococcus	maripaludis	MM1183	2	0	
214	Methanococcus	maripaludis	MM1184	2	0	
215	Methanococcus	maripaludis	MM1097	2	0	
216	Methanococcus	maripaludis	MM1020	2	0	
217	Pelagibacter	sp	HTCC7211	1	0	
218	Pelagibacter	ubique	HTCC1062	1	0	
