ncbiTaxID	Source_ID	Name	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
2508297	73383T	Pandoraea communis	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508290	73384T	Pandoraea aquatica	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508301	73385T	Pandoraea anapnoica	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508295	73386T	Pandoraea anhela	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508302	73387T	Pandoraea captiosa	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508299	73388T	Pandoraea pneumonica	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508300	73389T	Pandoraea morbifera	37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2508296	73390T	Pandoraea nosoerga	30-37	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea
2487074	73276T	Kaistella daneshvariae	30	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Kaistella
1968889	73139T	Streptococcus downii	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
2488306	73096T	Pseudocitrobacter vendiensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudocitrobacter
2608404	72808T	Prevotella vespertina	37	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
2508867	72809T	Prevotella brunnea	37	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
2306973	72814T	Bifidobacterium callimiconis	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2306975	72815T	Bifidobacterium goeldii	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2306972	72816T	Bifidobacterium castoris	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2306974	72817T	Bifidobacterium samirii	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2306976	72818T	Bifidobacterium dolichotidis	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
2282420	72762T	Streptococcus hillyeri	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
2282419	72763T	Staphylococcus pseudoxylosus	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
2315254	72509T	Corynebacterium diphtheriae subsp lausannense	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
2792978	72425T	Gardnerella leopoldii	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
2792977	72427T	Gardnerella piotii	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
2792979	72429T	Gardnerella swidsinskii	37	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
1973217	72092T	Sanguibacter massiliensis	37	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Sanguibacteraceae	Sanguibacter
2126033	72399T	Methylopila carotae	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylopila
1944642	72353T	Marasmitruncus massiliensis	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Marasmitruncus
33936	72355T	Aeribacillus pallidus	56	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Aeribacillus
2292441	72345T	Paratractidigestivibacter faecalis	37	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Paratractidigestivibacter
1076620	72321T	Pseudomonas zeshuii	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1245526	72322T	Pseudomonas guangdongensis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
1155073	72323T	Enterococcus diestrammenae	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
1336740	72325T	Corynebacterium atrinae	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
2002838	72292T	Actinomyces minihominis	37	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces
1955013	72269T	Staphylococcus edaphicus	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
1611836	72270T	Staphylococcus pragensis	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
643214	72271T	Mammaliicoccus stepanovicii	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus
2115968	72241T	Lysinibacillus capsici	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
2483112	72164T	Lysobacter pythonis	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
2079234	72165T	Corynebacterium gerontici	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
1862358	72166T	Corynebacterium choanae	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
2080757	72167T	Corynebacterium pseudopelargi	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
2341083	72126T	Mycobacterium innocens	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium
2341086	72127T	Mycobacterium attenuatum	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium
2341080	72128T	Mycobacterium pseudokansasii	37	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium
2086346	71989T	Paracoccus simplex	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus
2201815	71912T	Staphylococcus caeli	37	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
1852376	71898T	Actinomyces marseillensis	37	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces
1987503	71848T	Lentilactobacillus raoultii	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus
2144175	71842T	Megasphaera stantonii	37	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
2040291	71359T	Dorea phocaeensis	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Dorea
1987501	71632T	Massiliimalia timonensis	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Massiliimalia
1970790	71633T	Lactobacillus timonensis	37	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
1926283	71568T	Lachnoclostridium edouardi	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
2069367	71558T	Achromobacter veterisilvae	30	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
2040290	71550T	Helcococcus massiliense	37	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Helcococcus
1907655	71488T	Congobacterium massiliense	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Congobacterium
1917870	71489T	Clostridium pacaense	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
673271	71490T	Catenibacillus scindens	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Catenibacillus
2016376	71370T	Shewanella submarina	30	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
2040292	71356T	Dysgonomonas massiliensis	37	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas
2041841	71357T	Miniphocaeibacter massiliensis	37	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Miniphocaeibacter
2045012	71358T	Clostridium minihomine	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
2041842	71360T	Neobittarella massiliensis	37	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Neobittarella
1944633	71291T	Ornithinibacillus massiliensis	37	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus
