Name	Strain	Temp	Source_ID	ncbiTaxID	Genome
Megasphaera elsdenii	NCIMB 8927	37	CECT 390	907	GCA_000283495.2
Halococcus morrhuae	CCM 859	37	CECT 393	2250	
Leuconostoc mesenteroides	NCIMB 8710	26	CECT 394	1245	
Halobacterium salinarum	CCM 2148	37	CECT 395	2242	
Aeromonas hydrophila	NCIMB 9233	30	CECT 398	644	
Citrobacter freundii	NCTC 9750	37	CECT 401	546	GCA_000312465.1; GCA_000734905.1; GCA_000759735.1
Lactobacillus helveticus	NCIMB 8652	37	CECT 402	1587	
Lactobacillus helveticus	NCFB 100	37	CECT 403	1587	
Lactobacillus helveticus	NCIMB 8115	37	CECT 404	1587	
Escherichia coli	NCIB 8879	37	CECT 405	562	
Enterococcus faecalis	NCIMB 9695	37	CECT 407	1351	
Enterococcus faecalis	NCIMB 8886	37	CECT 408	1351	
Salmonella enterica	NCTC 8385	37	CECT 409	28901	GCA_000007545.1; GCA_900456745.1
Enterococcus faecium	NCTC 7171	37	CECT 410	1352	GCA_001544255.1
Enterococcus durans	NCTC 8307	37	CECT 411	53345	GCA_001544215.1
Shigella sonnei	NCTC 9774	37	CECT 413	624	
Lactobacillus helveticus	NCIMB 8025	37	CECT 414	1587	
Escherichia coli	ATCC 27325	37	CECT 416	562	
Escherichia coli	Starlinger 1045	37	CECT 417	562	
Escherichia coli	Ferrer 5	37	CECT 418	562	
Rhodococcus corynebacterioides	NCIMB 9433	37	CECT 420	53972	GCA_001646675.1; GCA_001894765.1
Caulobacter vibrioides	NCIMB 9082	30	CECT 421	155892	
Myxococcus xanthus	NCIMB 9412	26	CECT 422	34	GCA_900106535.1
Escherichia coli	NCIMB 9481	37	CECT 423	562	
Escherichia coli	NCIMB 9482	37	CECT 424	562	
Escherichia coli	K-12 185 nalidixic acid-resistant	37	CECT 425	562	
Escherichia coli	ATCC 23589	37	CECT 426	562	
Escherichia coli	NCIMB 9553	37	CECT 428	562	
Escherichia coli	MC4100	37	CECT 429	562	
Escherichia coli	NCIMB 10223	37	CECT 431	562	
Escherichia coli	ATCC 21026	37	CECT 432	562	
Escherichia coli	NCIMB 10083	37	CECT 433	562	
Escherichia coli	ATCC 25922	37	CECT 434	1322345	
Staphylococcus aureus	ATCC 25923	37	CECT 435	1280	
Vibrio alginolyticus	NCTC 10675	30	CECT 436	663	
Staphylococcus aureus	NCTC 8530	37	CECT 438	1280	
Bordetella bronchiseptica	ATCC 4617	37	CECT 440	518	
Acinetobacter calcoaceticus	NCIMB 10694	30	CECT 441	471	GCA_000368965.1
Acinetobacter bereziniae	NCIMB 9019	30	CECT 442	106648	
Salmonella enterica	NCTC 74	37	CECT 443	28901	
Microbacterium laevaniformans	DSM 20140	30	CECT 445	36807	
Pseudomonas fragi	NCIMB 8542	26	CECT 446	296	GCA_002091615.1
Elizabethkingia meningoseptica	NCTC 10016	37	CECT 447	238	GCA_000401415.1; GCA_000367325.1
Alcaligenes faecalis	NCTC 10416	37	CECT 448	511	
Achromobacter denitrificans	NCTC 8582	30	CECT 449	32002	GCA_001571365.1
Bacillus sp	P-1	30	CECT 450	-1	
Acinetobacter baumannii	NCTC 7844	30	CECT 452	470	
Acinetobacter lwoffii	LMG 1029	37	CECT 453	28090	GCA_000369105.1
Bordetella bronchiseptica	NCTC 452	37	CECT 455	518	
Salmonella enterica	NCTC 5800	37	CECT 456	28901	
Shigella sonnei	ATCC 11060	37	CECT 457	624	
Pseudomonas viridiflava	NCPPB 635	26	CECT 458	33069	GCA_001305955.1
Escherichia coli	NCIMB 9527	37	CECT 459	562	
Moraxella osloensis	NCTC 10465	37	CECT 460	34062	GCA_001553955.1; GCA_001679175.1
Bacillus subtilis	168t+	30	CECT 461	1423	
Pseudomonas chlororaphis	NCIMB 9030	26	CECT 462	587753	
Moraxella nonliquefaciens	CCUG 348	37	CECT 465	478	GCA_001679005.1
Nocardioides simplex	NCIMB 8929	26	CECT 466	-1	GCA_900114845.1
Achromobacter xylosoxidans	CCUG 12689	30	CECT 467	85698	
Moraxella bovis	CCUG 2133	37	CECT 468	476	GCA_002014975.1
Staphylococcus aureus	ATCC 29737	37	CECT 469	1280	
Escherichia coli	ATCC 27257	37	CECT 470	562	
Escherichia coli	NCIMB 9132	37	CECT 471	562	
Rhizobium radiobacter	ATCC 15955	26	CECT 472	-1	
Komagataeibacter xylinus	NCIMB 5346	30	CECT 473	28448	
Acetobacter sp	NCIMB 7215	26	CECT 474	-1	
Lacticaseibacillus casei	DSM 20011	37	CECT 475	1582	GCA_000829055.1; GCA_000615205.1
Rhizobium rhizogenes	NCPPB 1855	26	CECT 476	-1	
Rhizobium rhizogenes	ATCC 15834	26	CECT 477	-1	
Rhizobium rhizogenes	A4	26	CECT 478	-1	
Streptococcus mutans	DSM 20523	37	CECT 479	1123310	GCA_900475095.1; GCA_000347875.1
Enterococcus faecalis	NCIMB 775	37	CECT 481	1351	GCA_000392875.1
Bacillus subtilis	DSM 618	30	CECT 482	1423	
Serratia liquefaciens	ATCC 27592	26	CECT 483	1346614	GCA_000422085.1
Proteus hauseri	NCTC 4175	37	CECT 484	183417	
Clostridium sporogenes	NCTC 532	37	CECT 485	1509	
Clostridium perfringens	NCTC 8239	37	CECT 486	451757	
Actinomyces viscosus	DSM 43327	37	CECT 488	1656	
Bacillus licheniformis	ATCC 27811	45	CECT 491	1402	
Bacillus amyloliquefaciens	NCIMB 10785	37	CECT 493	1390	
Chromobacterium violaceum	NCTC 9757	26	CECT 494	536	GCA_000007705.1
Bacillus cereus	ATCC 21769	30	CECT 495	1396	
Bacillus cereus	ATCC 21772	30	CECT 496	1396	
Bacillus subtilis	ATCC 6051a	30	CECT 497	1423	
Bacillus subtilis	ATCC 21770	30	CECT 498	1423	
Bacillus subtilis	NRRL B-3411	30	CECT 499	1423	
Yersinia enterocolitica	API 21	30	CECT 500	630	
Escherichia coli	NCTC 10650	37	CECT 501	562	
Escherichia coli	NCTC 9045	37	CECT 503	562	
Escherichia coli	NCTC 10674	37	CECT 504	562	
Clostridium beijerinckii	NCIMB 8052	37	CECT 508	290402	
Dickeya dianthicola	NCPPB 1609	30	CECT 509	204039	
Bacillus pumilus	NCIMB 10822	30	CECT 510	1408	
Vibrio parahaemolyticus	ATCC 17802	30	CECT 511	670	GCA_001011015.1
Vibrio cholerae	NCTC 7254	30	CECT 512	666	
Vibrio cholerae	NCTC 7270	30	CECT 513	666	
Vibrio cholerae	NCTC 8021	30	CECT 514	666	GCA_000621645.1
Escherichia coli	NCTC 9001	37	CECT 515	562	GCA_000690815.1
Escherichia coli	NCIMB 8545	37	CECT 516	562	
Klebsiella pneumoniae	NCTC 10896	37	CECT 517	573	
Pseudomonas aeruginosa	NCTC 10701	37	CECT 519	287	
Staphylococcus aureus	NCTC 10702	37	CECT 520	1280	
Vibrio alginolyticus	NCIMB 1903	30	CECT 521	663	GCA_000467145.1; GCA_000354175.2
Vibrio anguillarum	NCIMB 6	30	CECT 522	55601	GCA_001989995.1
Vibrio campbellii	NCIMB 1894	26	CECT 523	680	GCA_002163755.1
Aliivibrio fischeri	NCIMB 1281	26	CECT 524	668	GCA_001312625.1
Vibrio harveyi	NCIMB 1280	26	CECT 525	669	GCA_000400305.1; GCA_001263135.1
Vibrio natriegens	NCIMB 857	30	CECT 526	691	GCA_000438785.2; GCA_001680025.1
Vibrio natriegens	NCIMB 1900	30	CECT 527	691	
Vibrio splendidus	NCIMB 1	26	CECT 528	29497	GCA_001558015.1; GCA_002737025.1
Vibrio vulnificus	ATCC 27562	30	CECT 529	672	GCA_000299635.1; GCA_001591065.1
Bradyrhizobium japonicum	DSM 30131	26	CECT 530	375	
Clostridioides difficile	NCIMB 10666	37	CECT 531	1496	GCA_001077535.2
Pseudomonas aeruginosa	NCTC 6749	37	CECT 532	287	
Escherichia coli	NCTC 8196	37	CECT 533	562	
Staphylococcus aureus	NCTC 4163	37	CECT 534	1280	
Leifsonia aquatica	NCIMB 9460	30	CECT 535	144185	GCA_000469485.1
Corynebacterium flavescens	NCIMB 8707	30	CECT 536	28028	GCA_001941465.1
Corynebacterium striatum	NCIMB 9956	37	CECT 538	43770	
Lactococcus lactis	NCDO 496	30	CECT 539	1358	
Lactococcus lactis	NCIMB 10493	30	CECT 540	1358	
Lactobacillus helveticus	NCFB 30	37	CECT 541	1587	
Shigella sonnei	CIP 63.10	37	CECT 542	624	
Escherichia coli	CIP 55.30	37	CECT 543	562	
Dermacoccus nishinomiyaensis	CCM 2140	30	CECT 544	1274	GCA_900447535.1
Salmonella enterica	NCTC 6017	37	CECT 545	28901	
Xanthomonas albilineans	NCPPB 290	30	CECT 546	29447	
Xanthomonas axonopodis	NCPPB 457	30	CECT 548	53413	GCA_001401595.1; GCA_001304695.1
Xanthomonas fragariae	NCPPB 1469	30	CECT 549	48664	GCA_900380235.1
Paraclostridium bifermentans	NCTC 506	37	CECT 550	1490	
Clostridium botulinum	NCTC 7272	37	CECT 551	1491	
Vibrio cholerae	NCTC 3661	30	CECT 552	666	
Clostridium sporogenes	NCIMB 8053	37	CECT 553	1509	
Salmonella enterica	Alcaide 403	37	CECT 554	28901	
Rhodococcus hoagii	DSM 20307	30	CECT 555	-1	GCA_000473915.1; GCA_001552575.1
Salmonella enterica	Alcaide 669	37	CECT 556	28901	
Bordetella bronchiseptica	NCTC 452	37	CECT 558	518	GCA_001598655.1
Yersinia enterocolitica	NCTC 10460	30	CECT 559	630	
Zymomonas mobilis	NCIMB 11199	30	CECT 560	542	
Bacillus coagulans	DSM 2312	30	CECT 561	-1	
Limosilactobacillus fermentum	DSM 20055	37	CECT 562	1613	
Clostridium perfringens	NCTC 10239	37	CECT 563	1502	
Staphylococcus aureus	NCIMB 8244	37	CECT 567	1280	
Escherichia coli	NCTC 10487	37	CECT 568	562	
Vibrio cholerae	ATCC 25870	30	CECT 569	666	
Companilactobacillus alimentarius	DSM 20249	30	CECT 570	1423720	GCA_001434745.1; GCA_002849895.1
Companilactobacillus farciminis	DSM 20184	30	CECT 571	1612	GCA_000184535.1; GCA_001434775.1; GCA_002706745.1
Weissella minor	DSM 20014	30	CECT 572	1620	GCA_001437425.1
Weissella halotolerans	DSM 20190	30	CECT 573	1123500	GCA_001436865.1
Halomonas pacifica	ATCC 27122	26	CECT 574	77098	
Pseudoalteromonas haloplanktis	ATCC 19855	26	CECT 576	228	
Microbacterium maritypicum	ATCC 19260	30	CECT 578	300020	
Pseudoalteromonas atlantica	NCIMB 301	26	CECT 579	288	
Clostridium botulinum	NCTC 2916	37	CECT 581	445335	
Vibrio ordalii	NCIMB 2167	26	CECT 582	28174	GCA_000257205.1
Shigella boydii	CCUG 9564	37	CECT 583	621	
Shigella dysenteriae	CCUG 9565	37	CECT 584	622	GCA_900457215.1
Shigella flexneri	CCUG 9566	37	CECT 585	623	
Vibrio alginolyticus	CCUG 4990	30	CECT 586	663	
Vibrio parahaemolyticus	CCUG 4991	30	CECT 588	670	
Vibrio parahaemolyticus	CCUG 13447	30	CECT 589	670	
Azospirillum brasilense	DSM 1690	30	CECT 590	192	GCA_001315015.1; GCA_002027385.1; 
Desulfotomaculum nigrificans	NCIMB 8351	55	CECT 591	1565	
Acetivibrio thermocellus	DSM 1237	55	CECT 593	1515	GCA_000015865.1
Thermoanaerobacter thermohydrosulfuricus	DSM 567	60	CECT 594	1516	
Vibrio nereis	NCIMB 1897	26	CECT 595	693	GCA_001591105.1
Zymomonas mobilis	NRRL B-806	30	CECT 596	542	GCA_000175255.2
Plesiomonas shigelloides	CNCTC Aer2/65	30	CECT 597	703	
Sphingomonas paucimobilis	CCUG 6518	30	CECT 599	13689	GCA_000739895.2
Vibrio alginolyticus	Pujalte 22	30	CECT 600	663	
Vibrio alginolyticus	Pujalte 63	30	CECT 601	663	
Vibrio alginolyticus	Pujalte 149	30	CECT 603	663	
Vibrio harveyi	Pujalte 20	26	CECT 604	669	
Vibrio harveyi	Pujalte 102	26	CECT 605	669	
Vibrio harveyi	Pujalte 158	26	CECT 606	669	
Vibrio harveyi	Pujalte 76	26	CECT 607	669	
Vibrio harveyi	Pujalte 35	26	CECT 608	669	
Vibrio alginolyticus	Pujalte 143	30	CECT 609	663	
Vibrio alginolyticus	Pujalte 153	30	CECT 610	663	
Vibrio parahaemolyticus	Pujalte 10	30	CECT 611	670	
Vibrio parahaemolyticus	Pujalte 67	30	CECT 612	670	
Vibrio parahaemolyticus	Pujalte 130	30	CECT 613	670	
Vibrio mediterranei	Pujalte 104	26	CECT 615	689	
Vibrio splendidus	Pujalte 118	26	CECT 618	29497	
Vibrio pelagius	Pujalte 55	26	CECT 619	28169	
Vibrio pelagius	Pujalte 56	30	CECT 620	28169	
Vibrio mediterranei	Pujalte 50	26	CECT 621	689	GCA_900088415.1; GCA_001591125.1
Vibrio mediterranei	Pujalte 85	26	CECT 622	689	
Vibrio mediterranei	Pujalte 84	26	CECT 623	689	
Vibrio aestuarianus	NCIMB 2236	26	CECT 625	28171	
Photobacterium damselae	NCIMB 2184	26	CECT 626	38293	GCA_000176795.1
Vibrio diazotrophicus	NCIMB 2169	26	CECT 627	685	GCA_000740015.1
Vibrio nigripulchritudo	NCIMB 1904	26	CECT 628	28173	GCA_000222685.2
Vibrio orientalis	NCIMB 2195	26	CECT 629	28175	GCA_000176235.1; GCA_000222645.1
Vibrio proteolyticus	NCIMB 1326	26	CECT 630	671	GCA_000467125.1
Vibrio tubiashii	NCIMB 1336	26	CECT 631	29498	
Vibrio mytili	Pujalte 165	26	CECT 632	50718	GCA_000830505.1
Vibrio mytili	Pujalte 163	26	CECT 633	50718	
Vibrio mytili	Pujalte 185	26	CECT 634	50718	
Vibrio cholerae	Colwell V69	30	CECT 651	666	
Vibrio cholerae	Lou15	30	CECT 652	666	
Vibrio cholerae	Huq D-17451	30	CECT 653	666	
