BacDiveID,id,level,name,reference,growth,type,temperature,range
19,1307912,strain,Acetobacter oeni,23234,positive,optimum,28,mesophilic
19,1307912,strain,Acetobacter oeni,37461,positive,growth,25,mesophilic
20,1120919,strain,Acetobacter nitrogenifigens,17427,positive,growth,28,mesophilic
20,1120919,strain,Acetobacter nitrogenifigens,67770,positive,growth,30,mesophilic
21,1307918,strain,Acetobacter senegalensis,7760,positive,growth,35,mesophilic
21,1307918,strain,Acetobacter senegalensis,23236,positive,optimum,35,mesophilic
21,1307918,strain,Acetobacter senegalensis,23236,,growth,35,mesophilic
21,1307918,strain,Acetobacter senegalensis,23236,positive,growth,28-40,
22,1307907,strain,Acetobacter ghanensis,7761,positive,growth,30,mesophilic
23,1307906,strain,Acetobacter fabarum,8200,positive,growth,28,mesophilic
24,104098,species,Acetobacter pasteurianus,745,positive,growth,26,mesophilic
24,104098,species,Acetobacter pasteurianus,67770,positive,growth,30,mesophilic
25,438,species,Acetobacter pasteurianus,954,positive,growth,26,mesophilic
25,438,species,Acetobacter pasteurianus,67770,positive,growth,25,mesophilic
26,524,species,Acidiphilium cryptum,23239,no,growth,47,thermophilic
26,524,species,Acidiphilium cryptum,23239,positive,optimum,35-41,
26,524,species,Acidiphilium cryptum,23239,,,,mesophilic
26,524,species,Acidiphilium cryptum,1068,positive,growth,28,mesophilic
26,524,species,Acidiphilium cryptum,67770,positive,growth,27,mesophilic
27,524,species,Acidiphilium cryptum,1069,positive,growth,28,mesophilic
28,524,species,Acidiphilium cryptum,1168,positive,growth,30,mesophilic
29,524,species,Acidiphilium cryptum,3585,positive,growth,37,mesophilic
30,1307921,strain,Acidiphilium acidophilum,363,positive,growth,30,mesophilic
30,1307921,strain,Acidiphilium acidophilum,41191,positive,growth,26,mesophilic
31,62140,species,Acidiphilium multivorum,4256,positive,growth,30,mesophilic
31,62140,species,Acidiphilium multivorum,67770,positive,growth,30,mesophilic
32,1120923,strain,Acidiphilium aminilyticum,4254,positive,growth,37,mesophilic
32,1120923,strain,Acidiphilium aminilyticum,67770,positive,growth,37,mesophilic
33,1231351,strain,Acidomonas methanolica,2164,positive,growth,30,mesophilic
33,1231351,strain,Acidomonas methanolica,40546,positive,growth,30,mesophilic
33,1231351,strain,Acidomonas methanolica,67770,positive,growth,30,mesophilic
34,1307927,strain,Asaia siamensis,6211,positive,growth,30,mesophilic
34,1307927,strain,Asaia siamensis,23240,positive,growth,30,mesophilic
34,1307927,strain,Asaia siamensis,33731,positive,growth,30,mesophilic
34,1307927,strain,Asaia siamensis,67770,positive,growth,30,mesophilic
35,1236500,strain,Asaia astilbis,16660,positive,growth,28,mesophilic
35,1236500,strain,Asaia astilbis,67770,positive,growth,30,mesophilic
36,1236525,strain,Asaia platycodi,16659,positive,growth,28,mesophilic
36,1236525,strain,Asaia platycodi,67770,positive,growth,30,mesophilic
37,1236502,strain,Asaia prunellae,16658,positive,growth,28,mesophilic
37,1236502,strain,Asaia prunellae,67770,positive,growth,30,mesophilic
38,1121106,strain,Belnapia moabensis,6490,positive,growth,30,mesophilic
38,1121106,strain,Belnapia moabensis,23241,positive,growth,15-30,
38,1121106,strain,Belnapia moabensis,23241,no,growth,37,mesophilic
38,1121106,strain,Belnapia moabensis,23241,positive,optimum,25,mesophilic
39,938405,species,Belnapia rosea,16783,positive,growth,28,mesophilic
39,938405,species,Belnapia rosea,23242,positive,maximum,37,mesophilic
39,938405,species,Belnapia rosea,23242,positive,minimum,20,psychrophilic
39,938405,species,Belnapia rosea,23242,positive,optimum,28-32,mesophilic
40,272568,strain,Gluconacetobacter diazotrophicus,2248,positive,growth,28,mesophilic
40,272568,strain,Gluconacetobacter diazotrophicus,40703,positive,growth,30,mesophilic
41,89584,species,Gluconacetobacter liquefaciens,2250,positive,growth,28,mesophilic
41,89584,species,Gluconacetobacter liquefaciens,34114,positive,growth,30,mesophilic
41,89584,species,Gluconacetobacter liquefaciens,46759,positive,growth,30,mesophilic
41,89584,species,Gluconacetobacter liquefaciens,67770,positive,growth,30,mesophilic
42,1307940,strain,Gluconacetobacter sacchari,4795,positive,growth,28,mesophilic
42,1307940,strain,Gluconacetobacter sacchari,39554,positive,growth,30,mesophilic
43,1307932,strain,Gluconacetobacter azotocaptans,5102,positive,growth,28,mesophilic
43,1307932,strain,Gluconacetobacter azotocaptans,22919,positive,growth,29,mesophilic
43,1307932,strain,Gluconacetobacter azotocaptans,22919,no,growth,37,mesophilic
43,1307932,strain,Gluconacetobacter azotocaptans,33648,positive,growth,30,mesophilic
44,112140,species,Gluconacetobacter johannae,5103,positive,growth,28,mesophilic
44,112140,species,Gluconacetobacter johannae,22919,positive,growth,29,mesophilic
44,112140,species,Gluconacetobacter johannae,22919,no,growth,37,mesophilic
44,112140,species,Gluconacetobacter johannae,40689,positive,growth,30,mesophilic
45,1234672,strain,Komagataeibacter kakiaceti,17491,positive,growth,28,mesophilic
45,1234672,strain,Komagataeibacter kakiaceti,30251,positive,growth,15-30,
45,1234672,strain,Komagataeibacter kakiaceti,67770,positive,growth,30,mesophilic
46,442,species,Gluconobacter oxydans,744,positive,growth,28,mesophilic
46,442,species,Gluconobacter oxydans,35637,positive,growth,30,mesophilic
47,442,species,Gluconobacter oxydans,951,positive,growth,25,mesophilic
48,442,species,Gluconobacter oxydans,1399,positive,growth,26,mesophilic
48,442,species,Gluconobacter oxydans,23244,inconsistent,growth,33,mesophilic
48,442,species,Gluconobacter oxydans,23244,inconsistent,growth,34,mesophilic
48,442,species,Gluconobacter oxydans,23244,no,growth,35,mesophilic
48,442,species,Gluconobacter oxydans,23244,no,growth,37,mesophilic
48,442,species,Gluconobacter oxydans,40524,positive,growth,30,mesophilic
48,442,species,Gluconobacter oxydans,67770,positive,growth,30,mesophilic
49,442,species,Gluconobacter oxydans,3019,positive,growth,26,mesophilic
50,442,species,Gluconobacter oxydans,12587,positive,growth,30,mesophilic
51,442,species,Gluconobacter oxydans,12588,positive,growth,30,mesophilic
51,442,species,Gluconobacter oxydans,67770,positive,growth,25,mesophilic
52,442,species,Gluconobacter oxydans,12608,positive,growth,26,mesophilic
52,442,species,Gluconobacter oxydans,37739,positive,growth,30,mesophilic
52,442,species,Gluconobacter oxydans,46762,positive,growth,25-30,mesophilic
52,442,species,Gluconobacter oxydans,67770,positive,growth,25,mesophilic
53,38308,species,Gluconobacter frateurii,3020,positive,growth,25,mesophilic
53,38308,species,Gluconobacter frateurii,3020,positive,growth,26,mesophilic
53,38308,species,Gluconobacter frateurii,23244,positive,growth,33,mesophilic
53,38308,species,Gluconobacter frateurii,23244,positive,growth,34,mesophilic
53,38308,species,Gluconobacter frateurii,23244,no,growth,35,mesophilic
53,38308,species,Gluconobacter frateurii,23244,no,growth,37,mesophilic
53,38308,species,Gluconobacter frateurii,41283,positive,growth,30,mesophilic
54,1876758,species,Gluconobacter sp.,1400,positive,growth,26,mesophilic
54,1876758,species,Gluconobacter sp.,67770,positive,growth,25,mesophilic
55,38307,species,Gluconobacter cerinus,3021,positive,growth,26,mesophilic
55,38307,species,Gluconobacter cerinus,39082,positive,growth,30,mesophilic
55,38307,species,Gluconobacter cerinus,67770,positive,growth,30,mesophilic
56,38307,species,Gluconobacter cerinus,3628,positive,growth,28,mesophilic
56,38307,species,Gluconobacter cerinus,40542,positive,growth,30,mesophilic
56,38307,species,Gluconobacter cerinus,67770,positive,growth,30,mesophilic
57,38307,species,Gluconobacter cerinus,3629,positive,growth,28,mesophilic
58,153496,species,Kozakia baliensis,5337,positive,growth,28,mesophilic
58,153496,species,Kozakia baliensis,5337,positive,growth,30,mesophilic
58,153496,species,Kozakia baliensis,23245,positive,growth,30,mesophilic
58,153496,species,Kozakia baliensis,58344,positive,growth,30,mesophilic
58,153496,species,Kozakia baliensis,67770,positive,growth,30,mesophilic
59,1071,species,Rhodopila globiformis,2128,positive,growth,25,mesophilic
59,1071,species,Rhodopila globiformis,36597,positive,growth,25,mesophilic
60,35813,species,Roseococcus thiosulfatophilus,3292,positive,growth,28,mesophilic
61,455361,species,Roseococcus suduntuyensis,8351,positive,growth,25,mesophilic
62,1123072,strain,Rubritepida flocculans,5306,positive,growth,50,thermophilic
63,231053,species,Saccharibacter floricola,6023,positive,growth,28,mesophilic
63,231053,species,Saccharibacter floricola,23247,positive,growth,28,mesophilic
63,231053,species,Saccharibacter floricola,67770,positive,growth,28,mesophilic
64,94,species,Stella humosa,2352,positive,growth,28-30,mesophilic
64,94,species,Stella humosa,23248,positive,optimum,28-30,mesophilic
65,217070,species,Stella vacuolata,2353,positive,growth,28,mesophilic
65,217070,species,Stella vacuolata,23248,positive,optimum,28,mesophilic
66,1264899,species,Zavarzinia compransoris,543,positive,growth,30,mesophilic
67,50715,species,Acidisphaera rubrifaciens,6239,positive,growth,30,mesophilic
67,50715,species,Acidisphaera rubrifaciens,23249,positive,growth,20-40,
67,50715,species,Acidisphaera rubrifaciens,23249,positive,optimum,30-35,mesophilic
67,50715,species,Acidisphaera rubrifaciens,67770,positive,growth,30,mesophilic
68,198093,species,Roseomonas ludipueritiae,5459,positive,growth,28,mesophilic
68,198093,species,Roseomonas ludipueritiae,33790,positive,growth,30,mesophilic
68,198093,species,Roseomonas ludipueritiae,60700,positive,growth,30,mesophilic
69,198092,species,Muricoccus roseus,5460,positive,growth,28,mesophilic
69,198092,species,Muricoccus roseus,33791,positive,growth,30,mesophilic
69,198092,species,Muricoccus roseus,67772,positive,minimum,15,psychrophilic
69,198092,species,Muricoccus roseus,67772,positive,optimum,30,mesophilic
69,198092,species,Muricoccus roseus,67772,positive,maximum,45,thermophilic
70,207340,species,Roseomonas mucosa,17115,positive,growth,28,mesophilic
71,287609,species,Roseomonas lacus,8018,positive,growth,30,mesophilic
71,287609,species,Roseomonas lacus,23250,positive,growth,30,mesophilic
71,287609,species,Roseomonas lacus,23250,positive,growth,15-40,
71,287609,species,Roseomonas lacus,23250,positive,optimum,30,mesophilic
71,287609,species,Roseomonas lacus,37471,positive,growth,30,mesophilic
71,287609,species,Roseomonas lacus,67770,positive,growth,30,mesophilic
72,373043,species,Roseomonas aquatica,8017,positive,growth,28,mesophilic
72,373043,species,Roseomonas aquatica,22959,positive,growth,15.0-35.0,
72,373043,species,Roseomonas aquatica,22959,positive,optimum,25.0-28.0,mesophilic
72,373043,species,Roseomonas aquatica,37542,positive,growth,30,mesophilic
72,373043,species,Roseomonas aquatica,67770,positive,growth,28,mesophilic
73,424704,species,Roseomonas vinacea,8073,positive,growth,28,mesophilic
73,424704,species,Roseomonas vinacea,22960,positive,growth,4.0-40.0,
73,424704,species,Roseomonas vinacea,22960,positive,optimum,30.0-32.0,mesophilic
73,424704,species,Roseomonas vinacea,67772,positive,optimum,30-32,mesophilic
73,424704,species,Roseomonas vinacea,67772,positive,minimum,4,psychrophilic
73,424704,species,Roseomonas vinacea,67772,positive,maximum,40,thermophilic
74,1869190,species,Roseomonas sp.,16969,positive,growth,28,mesophilic
75,1123062,strain,Roseomonas stagni,8353,positive,growth,30,mesophilic
75,1123062,strain,Roseomonas stagni,67770,positive,growth,30,mesophilic
75,1123062,strain,Roseomonas stagni,67771,positive,growth,30,mesophilic
76,452982,species,Roseomonas aerilata,8074,positive,growth,30,mesophilic
76,452982,species,Roseomonas aerilata,22961,positive,growth,5.0-35.0,
76,452982,species,Roseomonas aerilata,22961,positive,optimum,30.0,mesophilic
76,452982,species,Roseomonas aerilata,40348,positive,growth,30,mesophilic
76,452982,species,Roseomonas aerilata,67772,positive,minimum,5,psychrophilic
76,452982,species,Roseomonas aerilata,67772,positive,optimum,30,mesophilic
76,452982,species,Roseomonas aerilata,67772,positive,maximum,35,mesophilic
77,693023,species,Roseomonas pecuniae,17963,positive,growth,28,mesophilic
77,693023,species,Roseomonas pecuniae,22962,no,growth,5.0,psychrophilic
77,693023,species,Roseomonas pecuniae,22962,no,growth,37.0,mesophilic
77,693023,species,Roseomonas pecuniae,22962,positive,optimum,30.0,mesophilic
77,693023,species,Roseomonas pecuniae,37690,positive,growth,30,mesophilic
77,693023,species,Roseomonas pecuniae,67772,positive,minimum,10,psychrophilic
77,693023,species,Roseomonas pecuniae,67772,positive,optimum,30,mesophilic
77,693023,species,Roseomonas pecuniae,67772,positive,maximum,35,mesophilic
78,693023,species,Roseomonas pecuniae,18067,positive,growth,30,mesophilic
79,209650,species,Acidicaldus organivorans,6665,positive,growth,50,thermophilic
80,364410,species,Granulibacter bethesdensis,7145,positive,growth,35,mesophilic
80,364410,species,Granulibacter bethesdensis,22963,positive,optimum,35.0-37.0,mesophilic
81,512382,species,Acidisoma tundrae,8416,positive,growth,20,psychrophilic
81,512382,species,Acidisoma tundrae,22964,positive,growth,2.0-30.0,
81,512382,species,Acidisoma tundrae,22964,positive,optimum,15.0-22.0,psychrophilic
82,512383,species,Acidisoma sibiricum,9076,positive,growth,20,psychrophilic
82,512383,species,Acidisoma sibiricum,22964,positive,growth,2.0-30.0,
82,512383,species,Acidisoma sibiricum,22964,positive,optimum,20.0-25.0,
83,33995,species,Gluconacetobacter europaeus,2455,positive,growth,28,mesophilic
83,33995,species,Gluconacetobacter europaeus,67770,positive,growth,30,mesophilic
84,33995,species,Gluconacetobacter europaeus,2456,positive,growth,30,mesophilic
85,1231352,strain,Komagataeibacter hansenii,40606,positive,growth,30,mesophilic
85,1231352,strain,Komagataeibacter hansenii,2249,positive,growth,28,mesophilic
85,1231352,strain,Komagataeibacter hansenii,67770,positive,growth,30,mesophilic
86,28448,species,Komagataeibacter xylinus,732,positive,growth,26,mesophilic
86,28448,species,Komagataeibacter xylinus,67770,positive,growth,25,mesophilic
87,28448,species,Komagataeibacter xylinus,952,positive,growth,25,mesophilic
87,28448,species,Komagataeibacter xylinus,67770,positive,growth,25,mesophilic
88,1220579,strain,Komagataeibacter xylinus,2710,positive,growth,28,mesophilic
88,1220579,strain,Komagataeibacter xylinus,36961,positive,growth,30,mesophilic
88,1220579,strain,Komagataeibacter xylinus,38117,positive,growth,30,mesophilic
88,1220579,strain,Komagataeibacter xylinus,67770,positive,growth,30,mesophilic
89,28448,species,Komagataeibacter xylinus,12583,positive,growth,28,mesophilic
89,28448,species,Komagataeibacter xylinus,32700,positive,growth,30,mesophilic
90,28448,species,Komagataeibacter xylinus,12584,positive,growth,28,mesophilic
91,1307938,strain,Komagataeibacter oboediens,4506,positive,growth,30,mesophilic
91,1307938,strain,Komagataeibacter oboediens,39823,positive,growth,30,mesophilic
91,1307938,strain,Komagataeibacter oboediens,67770,positive,growth,30,mesophilic
92,66229,species,Komagataeibacter intermedius,4493,positive,growth,30,mesophilic
92,66229,species,Komagataeibacter intermedius,39826,positive,growth,30,mesophilic
92,66229,species,Komagataeibacter intermedius,67770,positive,growth,30,mesophilic
93,1307943,strain,Komagataeibacter swingsii,6410,positive,growth,28,mesophilic
93,1307943,strain,Komagataeibacter swingsii,39825,positive,growth,30,mesophilic
93,1307943,strain,Komagataeibacter swingsii,67770,positive,growth,28,mesophilic
94,215221,species,Komagataeibacter rhaeticus,6558,positive,growth,28,mesophilic
94,215221,species,Komagataeibacter rhaeticus,33078,positive,growth,30,mesophilic
94,215221,species,Komagataeibacter rhaeticus,67770,positive,growth,28,mesophilic
95,1307942,strain,Komagataeibacter sucrofermentans,6212,positive,growth,28,mesophilic
95,1307942,strain,Komagataeibacter sucrofermentans,39824,positive,growth,30,mesophilic
95,1307942,strain,Komagataeibacter sucrofermentans,67770,positive,growth,28,mesophilic
96,2148,species,Acholeplasma laidlawii,7895,positive,growth,37,mesophilic
97,2148,species,Acholeplasma laidlawii,16683,positive,growth,37,mesophilic
97,2148,species,Acholeplasma laidlawii,32774,positive,growth,37,mesophilic
98,591001,strain,Acidaminococcus fermentans,42016,positive,growth,37,mesophilic
98,591001,strain,Acidaminococcus fermentans,9041,positive,growth,37,mesophilic
98,591001,strain,Acidaminococcus fermentans,45249,positive,growth,37,mesophilic
99,1120921,strain,Acidaminococcus intestini,15684,positive,growth,37,mesophilic
99,1120921,strain,Acidaminococcus intestini,42018,positive,growth,37,mesophilic
99,1120921,strain,Acidaminococcus intestini,67771,positive,growth,37,mesophilic
100,33025,species,Phascolarctobacterium faecium,5523,positive,growth,37,mesophilic
101,33025,species,Phascolarctobacterium faecium,5524,positive,growth,37,mesophilic
102,33025,species,Phascolarctobacterium faecium,5525,positive,growth,37,mesophilic
103,40841,species,Succiniclasticum ruminis,3519,positive,growth,37,mesophilic
103,40841,species,Succiniclasticum ruminis,22966,no,growth,22.0,psychrophilic
103,40841,species,Succiniclasticum ruminis,22966,positive,growth,39.0,mesophilic
104,2775030,species,Succiniclasticum sp.,4159,positive,growth,37,mesophilic
105,78120,species,Succinispira mobilis,2544,positive,growth,35,mesophilic
105,78120,species,Succinispira mobilis,22967,no,growth,40.0,thermophilic
105,78120,species,Succinispira mobilis,22967,positive,optimum,37.0,mesophilic
106,53635,species,Acidimicrobium ferrooxidans,3908,positive,growth,45,thermophilic
106,53635,species,Acidimicrobium ferrooxidans,22968,positive,optimum,45.0-50.0,thermophilic
106,53635,species,Acidimicrobium ferrooxidans,67770,positive,growth,45,thermophilic
108,1121877,strain,Ferrimicrobium acidiphilum,8120,positive,growth,32,mesophilic
108,1121877,strain,Ferrimicrobium acidiphilum,22969,no,growth,>37.0,
108,1121877,strain,Ferrimicrobium acidiphilum,22969,positive,optimum,35.0,
109,1121881,strain,Ferrithrix thermotolerans,8142,positive,growth,37,mesophilic
109,1121881,strain,Ferrithrix thermotolerans,22969,,maximum,50.0,thermophilic
109,1121881,strain,Ferrithrix thermotolerans,22969,positive,optimum,43.0,thermophilic
110,467091,species,Ilumatobacter fluminis,7794,positive,growth,28,mesophilic
110,467091,species,Ilumatobacter fluminis,67770,positive,growth,28,mesophilic
111,920,species,Acidithiobacillus ferrooxidans,300,positive,growth,30,mesophilic
112,920,species,Acidithiobacillus ferrooxidans,301,positive,growth,30,mesophilic
113,920,species,Acidithiobacillus ferrooxidans,302,positive,growth,30,mesophilic
114,920,species,Acidithiobacillus ferrooxidans,671,positive,growth,30,mesophilic
115,920,species,Acidithiobacillus ferrooxidans,3582,positive,growth,28,mesophilic
116,920,species,Acidithiobacillus ferrooxidans,3583,positive,growth,28,mesophilic
117,920,species,Acidithiobacillus ferrooxidans,4380,positive,growth,30,mesophilic
118,243159,strain,Acidithiobacillus ferrooxidans,5597,positive,growth,25,mesophilic
119,160808,species,Acidithiobacillus ferrivorans,6950,positive,growth,25,mesophilic
120,920,species,Acidithiobacillus ferrooxidans,17673,positive,growth,28,mesophilic
120,920,species,Acidithiobacillus ferrooxidans,67770,positive,growth,30,mesophilic
121,930,species,Acidithiobacillus thiooxidans,242,positive,growth,26,mesophilic
121,930,species,Acidithiobacillus thiooxidans,67770,positive,growth,30,mesophilic
122,930,species,Acidithiobacillus thiooxidans,327,positive,growth,28,mesophilic
123,930,species,Acidithiobacillus thiooxidans,3581,positive,growth,28,mesophilic
124,930,species,Acidithiobacillus thiooxidans,4381,positive,growth,30,mesophilic
125,930,species,Acidithiobacillus thiooxidans,5601,positive,growth,25,mesophilic
125,930,species,Acidithiobacillus thiooxidans,35699,positive,growth,25,mesophilic
125,930,species,Acidithiobacillus thiooxidans,67770,positive,growth,30,mesophilic
126,637389,strain,Acidithiobacillus caldus,3313,positive,growth,45,thermophilic
127,33059,species,Acidithiobacillus caldus,3584,positive,growth,37,mesophilic
128,119978,species,Acidithiobacillus albertensis,5322,positive,growth,30,mesophilic
129,160808,species,Acidithiobacillus ferrivorans,16496,positive,growth,30,mesophilic
129,160808,species,Acidithiobacillus ferrivorans,67770,positive,growth,30,mesophilic
130,1872118,species,Acidithiobacillus sp.,17672,positive,growth,45,thermophilic
131,240015,strain,Acidobacterium capsulatum,4255,positive,growth,30,mesophilic
131,240015,strain,Acidobacterium capsulatum,67770,positive,growth,30,mesophilic
132,388466,species,Edaphobacter modestus,21411,positive,maximum,30,mesophilic
132,388466,species,Edaphobacter modestus,21411,positive,minimum,15,psychrophilic
132,388466,species,Edaphobacter modestus,21411,positive,optimum,30,mesophilic
132,388466,species,Edaphobacter modestus,7394,positive,growth,25,mesophilic
133,570835,species,Edaphobacter aggregans,21411,positive,maximum,37,mesophilic
133,570835,species,Edaphobacter aggregans,21411,positive,minimum,15,psychrophilic
133,570835,species,Edaphobacter aggregans,21411,positive,optimum,30,mesophilic
133,570835,species,Edaphobacter aggregans,8075,positive,growth,15-25,
134,926566,strain,Terriglobus roseus,7520,positive,growth,25,mesophilic
134,926566,strain,Terriglobus roseus,22970,no,growth,4,psychrophilic
134,926566,strain,Terriglobus roseus,22970,positive,growth,12-23,psychrophilic
135,870903,species,Terriglobus saanensis,16717,positive,growth,20,psychrophilic
135,870903,species,Terriglobus saanensis,22970,positive,growth,4.0-30.0,
135,870903,species,Terriglobus saanensis,22970,positive,growth,4.0,psychrophilic
135,870903,species,Terriglobus saanensis,22970,positive,optimum,25.0,mesophilic
136,474952,species,Granulicella rosea,7665,positive,growth,20,psychrophilic
136,474952,species,Granulicella rosea,22971,positive,growth,2.0-33.0,
136,474952,species,Granulicella rosea,22971,positive,optimum,18.0-22.0,psychrophilic
136,474952,species,Granulicella rosea,22971,,,,psychrophilic
137,474950,species,Granulicella pectinivorans,9077,positive,growth,20,psychrophilic
137,474950,species,Granulicella pectinivorans,22971,positive,growth,2.0-33.0,
137,474950,species,Granulicella pectinivorans,22971,positive,optimum,18.0-22.0,psychrophilic
138,474949,species,Granulicella aggregans,16375,positive,growth,20,psychrophilic
138,474949,species,Granulicella aggregans,22971,positive,growth,2.0-33.0,
138,474949,species,Granulicella aggregans,22971,positive,optimum,18.0-22.0,psychrophilic
139,474951,species,Granulicella paludicola,16353,positive,growth,20,psychrophilic
139,474951,species,Granulicella paludicola,22971,positive,growth,2.0-33.0,
139,474951,species,Granulicella paludicola,22971,positive,optimum,18.0-22.0,psychrophilic
140,474953,species,Telmatobacter bradus,17302,positive,growth,22,psychrophilic
140,474953,species,Telmatobacter bradus,22887,positive,maximum,35,mesophilic
140,474953,species,Telmatobacter bradus,22887,positive,minimum,4,psychrophilic
140,474953,species,Telmatobacter bradus,22887,positive,optimum,20-28,
140,474953,species,Telmatobacter bradus,22887,,,,psychrophilic
141,863522,species,Bryocella elongata,16359,positive,growth,20,psychrophilic
141,863522,species,Bryocella elongata,23106,positive,maximum,32,mesophilic
141,863522,species,Bryocella elongata,23106,positive,minimum,6.0,psychrophilic
141,863522,species,Bryocella elongata,23106,positive,optimum,20-24,psychrophilic
142,946336,species,Acidicapsa borealis,17422,positive,growth,20,psychrophilic
142,946336,species,Acidicapsa borealis,23352,positive,maximum,33,mesophilic
142,946336,species,Acidicapsa borealis,23352,positive,minimum,10,psychrophilic
142,946336,species,Acidicapsa borealis,23352,positive,optimum,22-28,
143,542300,species,Acidicapsa ligni,17958,positive,growth,25,mesophilic
143,542300,species,Acidicapsa ligni,23352,positive,maximum,33,mesophilic
143,542300,species,Acidicapsa ligni,23352,positive,minimum,10,psychrophilic
143,542300,species,Acidicapsa ligni,23352,positive,optimum,22-28,
144,1657,species,Actinobaculum suis,23353,no,growth,<23,psychrophilic
144,1657,species,Actinobaculum suis,23354,positive,growth,30-43,
144,1657,species,Actinobaculum suis,23354,no,growth,22-23,psychrophilic
144,1657,species,Actinobaculum suis,23353,positive,maximum,43,thermophilic
144,1657,species,Actinobaculum suis,23353,positive,minimum,30,mesophilic
144,1657,species,Actinobaculum suis,23353,positive,optimum,37,mesophilic
144,1657,species,Actinobaculum suis,23354,positive,optimum,37,mesophilic
144,1657,species,Actinobaculum suis,8985,positive,growth,37,mesophilic
144,1657,species,Actinobaculum suis,33054,positive,growth,37,mesophilic
144,1657,species,Actinobaculum suis,46981,positive,growth,37,mesophilic
145,1120932,strain,Actinotignum schaalii,5990,positive,growth,37,mesophilic
145,1120932,strain,Actinotignum schaalii,32828,positive,growth,37,mesophilic
145,1120932,strain,Actinotignum schaalii,48774,positive,growth,37,mesophilic
146,190146,species,Actinotignum urinale,6115,positive,growth,37,mesophilic
146,190146,species,Actinotignum urinale,33058,positive,growth,37,mesophilic
