ncbiTaxID	Name	Strain	Temp	Type	Superkingdom	Phylum	Class	Order	Family	Genus	Source	Source_ID
1255277	Alicyclobacillus acidiphilus		50.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	414
252246	Alicyclobacillus vulcanalis		55.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	425
392010	Alicyclobacillus sacchari		47.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	428
1120971	Alicyclobacillus contaminans		52.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	429
392011	Alicyclobacillus fastidiosus		42.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	430
1220571	Alicyclobacillus kakegawensis		52.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	431
392015	Alicyclobacillus macrosporangiidus		52.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	432
1220573	Alicyclobacillus shizuokensis		47.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	433
1120973	Effusibacillus pohliae		55.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Effusibacillus	BacDive	434
471514	Alicyclobacillus ferrooxydans		28.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	BacDive	435
226011	Aestuariibacter halophilus		40.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter	BacDive	437
1120953	Aestuariibacter salexigens		35.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter	BacDive	438
111143	Alishewanella fetalis		37.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alishewanella	BacDive	440
453835	Alishewanella aestuarii		37.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alishewanella	BacDive	441
1129374	Alishewanella jeotgali		37.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alishewanella	BacDive	442
553384	Alishewanella agri		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alishewanella	BacDive	443
1121922	Glaciecola pallidula		12.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	BacDive	451
1129793	Paraglaciecola polaris		17.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Paraglaciecola	BacDive	453
306545	Marinimicrobium koreense		37.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Marinimicrobium	BacDive	455
1122194	Marinimicrobium agarilyticum		35.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Marinimicrobium	BacDive	456
48076	Marinobacterium iners		37.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	BacDive	459
1122201	Marinobacterium litorale		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	BacDive	461
1122202	Marinobacterium rhizophilum		25.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	BacDive	462
568106	Marinobacterium lutimaris		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	BacDive	463
252514	Microbulbifer thermotolerans		46.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	BacDive	466
260552	Microbulbifer agarilyticus		33.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	BacDive	467
393907	Microbulbifer epialgicus		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	BacDive	468
986746	Microbulbifer taiwanensis		28.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	BacDive	469
203122	Saccharophagus degradans		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	BacDive	470
1123236	Alteromonas chungwhensis		32.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Salinimonas	BacDive	471
2743	Marinobacter nauticus		32.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	473
209639	Marinobacter lipolyticus		37.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	478
262076	Marinobacter flavimaris		37.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	481
236100	Marinobacter algicola		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	482
262077	Marinobacter daepoensis		33.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	483
277961	Marinobacter maritimus		22.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	486
375760	Marinobacter gudaonensis		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	488
418719	Marinobacter salsuginis		36.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	489
453838	Marinobacter goseongensis		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	490
523742	Marinobacter santoriniensis		37.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	491
643747	Marinobacter oulmenensis		38.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	492
1033846	Marinobacter adhaerens		36.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	BacDive	493
287487	Haliea salexigens		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea	BacDive	495
475795	Pseudohaliea rubra		30.0	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Pseudohaliea	BacDive	496
561965	Aliagarivorans marinus		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aliagarivorans	BacDive	498
561966	Aliagarivorans taiwanensis		27.5	optimum	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aliagarivorans	BacDive	499
167964	Anaerolinea thermophila		55.0	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	BacDive	501
229919	Anaerolinea thermolimosa		50.0	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	BacDive	502
229920	Leptolinea tardivitalis		37.0	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	BacDive	503
229921	Levilinea saccharolytica		37.0	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Levilinea	BacDive	504
360411	Bellilinea caldifistulae		55.0	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	BacDive	505
1134406	Ornatilinea apprima		43.5	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea	BacDive	506
1134406	Ornatilinea apprima		43.5	optimum	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea	BacDive	506
246264	Hydrogenivirga caldilitoris		75.0	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenivirga	BacDive	509
345592	Hydrogenivirga okinawensis		72.5	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenivirga	BacDive	510
940	Hydrogenobacter thermophilus		72.5	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	BacDive	512
309805	Persephonella marina		73.0	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	BacDive	515
309806	Sulfurihydrogenibium azorense		68.0	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	BacDive	519
380763	Sulfurihydrogenibium rodmanii		75.0	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	BacDive	520
460873	Sulfurihydrogenibium kristjanssonii		68.0	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	BacDive	521
381751	Thermocrinis minervae		75.0	optimum	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	BacDive	525
217511	Fulvimarina pelagi		30.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Fulvimarina	BacDive	528
1122214	Martelella mediterranea		28.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Martelella	BacDive	531
1121026	Aureimonas altamirensis		28.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	BacDive	532
1121028	Aureimonas ureilytica		27.5	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	BacDive	533
424757	Aureimonas frigidaquae		25.0	optimum	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	BacDive	534
200990	Alkalibacillus filiformis		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalibacillus	BacDive	545
392823	Alkalibacillus silvisoli		33.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalibacillus	BacDive	547
546021	Alkalibacillus flavidus		37.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Alkalibacillus	BacDive	549
225988	Anoxybacillus contaminans		50.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	BacDive	554
265948	Anoxybacillus tepidamans		55.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	BacDive	556
230470	Anoxybacillus voinovskiensis		47.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	BacDive	557
409997	Anoxybacillus bogrovensis		65.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	BacDive	559
651866	Anoxybacillus eryuanensis		55.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	BacDive	565
576944	Anoxybacillus tengchongensis		50.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	BacDive	566
101059	Viridibacillus neidei		29.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	Viridibacillus	BacDive	569
692420	Bacillus amyloliquefaciens		35.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	598
1484	Hydrogenibacillus schlegelii		72.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales Family X. Incertae Sedis	Hydrogenibacillus	BacDive	782
1977292	Paenibacillus xerothermodurans		37.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	BacDive	830
1452	Bacillus atrophaeus		29.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1075
1220587	Bacillus atrophaeus		29.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1077
1051501	Bacillus mojavensis		29.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1093
72360	Bacillus halotolerans		32.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1095
38875	Heyndrickxia oleronia		37.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	BacDive	1102
76935	Salipaludibacillus agaradhaerens		37.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Salipaludibacillus	BacDive	1120
46224	Heyndrickxia sporothermodurans		37.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Heyndrickxia	BacDive	1149
564287	Bacillus vallismortis		29.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1150
527000	Bacillus pseudomycoides		28.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1151
1423	Bacillus subtilis		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1172
1121089	Priestia endophytica		28.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	BacDive	1203
209389	Bacillus acidicola		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	BacDive	1207
163879	Pseudalkalibacillus decolorationis		31.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Pseudalkalibacillus	BacDive	1208
115979	Niallia nealsonii		32.5	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Niallia	BacDive	1209
1314752	Neobacillus drentensis		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	BacDive	1213
1117379	Neobacillus bataviensis		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	BacDive	1214
1131730	Neobacillus vireti		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	BacDive	1215
1349756	Neobacillus novalis		35.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	BacDive	1216
1348630	Neobacillus soli		30.0	optimum	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	BacDive	1217
