ProteomeId	Organism	ncbiTaxID	Protein count	Domain
UP000054302	Exophiala mesophila (Black yeast)	212818	10000	Eukaryota
UP000054304	Lachancea lanzarotensis	1245769	5055	Eukaryota
UP000054383	Talaromyces islandicus (Penicillium islandicum)	28573	9927	Eukaryota
UP000054516	Rosellinia necatrix (White root-rot fungus)	77044	12440	Eukaryota
UP000054558	Klebsormidium nitens (Green alga) (Ulothrix nitens)	105231	16251	Eukaryota
UP000054821	Trichoderma gamsii	398673	11178	Eukaryota
UP000055045	Penicillium freii	48697	11722	Eukaryota
UP000070121	Colletotrichum salicis	1209931	13783	Eukaryota
UP000070168	Penicillium patulum (Penicillium griseofulvum)	5078	9628	Eukaryota
UP000075714	Gonium pectorale (Green alga)	33097	16224	Eukaryota
UP000077248	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	13463	Eukaryota
UP000078340	Purpureocillium lilacinum (Paecilomyces lilacinus)	33203	11750	Eukaryota
UP000092321	Hanseniaspora valbyensis NRRL Y-1626	766949	4754	Eukaryota
UP000094336	Babjeviella inositovora NRRL Y-12698	984486	6394	Eukaryota
UP000095358	Hanseniaspora uvarum (Yeast) (Kloeckera apiculata)	29833	4059	Eukaryota
UP000095728	Hanseniaspora osmophila	56408	4653	Eukaryota
UP000182334	[Candida] intermedia	45354	5921	Eukaryota
UP000183809	Diplodia corticola	236234	10836	Eukaryota
UP000186136	Pichia membranifaciens	4926	4160	Eukaryota
UP000189513	Cyberlindnera fabianii (Yeast) (Hansenula fabianii)	36022	5507	Eukaryota
UP000190312	Aspergillus oryzae (Yellow koji mold)	5062	11429	Eukaryota
UP000190375	Zygosaccharomyces parabailii	1365886	9766	Eukaryota
UP000190831	Lachancea fermentati (Zygosaccharomyces fermentati)	4955	5229	Eukaryota
UP000191285	Penicillium steckii	303698	10355	Eukaryota
UP000191408	Penicillium polonicum	60169	10627	Eukaryota
UP000191522	Penicillium decumbens	69771	7144	Eukaryota
UP000191612	Penicillium solitum	60172	11867	Eukaryota
UP000193240	Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)	105696	12021	Eukaryota
UP000198341	Bathycoccus prasinos	41875	7886	Eukaryota
UP000199069	Rhodosporidium toruloides (Yeast) (Rhodotorula gracilis)	5286	7496	Eukaryota
UP000214365	Talaromyces atroroseus	1441469	9520	Eukaryota
UP000232323	Chlamydomonas eustigma	1157962	14139	Eukaryota
UP000233524	Lomentospora prolificans	41688	8533	Eukaryota
UP000235728	Beauveria bassiana (White muscardine disease fungus) (Tritirachium shiotae)	176275	10656	Eukaryota
UP000238350	Wickerhamiella sorbophila	45607	4707	Eukaryota
UP000239899	Chlorella sorokiniana (Freshwater green alga)	3076	10201	Eukaryota
UP000241546	Trichoderma citrinoviride	58853	9735	Eukaryota
UP000241587	Fusarium culmorum	5516	12360	Eukaryota
UP000242180	Syncephalastrum racemosum (Filamentous fungus)	13706	11037	Eukaryota
UP000242381	Rhizopus microsporus	58291	11322	Eukaryota
UP000243015	Trichophyton rubrum (Athlete's foot fungus) (Epidermophyton rubrum)	5551	7033	Eukaryota
UP000243081	Cordyceps confragosa (Lecanicillium lecanii)	2714763	8125	Eukaryota
UP000244309	[Candida] haemuloni	45357	5240	Eukaryota
UP000246702	Aspergillus sclerotioniger CBS 115572	1450535	12304	Eukaryota
UP000247233	Aspergillus heteromorphus CBS 117.55	1448321	10837	Eukaryota
UP000247498	Raphidocelis subcapitata	307507	13347	Eukaryota
UP000248961	Aspergillus homomorphus (strain CBS 101889)	1450537	11360	Eukaryota
UP000249056	Monilinia fructigena	38457	10740	Eukaryota
UP000249293	Pichia kudriavzevii (Yeast) (Issatchenkia orientalis)	4909	5146	Eukaryota
UP000249363	Talaromyces amestolkiae	1196081	10407	Eukaryota
UP000251314	Phytophthora cactorum	29920	23398	Eukaryota
UP000253472	Candida viswanathii	5486	10576	Eukaryota
UP000253551	Rhizopus stolonifer (Rhizopus nigricans)	4846	13951	Eukaryota
UP000256970	Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)	3088	18538	Eukaryota
UP000262825	Saccharomycodes ludwigii	36035	4013	Eukaryota
UP000265515	Chara braunii (Braun's stonewort)	69332	35576	Eukaryota
UP000266152	Fusarium sporotrichioides	5514	11960	Eukaryota
UP000283841	Byssochlamys spectabilis (Paecilomyces variotii)	264951	9264	Eukaryota
UP000284375	Valsa sordida	252740	9818	Eukaryota
UP000301737	Zygosaccharomyces mellis	42258	4737	Eukaryota
UP000307173	[Candida] inconspicua	52247	5046	Eukaryota
UP000310685	Wallemia mellicola	1708541	4289	Eukaryota
UP000319257	Thyridium curvatum	1093900	12104	Eukaryota
UP000319663	Monascus purpureus (Red mold) (Monascus anka)	5098	8080	Eukaryota
UP000322873	Monilinia fructicola (Brown rot fungus) (Ciboria fructicola)	38448	13749	Eukaryota
UP000323011	Cafeteria roenbergensis (Marine flagellate)	33653	8530	Eukaryota
UP000324585	Porphyridium purpureum (Red alga) (Porphyridium cruentum)	35688	9673	Eukaryota
UP000326532	Aspergillus parasiticus	5067	13752	Eukaryota
UP000326757	Monilinia laxa (Brown rot fungus) (Sclerotinia laxa)	61186	12416	Eukaryota
UP000326950	Aspergillus tamarii	41984	13330	Eukaryota
UP000444721	Naegleria fowleri (Brain eating amoeba)	5763	13596	Eukaryota
UP000449547	Diutina rugosa (Yeast) (Candida rugosa)	5481	5811	Eukaryota
UP000452235	Aspergillus terreus	33178	10118	Eukaryota
UP000473826	Vanrija humicola	5417	4373	Eukaryota
UP000478008	Dekkera bruxellensis (Brettanomyces custersii)	5007	4659	Eukaryota
UP000503178	Paulinella micropora	1928728	897	Eukaryota
UP000509704	Zygotorulaspora mrakii (Zygosaccharomyces mrakii)	42260	5020	Eukaryota
UP000517252	Trichoderma asperellum	101201	8793	Eukaryota
UP000530660	Cyanidiococcus yangmingshanensis	2690220	5172	Eukaryota
UP000536275	Candida albicans (Yeast)	5476	7359	Eukaryota
UP000546213	Fusarium pseudocircinatum	56676	14261	Eukaryota
UP000558688	Fusarium oxysporum (Fusarium vascular wilt)	5507	15431	Eukaryota
UP000572817	Botryosphaeria dothidea	55169	13104	Eukaryota
UP000612055	Edaphochlamys debaryana	47281	20289	Eukaryota
UP000613401	Colletotrichum gloeosporioides (Anthracnose fungus) (Glomerella cingulata)	474922	15372	Eukaryota
UP000623687	Pleurotus ostreatus (Oyster mushroom) (White-rot fungus)	5322	11624	Eukaryota
UP000637239	Aspergillus chevalieri (Eurotium chevalieri)	182096	10232	Eukaryota
UP000639403	Postia placenta	104341	11131	Eukaryota
UP000641853	Aspergillus felis	1287682	10242	Eukaryota
UP000650833	Mucor plumbeus	97098	11657	Eukaryota
UP000654370	Mortierella isabellina (Filamentous fungus) (Umbelopsis isabellina)	91625	9021	Eukaryota
UP000660262	Pycnococcus provasolii	41880	11295	Eukaryota
UP000661057	Aspergillus kawachii (White koji mold) (Aspergillus awamori var. kawachi)	1069201	11548	Eukaryota
UP000694044	Phytophthora pseudosyringae	221518	15363	Eukaryota
UP000747110	Volvox reticuliferus	1737510	19030	Eukaryota
UP000747399	Volvox africanus	51714	18230	Eukaryota
UP000789595	Pelagomonas calceolata	35677	16441	Eukaryota
UP000051952	Bodo saltans (Flagellated protozoan)	75058	18124	Eukaryota
UP000236333	Tetrabaena socialis	47790	14121	Eukaryota
UP000265618	Kipferlia bialata	797122	3390	Eukaryota
UP000485058	Haematococcus lacustris (Green alga) (Haematococcus pluvialis)	44745	28121	Eukaryota
UP000000242	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	399549	2256	Archaea
UP000000254	Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)	399550	1570	Archaea
UP000000262	Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125)	453591	1434	Archaea
UP000000346	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	666510	1499	Archaea
UP000000391	Methanohalobium evestigatum (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303)	644295	2250	Archaea
UP000000438	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)	263820	1535	Archaea
UP000000536	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	69014	2301	Archaea
UP000000590	Methanococcus maripaludis (strain S2 / LL)	267377	1722	Archaea
UP000000641	Thermofilum pendens (strain DSM 2475 / Hrk 5)	368408	1876	Archaea
UP000000663	Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)	351160	3071	Archaea
UP000000674	Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT) (Methanosaeta thermophila)	349307	1673	Archaea
UP000000792	Nitrosopumilus maritimus (strain SCM1)	436308	1795	Archaea
UP000000805	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	243232	1787	Archaea
UP000001013	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	186497	2044	Archaea
UP000001015	Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii)	273063	2805	Archaea
UP000001018	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	330779	2222	Archaea
UP000001024	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	273075	1482	Archaea
UP000001037	Pyrolobus fumarii (strain DSM 11204 / 1A)	694429	1967	Archaea
UP000001059	Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP)	547558	1986	Archaea
UP000001068	Desulfurococcus mucosus (strain ATCC 35584 / DSM 2162 / JCM 9187 / O7/1)	765177	1345	Archaea
UP000001137	Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167)	397948	1962	Archaea
UP000001169	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui)	272569	4234	Archaea
UP000001304	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	583356	1929	Archaea
UP000001400	Aciduliprofundum boonei (strain DSM 19572 / T469)	439481	1539	Archaea
UP000001826	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	190192	1687	Archaea
UP000001879	Natrialba magadii (strain ATCC 43099 / DSM 3394 / CCM 3739 / CIP 104546 / IAM 13178 / JCM 8861 / NBRC 102185 / NCIMB 2190 / MS3) (Natronobacterium magadii)	547559	4203	Archaea
UP000001901	Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	572546	1822	Archaea
UP000001931	Methanosphaera stadtmanae (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3)	339860	1533	Archaea
UP000001941	Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1)	323259	3087	Archaea
UP000001974	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	273057	2937	Archaea
UP000002199	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	224325	2394	Archaea
UP000002315	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	523846	1283	Archaea
UP000002376	Thermosphaera aggregans (strain DSM 11486 / M11TL)	633148	1387	Archaea
UP000002408	Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8)	456442	2450	Archaea
UP000002439	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	178306	2590	Archaea
UP000002457	Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c)	521011	2655	Archaea
UP000002487	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	188937	4468	Archaea
UP000002518	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	272557	1700	Archaea
UP000002593	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	415426	1602	Archaea
UP000002613	Ferroglobus placidus (strain DSM 10642 / AEDII12DO)	589924	2463	Archaea
UP000002654	Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1)	768679	2047	Archaea
UP000002698	Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / JCM 8858 / NBRC 14720 / NCIMB 2260 / Gabara) (Halobacterium pharaonis)	348780	2764	Archaea
UP000005223	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	187420	1868	Archaea
UP000005233	Methanocella conradii (strain DSM 24694 / JCM 17849 / CGMCC 1.5162 / HZ254)	1041930	2448	Archaea
UP000005270	Thermogladius calderae (strain DSM 22663 / VKM B-2946 / 1633)	1184251	1414	Archaea
UP000005741	Methanoplanus limicola DSM 2279	937775	2928	Archaea
UP000006565	Methanolacinia petrolearia (strain DSM 11571 / OCM 486 / SEBR 4847) (Methanoplanus petrolearius)	679926	2779	Archaea
UP000006681	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	572478	2493	Archaea
UP000006794	Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)	797210	4221	Archaea
UP000007391	Fervidicoccus fontis (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940)	1163730	1384	Archaea
UP000007490	Methanobacterium lacus (strain AL-21)	877455	2493	Archaea
UP000007722	Methanococcus voltae (strain ATCC BAA-1334 / A3)	456320	1658	Archaea
UP000007807	Methanothrix soehngenii (strain ATCC 5969 / DSM 3671 / JCM 10134 / NBRC 103675 / OCM 69 / GP-6) (Methanosaeta concilii)	990316	2791	Archaea
UP000008136	Archaeoglobus veneficus (strain DSM 11195 / SNP6)	693661	2065	Archaea
UP000008243	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	309800	3921	Archaea
UP000008680	Methanobrevibacter ruminantium (strain ATCC 35063 / DSM 1093 / JCM 13430 / OCM 146 / M1) (Methanobacterium ruminantium)	634498	2209	Archaea
UP000009007	Methanoculleus bourgensis (strain ATCC 43281 / DSM 3045 / OCM 15 / MS2) (Methanogenium bourgense)	1201294	2575	Archaea
UP000009079	Thermococcus sibiricus (strain DSM 12597 / MM 739)	604354	2035	Archaea
UP000009227	Methanotorris igneus (strain DSM 5666 / JCM 11834 / Kol 5)	880724	1753	Archaea
UP000010468	Natronobacterium gregoryi (strain ATCC 43098 / DSM 3393 / CCM 3738 / CIP 104747 / IAM 13177 / JCM 8860 / NBRC 102187 / NCIMB 2189 / SP2)	797304	3624	Archaea
UP000010469	Caldisphaera lagunensis (strain DSM 15908 / JCM 11604 / ANMR 0165 / IC-154)	1056495	1477	Archaea
UP000010824	Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)	593750	2815	Archaea
UP000010843	Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157)	797303	4138	Archaea
UP000010846	Halovivax ruber (strain DSM 18193 / JCM 13892 / XH-70)	797302	3099	Archaea
UP000010878	Natronococcus occultus SP4	694430	4153	Archaea
UP000011555	Halobiforma lacisalsi AJ5	358396	4151	Archaea
UP000011568	Halococcus morrhuae DSM 1307	931277	3035	Archaea
UP000011599	Natronorubrum tibetense GA33	1114856	4671	Archaea
UP000011626	Halosimplex carlsbadense 2-9-1	797114	4458	Archaea
UP000011657	Haloterrigena salina JCM 13891	1227488	4563	Archaea
UP000011669	Halococcus saccharolyticus DSM 5350	1227455	3441	Archaea
UP000011867	Natronomonas moolapensis (strain DSM 18674 / CECT 7526 / JCM 14361 / 8.8.11)	268739	2723	Archaea
UP000013307	Archaeoglobus sulfaticallidus PM70-1	387631	2213	Archaea
UP000014660	Ferroplasma acidarmanus Fer1	333146	1927	Archaea
UP000015381	Halorhabdus tiamatea SARL4B	1033806	2988	Archaea
UP000015543	Thermofilum adornatum	1365176	1896	Archaea
UP000016986	Halarchaeum acidiphilum MH1-52-1	1261545	2706	Archaea
UP000019024	Halostagnicola larsenii XH-48	797299	4086	Archaea
UP000024332	Candidatus Acidianus copahuensis	1160895	2328	Archaea
UP000027093	Nitrososphaera viennensis EN76	926571	3117	Archaea
UP000027981	Palaeococcus pacificus DY20341	1343739	1991	Archaea
UP000033048	Methanococcoides methylutens MM1	1434104	2203	Archaea
UP000034723	Geoglobus ahangari	113653	1973	Archaea
UP000050301	Acidiplasma cupricumulans	312540	1683	Archaea
UP000050535	Halolamina pelagica	699431	3464	Archaea
UP000053331	Halorubrum saccharovorum	2248	2334	Archaea
UP000053352	Pyrodictium occultum	2309	1602	Archaea
UP000054284	Candidatus Aramenus sulfurataquae	1326980	1975	Archaea
UP000054387	Haloprofundus marisrubri	1514971	3761	Archaea
UP000060778	Ignicoccus islandicus DSM 13165	940295	1510	Archaea
UP000066737	Halobacterium hubeiense	1407499	3340	Archaea
UP000067434	Infirmifilum uzonense	1550241	1454	Archaea
UP000069850	Methanoculleus bourgensis	83986	3446	Archaea
UP000075321	Halalkalicoccus paucihalophilus	1008153	4161	Archaea
UP000077066	Methanobrevibacter filiformis	55758	1920	Archaea
UP000077245	Methanobrevibacter curvatus	49547	1968	Archaea
UP000077275	Methanobrevibacter cuticularis	47311	2061	Archaea
UP000094707	Methanobacterium congolense	118062	2340	Archaea
UP000183275	Halopiger salifodinae	1202768	4090	Archaea
UP000184203	Haladaptatus paucihalophilus DX253	797209	4339	Archaea
UP000184357	Halobaculum gomorrense	43928	3149	Archaea
UP000185687	Haloterrigena daqingensis	588898	3795	Archaea
UP000186914	Haladaptatus litoreus	553468	4885	Archaea
UP000195137	Methanonatronarchaeum thermophilum	1927129	1510	Archaea
UP000196084	Natronolimnobius baerhuensis	253108	3662	Archaea
UP000197679	Candidatus Mancarchaeum acidiphilum	1920749	944	Archaea
UP000197915	Thermoplasmatales archaeon B_DKE	1961136	1928	Archaea
UP000198397	Halorubrum vacuolatum (Natronobacterium vacuolatum)	63740	3371	Archaea
UP000198518	Halobacterium jilantaiense	355548	3054	Archaea
UP000198856	Halovenus aranensis	890420	3354	Archaea
UP000198876	Halopelagius inordinatus	553467	3559	Archaea
UP000198888	Halohasta litchfieldiae	1073996	3425	Archaea
UP000199062	Halomicrobium zhouii	767519	4091	Archaea
UP000199170	Halobellus clavatus	660517	3679	Archaea
UP000199215	Halopenitus malekzadehii	1267564	3119	Archaea
UP000199370	Haloarchaeobius iranensis	996166	3852	Archaea
UP000199451	Halogranum gelatinilyticum	660521	3752	Archaea
UP000216308	Halorubrum halodurans	1383851	3137	Archaea
UP000219453	Natronoarchaeum philippinense	558529	3284	Archaea
UP000236584	Salinigranum rubrum	755307	4473	Archaea
UP000236740	Halobellus limi	699433	3637	Archaea
UP000236755	Haloplanus vescus	555874	2791	Archaea
UP000245548	Sulfolobus sp. SCGC AB-777_L09	1987492	930	Archaea
UP000245577	Methanobrevibacter woesei	190976	1581	Archaea
UP000245657	Methanospirillum lacunae	668570	3377	Archaea
UP000245834	Acidilobus sp. SCGC AC-742_M05	1987489	281	Archaea
UP000248044	Acidianus brierleyi	41673	2858	Archaea
UP000248410	Acidianus sulfidivorans JP7	619593	2255	Archaea
UP000249782	Methanothermobacter tenebrarum	680118	1556	Archaea
UP000250088	Natrarchaeobaculum aegyptiacum	745377	3626	Archaea
UP000251717	Methanobrevibacter thaueri	190975	2136	Archaea
UP000252983	halophilic archaeon	29295	5207	Archaea
UP000273828	Natrarchaeobius halalkaliphilus	1679091	3330	Archaea
UP000276588	Halonotius aquaticus	2216978	2460	Archaea
UP000276741	Sulfodiicoccus acidiphilus	1670455	2410	Archaea
UP000290527	Methanofervidicoccus abyssi	2082189	1246	Archaea
UP000290932	Methanoculleus taiwanensis	1550565	2433	Archaea
UP000294855	Methanimicrococcus blatticola	91560	1537	Archaea
UP000296706	Halapricum salinum	1457250	3303	Archaea
UP000305339	Halorubrum sp. SD626R	1419722	6274	Archaea
UP000308037	Natronomonas salsuginis	2217661	2818	Archaea
UP000319894	Haloglomus irregulare	2234134	3668	Archaea
UP000324104	Natrialba swarupiae	2448032	3817	Archaea
UP000326865	Halosegnis rubeus	2212850	2485	Archaea
UP000332487	Candidatus Micrarchaeum acidiphilum ARMAN-2	425595	1025	Archaea
UP000423396	Stygiolobus azoricus	41675	2042	Archaea
UP000426082	Halorhabdus sp. CBA1104	1380432	2453	Archaea
UP000451471	Halomarina oriensis	671145	4092	Archaea
UP000470772	Sulfuracidifex metallicus DSM 6482 = JCM 9184	523847	2195	Archaea
UP000509448	Conexivisphaera calida	1874277	1603	Archaea
UP000607197	Halocalculus aciditolerans	1383812	3498	Archaea
UP000610960	Thermocladium modestius	62609	1937	Archaea
UP000653099	Halobellus salinus	931585	2946	Archaea
UP000705823	Halonotius terrestris	2487750	2832	Archaea
UP000724514	Thaumarchaeota archaeon	2026795	752	Archaea
UP000730161	Methanocalculus chunghsingensis	156457	2064	Archaea
UP000766550	Halomicroarcula limicola	1429915	3863	Archaea
UP000783863	Halomicroarcula salinisoli	2487746	4027	Archaea
UP000823588	Halorubrum alkaliphilum	261290	3129	Archaea
UP000826709	Methanofollis formosanus	299308	2568	Archaea
UP000003980	Metallosphaera yellowstonensis MK1	671065	3340	Archaea
UP000216287	Halorubrum distributum	29283	2492	Archaea
UP000245619	Sulfolobus sp. SCGC AB-777_G05	1987490	297	Archaea
UP000000625	Escherichia coli (strain K12)	83333	4403	Bacteria
UP000001584	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332	3995	Bacteria
UP000000239	Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11)	290398	3298	Bacteria
UP000000245	Acidiphilium cryptum (strain JF-5)	349163	3521	Bacteria
UP000000268	Acaryochloris marina (strain MBIC 11017)	329726	8172	Bacteria
UP000000269	Alkaliphilus oremlandii (strain OhILAs) (Clostridium oremlandii (strain OhILAs))	350688	2828	Bacteria
UP000000272	Thermosediminibacter oceani (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P)	555079	2151	Bacteria
UP000000321	Aurantimonas manganoxydans (strain ATCC BAA-1229 / DSM 21871 / SI85-9A1)	287752	3625	Bacteria
UP000000323	Thermobaculum terrenum (strain ATCC BAA-798 / YNP1)	525904	2827	Bacteria
UP000000333	Olsenella uli (strain ATCC 49627 / DSM 7084 / CIP 109912 / JCM 12494 / NCIMB 702895 / VPI D76D-27C) (Lactobacillus uli)	633147	1739	Bacteria
UP000000343	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	1198114	4514	Bacteria
UP000000370	Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans)	357809	3891	Bacteria
UP000000376	Arcanobacterium haemolyticum (strain ATCC 9345 / DSM 20595 / CCUG 17215 / LMG 16163 / NBRC 15585 / NCTC 8452 / 11018)	644284	1717	Bacteria
UP000000378	Syntrophothermus lipocalidus (strain DSM 12680 / TGB-C1)	643648	2311	Bacteria
UP000000383	Methylotenera versatilis (strain 301)	666681	2752	Bacteria
UP000000430	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	62977	3263	Bacteria
UP000000432	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	220668	3087	Bacteria
UP000000440	Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1)	197221	2451	Bacteria
UP000000467	Thermacetogenium phaeum (strain ATCC BAA-254 / DSM 26808 / PB)	1089553	2803	Bacteria
UP000000492	Corynebacterium resistens (strain DSM 45100 / JCM 12819 / GTC 2026 / SICGH 158)	662755	2160	Bacteria
UP000000532	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	300852	2227	Bacteria
UP000000556	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	160488	5527	Bacteria
UP000000558	Escherichia coli O157:H7	83334	5062	Bacteria
UP000000582	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025)	196627	3093	Bacteria
UP000000588	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)	242619	1863	Bacteria
UP000000594	Bacillus anthracis	1392	5493	Bacteria
UP000000602	Desulfotalea psychrophila (strain LSv54 / DSM 12343)	177439	3233	Bacteria
UP000000606	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	279010	4164	Bacteria
UP000000644	Polaromonas naphthalenivorans (strain CJ2)	365044	4879	Bacteria
