Name	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Ecosystem	Environment	Energy Source	Metabolism	Extended Metabolism	Ion for Chemiosmosis	Oxygen Requirement	Min. pH	Max. pH	Avg. Opt. pH	Min. Temp. (°C)	Max. Temp. (°C)	Temp	Pressure for Opt. Temp. (kpa)	Optimum Pressure (Mpa) 	Avg. Opt. salinity (%)	Note	Source	Additional_source	Strain	Genus
Pyrococcus glycovorans	74610	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemoorganotroph	sulfur-reduction,proteinaceous metabolism	Grew preferentially in media containing complex proteinaceous carbon sources, glucose and elemental sulfur		Anaerobe	6,5	8,5	7,5	75	104	95	100 below and 200 above 100C	10	0,03		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-4-1829		AL585	Pyrococcus
Pyrococcus furiosus	638154515	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Organotroph	polysaccharide metabolism,proteinaceous metabolism	growing on starch, maltose, peptone and complex organic substrates	Na+	Anaerobe	5	9	7	70	103	100	300	10	0,0275		https://link.springer.com/article/10.1007/BF00413027	https://www.nature.com/articles/ismej200921	Vc 1 DSM 3638	Pyrococcus
Thermococcus fumicolans	46540	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic 	Hydrothermal vent	Chemoorganotroph	sulfur-reduction,proteinaceous metabolism	Grows on proteolysis products and a mixture of amino acids. Sulfur is not necessary for growth but greatly enhances growth		Anaerobe	4,5	9,5	8,5	73	103	85	200		0,03		https://pubmed.ncbi.nlm.nih.gov/8863444/		ST557	Thermococcus
Pyrobaculum organotrophum	2278	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Solfataric waters	Organotroph	hydrogen-oxidation,sulfur-reduction,proteinaceous metabolism	The isolates grow facultatively chemolithoautotrophically or obligately heterotrophically. Molecular hydrogen or complex organic substances are used as electron donors. During heterotrophic growth, elemental sulfur, thiosulfate, sulfite, L(--)cystine and oxidized glutathione may serve as electron acceptors depending on the individual strain. Elemental sulfur is strictly required as an electron acceptor for autotrophic growth		Anaerobe	5	7	6	78	102	102	300		0		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2685560/		H10	Pyrobaculum
Pyrobaculum islandicum	639633053	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Solfataric waters	Organotroph,Chemolithoautotroph	sulfur-reduction,proteinaceous metabolism	During heterotrophic growth, elemental sulfur, thiosulfate, sulfite, L(--)cystine and oxidized glutathione may serve as electron acceptors depending on the individual strain. Elemental sulfur is strictly required as an electron acceptor for autotrophic growth	H+	Anaerobe	5	7	6	74	102	100	300		0,008		https://link.springer.com/article/10.1007/BF00425072		DSM 4184	Pyrobaculum
Pyrococcus horikoshii	53953	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemoorganotroph	proteinaceous metabolism	utilizes complex proteinaceous media (peptone, tryptone, or yeast extract), or a 21-amino-acid mixture supplemented with vitamins, as growth substrates. Sulfur greatly enhances growth. 	Na+	Anaerobe	5	8	7	80	102	98	100	1	0,024		https://link.springer.com/article/10.1007/s007920050051			Pyrococcus
Pyrococcus abyssi	638154514	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemolithoheterotroph	fermentation 	fermenting peptides, or mixtures of amino acids to acetate, isovalerate, isobutyrate, propionate, H2 and CO2. Hydrogen inhibits growth unless sulfur is present. In the presence of sulfur, H2S is then produced		Anaerobe	4	8,5	6,8	67	102	96	100 below and 200 above 100C	20	0,03		https://link.springer.com/article/10.1007/BF00252219		GE5	Pyrococcus
Stetteria hydrogenophila	52001	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic	Hydrothermal field	Mixotroph	sulfur-reduction	Growth of the isolate was strictly dependent upon the presence of elemental sulfur in the culture medium and of hydrogen in the gas phase of the culutre, Large amounts of H2S were formed during growth. When H2/CO2 (80:20) atmosphere was replaced by 100% hydrogen atmosphere, growth was still possible, but the doubling time of the strain 4ABC was increased by a factor of six. They growth heterotrophically on yeast extract, peptone, trytone, casamino acids, or cell-free extracts of Pyrococcus furiosus or Thermococcus celer, but only in the presence of both molecular hydrogen and elemental sulfur. Hydrogen was obligately required as an electron donor. H2S is formed from sulfur during growth. Sulfur or Thiosulfate act as electron acceptors. The presence of CO2 stimulates growth.		Anaerobe	4,5	7	6	70	102	95	300				https://pubmed.ncbi.nlm.nih.gov/9680304/			Stetteria
Thermoproteus uzoniensis	650716098	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Organotroph	fermentation	organism grows anaerobically by fermenting peptides, concurrently reduction elemental sulfur to H2S. Fermentation products are acetate, isobutyrate, isovalerate.	?H+	Anaerobe	4,6	6,8	5,6	74	102	90	101				https://link.springer.com/article/10.1007/BF00248836		768-20	Thermoproteus
Pyrococcus sp	650716079	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemolithoheterotroph	sulfur-reduction			Anaerobe	5	9	7	70	100	93					https://jb.asm.org/content/jb/193/14/3666.full.pdf		NA2	Pyrococcus
Pyrobaculum calidifontis	640069326	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Heterotroph	sulfur-reduction,proteinaceous metabolism,aerobic respiration	Elemental sulfur inhibited cell growth under aerobic growth conditions, whereas thiosulfate stimulated cell growth. Under anaerobic growth conditions, nitrate served as a final electron acceptor, but nitrite or sulfur-containing compounds such as elemental sulfur, thiosulfate, sulfate and sulfite could not act as final electron acceptors.	H+	Facultative Anaerobe	5,5	8	7	75	100	92,5	101		0		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2685560/		VA1	Pyrobaculum
Pyrobaculum arsenaticum	640427135	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Autotroph,Chemolithotroph,Organotroph	proteinaceous metabolism	growth on a mixture of yeast extract, meat extract, peptone and brain heart infusion. Organotrophically, hydrogen inhibits growth. Hydrogen inhibition can be overcome by addition of arsenate, selenate, sulfur or thiosulfate. Formation of realgar in the presence of arsenate and thiosulfate or arsenate and L-cysteine (H2-CO2 gas phase). Formation of elemental selenium during organotrophic growth on selenate (H2-CO2 or N2-CO2 gas phase). Lithoautotrophic growth by reduction of arsenate, elemental sulfur or thiosulfate with hydrogen as electron donor. H2S is formed from elemental sulfur or thiosulfate, arsenite from arsenate	H+	Anaerobe				68	100	90	300		0,015		https://www.sciencedirect.com/science/article/abs/pii/S0723202000800582?via%3Dihub		PZ6, DSM 13514	Pyrobaculum
Thermococcus peptonophilus	2687453162	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Organoheterotroph	sulfur-reduction,proteinaceous metabolism	Elemental sulfur stimulated the growth rate fourfold. Ammonium slightly stimulated growth. Both tryptone and yeast extract allowed growth as sole carbon sources; these isolates were not able to utilize or grow exclusively on sucrose, glucose, maltose, succinate, pyruvate, propionate, acetate, or free amino acids.		Anaerobe	4	8	6	60	100	87,5	100	30-45	0,03		https://pubmed.ncbi.nlm.nih.gov/7545383/		OG-1	Thermococcus
Thermococcus eurythermalis	2636415503	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Chemoorganoheterotroph	proteinaceous metabolism	utilize yeast extract, peptone, tryptone and starch as the single carbon source for growth. Elemental sulfur and cysteine stimulated growth; however, these molecules were not necessary		Anaerobe	4	9	7	50	100	85	101	 .1-30 	0,025		https://pubmed.ncbi.nlm.nih.gov/25288278/		A501	Thermococcus
Thermococcus hydrothermalis	46539	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic 	Hydrothermal vent	Chemoorganotroph	proteinaceous metabolism	grows preferentially on proteolysis products, on a mixture of 20 amino acids, and on maltose in the presence of elemental sulfur		Anaerobe	3,5	9,5	6	55	100	85	200		0,035		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/3/ijs-47-3-622.pdf?expires=1614705724&id=id&accname=guest&checksum=AD92F6CDC5BB32CB683CC87051E09652		AL662	Thermococcus
Thermococcus kodakarensis	638154520	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Solfataric field	Chemoorganotroph	fermentation	 Elemental sulfur, as a terminal electron acceptor, is required for heterotrophic growth on yeast extract, tryptone, peptone and free amino acids (producing hydrogen sulfide). Grows without elemental sulfur through fermentation with the addition of starch, maltooligosaccharides, cyclodextrins or pyruvate (producing molecular hydrogen).	Na+	Anaerobe	5	9	6,5	60	100	85	200		0,03	Formerly known as Pyrococcus kodakaraensi	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2685570/	https://www.microbiologyresearch.org/docserver/fulltext/ijsem/49/2/ijs-49-2-351.pdf?expires=1614118917&id=id&accname=guest&checksum=E32205DDCB201D09FCF6B928F434CB40	KOD1	Thermococcus
Pyrobaculum neutrophilum	641522657	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Chemolithoautotroph 	proteinaceous metabolism	utilized complex proteinaceous compounds as electron donors and ferrihydrite, Fe(III) citrate, nitrate, thiosulfate, selenite, selenate and arsenate as electron acceptors for growth		Anaerobe	6	7	6,5	85	100	85				Same as Thermoproteus neutrophilus V24Sta	https://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/3/851_ijs000027.pdf?expires=1613502825&id=id&accname=guest&checksum=C01BC1AED129C2E65D6622895E4F3E38			Pyrobaculum
Ignisphaera aggregans	648028035	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic	Hot spring	Heterotroph	fermentation	Ferments both poly- and disaccharides	Na+	Anaerobe	5,4	7	6,4	85	98	93,5	101		0		https://www.uniprot.org/proteomes/UP000001304#:~:text=Close%20to%20Standard-,Ignisphaera%20aggregans%20(strain%20DSM%2017230%20%2F%20JCM%2013409%20%2F%20AQ1.,Park%2C%20Rotorua%2C%20New%20Zealand		AQ1.S1, DSM 17230	Ignisphaera
Pyrobaculum ferrireducens	2511231117	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Heterotroph	proteinaceous metabolism	metabolized complex proteinaceous compounds as electron donors and ferrihydrite, Fe(III) citrate, nitrate, thiosulfate, selenite, selenate and arsenate as electron acceptors for growth		Anaerobe	5,5	7,5	6,5	75	98	92,5	101		0		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/3/851_ijs000027.pdf?expires=1613502825&id=id&accname=guest&checksum=C01BC1AED129C2E65D6622895E4F3E38		1860	Pyrobaculum
Staphylothermus marinus	640069332	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic	Hydrothermal vent	Organoheterotroph	sulfur-reduction,proteinaceous metabolism	Strictly anaerobic and So -dependent. Heterotrophic growth on complex organic substrates and elemental sulfur with the concomitant formation of CO2, acetate, isovalerate and H2S.	Na+	Anaerobe	4,5	8,6	6,5	65	98	92	300		0,015		https://www.sciencedirect.com/science/article/abs/pii/S0723202086801576?via%3Dihub		F1, DSM 3639	Staphylothermus
Ignicoccus hospitalis	640753029	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	fermentation,sulfate-reduction	growth in the presence of H2 and CO2 with sulfur as electron acceptor. No chemo-organotrophic growth on meat extract, yeast extract, peptone, Casamino acids, gelatin, starch, formate, acetate or glucose. Sulfate, sulfite, sulfide, thiosulfate, tetrathionate, nitrate and oxygen are not used as electron acceptors. H2S is formed during growth.	H+	Anaerobe	4,5	7	5,5	73	98	90	250		0,014		https://www.researchgate.net/publication/51376657_Ignicoccus_hospitalis_sp_nov_the_host_of_'Nanoarchaeum_equitans'		KIN4/I, DSM 18386	Ignicoccus
Ignicoccus islandicus	54259	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic 	Hydrothermal vent	Chemolithoautotroph 	sulfur-reduction	They gained energy by reduction of elemental sulfur using molecular hydrogen as the electron donor. 		Anaerobe	3,8	6,5	5,8	70	98	90	250		0,02		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/50/6/0502093a.pdf?expires=1603943547&id=id&accname=guest&checksum=3559688C9FBC8668B73C51848D8933EA		Kol8	Ignicoccus
Ignicoccus pacificus	114376	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	sulfur-reduction 	They gained energy by reduction of elemental sulfur using molecular hydrogen as the electron donor. 		Anaerobe	4,5	7	6	75	98	90	250		0,02		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/50/6/0502093a.pdf?expires=1603943547&id=id&accname=guest&checksum=3559688C9FBC8668B73C51848D8933EA		LPC33	Ignicoccus
Vulcanisaeta moutnovskia	985052	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Heterotroph	fermentation,sulfur-reduction,thiosulfate-reduction	Metabolic pathway analysis revealed that utilization of polysaccharides and proteins involve the function of numerous encoded hydrolytic enzymes.		Anaerobe	3,5	6,5	4,25	60	98	87,5					https://journals.asm.org/doi/10.1128/jb.00237-11?permanently=true			Vulcanisaeta
Nanoarchaeum equitans	638154511	Archaea	Nanoarchaeota	unclassified			Aquatic	Hydrothermal vent	Organotroph	symbiotic	lack means to metabolize compounds on its own	Na+	Anaerobe	5	6,5	5,5	75	98	87,5	300		0,014	obligate symbiont 	https://jb.asm.org/content/190/5/1743			Nanoarchaeum
Pyrobaculum oguniense	2512047039	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Heterotroph	sulfur-reduction,proteinaceous metabolism,aerobic respiration	60 min under anaerobic and microaerobic conditions. Heterotrophic growth with yeast extract and trypticase peptone. Sulfur inhibits aerobic growth but stimulates anaerobic growth. Oxygen, thiosulfate, sulfur, -cystine and glutathione (oxidized form) are possible electron acceptors.		Facultative Anaerobe	5,4	7,4	6,5	70	97	92	200		0,015		https://www.microbiologyresearch.org/docserver/fulltext/ijsem/51/2/0510303a.pdf?expires=1613507184&id=id&accname=guest&checksum=9CED6B9E7FE04A0352F17B7535B427E8		TE7, DSM 13380	Pyrobaculum
Desulfurococcus amylolyticus	94694	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic 	Hot spring	Heterotroph	fermentation	fermented a wide range of substrates including proteins: α-keratin, albumin and gelatin. Elemental sulfur was not essential for growth, but stimulated growth.		Anaerobe	5,7	7,5	6,4	68	97	91	101				https://www.uniprot.org/proteomes/UP000006903	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.006726-0		Desulfurococcus
Hyperthermus hephaesti	1227648	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	iron-reduction	Strain Ro04 grew on peptides, reduced poorly crystalline iron oxide to black ferromagnetic magnetite and produced acetate and minor amounts of ethanol. It did not grow on any other terminal electron acceptor or purely by fermentation.	H+	Anaerobe	5	9	8	82	97	91					https://scholarworks.umass.edu/dissertations_2/110/		Ro04	Hyperthermus
Pyrodictium delaneyi	1273541	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Aquatic	Hydrothermal vent	Chemolithoautotroph 	hydrogen-oxidation	hydrogenotrophic and reduced Fe(III) oxide to magnetite and NO3		Anaerobe	5	9	5	82	97	91	200		0,019		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001201#tab2	https://www.sciencedirect.com/science/article/abs/pii/S0723202083800113?via%3Dihub	Su06	Pyrodictium
Methanothermus sociabilis	2181	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Aquatic	Solfataric field	Autotroph	methanogenesis 		Na+	Anaerobe	5,5	7,5		65	97	88	500				https://www.sciencedirect.com/science/article/abs/pii/S0723202086801564			Methanothermus
Aeropyrum camini	2554235461	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	aquatic	Hydrothermal vent	Chemoorganoheterotroph	aerobic respiration	strictly aerobic heterotroph capable of growing on complex proteinaceous substrates such as yeast extract and tryptone		Aerobe	6,5	8,8	8	70	97	85	101		0,035		https://pubmed.ncbi.nlm.nih.gov/15023940/		SY1, JCM 12091	Aeropyrum
Desulfurococcus mobilis	2275	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic 	Hot spring (Acidic)	Chemoorganotroph	sulfur-reduction	utilizes peptides as carbon and energy sources and reduces elemental sulfur to H2S		Anaerobe	2,2	6,5	5,75	55	97	85				Genetically identical to Desulfurococcus saccharovorans	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4711178/			Desulfurococcus
Desulfurococcus saccharovorans	54257	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aquatic 	Hot spring (Acidic)	Chemoorganotroph	sulfur-reduction	utilizes peptides as carbon and energy sources and reduces elemental sulfur to H2S		Anaerobe	2,2	6,5	5,75	55	97	85				Genetically identical to Desulfurococcus mobilis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4711178/	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-3-657		Desulfurococcus
Thermoproteus neutrophilus	70771	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Hot spring	Chemolithoautotroph 	sulfur-reduction	T. neutrophilus appears to use elemental sulfur as its sole electron acceptor.		Anaerobe	5	7,5	6,5		97	85					https://genome.jgi.doe.gov/portal/thene/thene.home.html			Thermoproteus
Acidianus infernus	12915	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Aquatic	Hot spring	Chemolithotroph	sulfur-reduction	Growth is obligately chemolithotrophic and So dependent by oxidation or reduction of So		Facultative Anaerobe	1	5,5	2	65	96	90	300		0,02		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-36-4-559		So4a	Acidianus
Thermoproteus tenax	2511231093	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Aquatic	Solfataric field	Chemolithoautotroph,Chemoorganoheterotroph	sulfur-reduction	Produce H2S from elemental sulfur and hydrogen derived from organic substrates including glucose, starch, glycogen, ethanol, methanol, formate, formamide, malate, fumarate but not lactate, acetate and pyruvate. Malate replaces sulfur as electron acceptor. Stimulated by less than 0.5 gil yeast extract. Form CO 2,	?H+	Anaerobe	2,5	6	5		96	88	101				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2685560/		Kra1	Thermoproteus
Methanothermus fervidus	649633067	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Aquatic 	Hot spring	Autotroph	methanogenesis 		Na+	Anaerobe		7	6,5	62	96	83	206				https://escholarship.org/content/qt9367m39j/qt9367m39j.pdf?t=p19p9a	https://escholarship.org/content/qt9367m39j/qt9367m39j.pdf?t=p19p9a	V24S, DSM 2088	Methanothermus
Pyrobaculum igneiluti	1806371	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Terrestrial	Geothermal field	Chemolithoautotroph 	thiosulfate-reduction,iron-reduction	 Strictly anaerobic and uses TYB, casamino acids, peptone and gelatin as energy sources. Autotrophic growth in H2/CO2 is also observed. Unable to oxidize cellobiose, galactose, sucrose, acetate, trehalose, sorbitol, maltose hydrate, glucose, mannitol, sucrose, pyruvate, lactose or lactate. For terminal electron acceptors, only able to reduce thiosulfate and Fe(III) (ferrihydrite). Unable to reduce sulfate, sulfite, elemental sulfur, nitrate, L-cystine or oxidized glutathione.		Anaerobe	4	8	6,4	75	95	90			0,01		https://pubmed.ncbi.nlm.nih.gov/28151382/			Pyrobaculum
Thermococcus gammatolerans	644736411	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Aquatic	Hydrothermal vent	Organotroph	sulfur-reduction	utilized yeast extract, tryptone and peptone. Elemental sulfur or cystine was required for growth and reduced to hydrogen sulfide		Anaerobe	4	8,5	6	55	95	88	200		0,02		https://pubmed.ncbi.nlm.nih.gov/12807211/		EJ3	Thermococcus
