ID	Name	Strain
1445971	Thermosporothrix narukonensis	
213588	Thermomonas hydrothermalis	
697281	Mahella australiensis	50-1 BON, DSM 15567
478105	Exilispira thermophila	
204470	Alicyclobacillus pomorum	
392014	Alicyclobacillus shizuokensis	
136160	Bacillus okuhidensis	
470864	Gracilibacillus halophilus	
627231	Paenibacillus tezpurensis	
1076937	Fontimonas thermophila	
910412	Melghirimyces algeriensis	
224999	Tepidanaerobacter syntrophicus	
28565	Thermomyces dupontii	
5541	Thermomyces lanuginosus	
2588941	Tepidimonas sediminis	
1490292	Nonomuraea thermotolerans	
1485588	Crenalkalicoccus roseus	
2078952	Bacillus kexueae	
1178786	Bacillus thaonhiensis	
206665	Desulfonauticus submarinus	
424696	Ferroplasma thermophilum	L1
706427	Halanaerobacter jeridensis	
1494606	Sporohalobacter salinus	
1383816	Halopiger thermotolerans	
269800	Thermobifida fusca	YX
380174	Cohnella laeviribosi	
1383067	Desulfotomaculum profundi	
28235	Geotoga subterranea	
1848	Pseudonocardia thermophila	
2707016	Tepidicella baoligensis	
1181891	Paenibacillus thermophilus	
1530170	Saccharopolyspora subtropica	
2171751	Pueribacillus theae	
2565931	Salinigranum halophilum	
1776164	Aneurinibacillus sediminis	
5088	Thermoascus crustaceus	
415230	Phormidium boryanum	
1707952	Chloroflexus islandicus	
525903	Thermanaerovibrio acidaminovorans	Su883, DSM 6589
1215385	Paenibacillus thermoaerophilus	
105483	Desulfotomaculum alkaliphilum	
981222	Chloracidobacterium thermophilum	B
667306	Aciditerrimonas ferrireducens	
1806172	Tepidibacillus infernus	
286152	Methanomethylovorans thermophila	
644383	Thermosporothrix hazakensis	
1765737	Dissulfurirhabdus thermomarina	
78554	Alterococcus agarolyticus	
110101	Laceyella putida	
1073253	Thermocatellispora tengchongensis	
368624	Halorubrum lipolyticum	
33942	Brevibacillus thermoruber	
191027	Paramaledivibacter caminithermalis	
301967	Haloterrigena saccharevitans	
1285191	Desulfotomaculum intricatum	
85995	Mycothermus thermophilus	
1189325	Oceanicella actignis	
1775544	Halorhabdus rudnickae	
269259	Nitratiruptor tergarcus	
62320	Haloterrigena turkmenica	4k
768533	Chelativorans composti	
884155	Meiothermus hypogaeus	
1050	Thermochromatium tepidum	
929101	Natranaerobaculum magadiense	
229731	Halobiforma lacisalsi	
457570	Natranaerobius thermophilus	JW/NM-WN-LF
-1	Heliobacterium modesticaldum	Ice1
-1	Natronolimnobius aegyptiacus,	JW/NM-HA 15
759415	Natronovirga wadinatrunensis	
64713	Halorubrum coriense	
2248	Halorubrum saccharovorum	
295419	Rubellimicrobium thermophilum	
1546155	Tepidisphaera mucosa	
1110	Heliothrix oregonensis	
157784	Pseudomonas thermotolerans	
45157	Cyanidioschyzon merolae	
2771	Cyanidium caldarium	
370324	Haloterrigena longa	
156202	Petrotoga sibirica	
403191	Haloferax elongans	
1470181	Thermoactinomyces khenchelensis	
759412	Natranaerobius trueperi	
182773	Clostridium isatidis	
182455	Alicyclobacillus acidiphilus	
229919	Anaerolinea thermolimosa	
105229	Bacillus fumarioli	
227865	Cerasibacillus quisquiliarum	
1147123	Caloramator quimbayensis	
655338	Fervidicella metallireducens	
520762	Thermotalea metallivorans	
196588	Porphyrobacter cryptus	
1416969	Haloterrigena mahii	
146826	Halorhabdus utahensis	AX-2
35745	Haloferax denitrificans	
177400	Anaerophaga thermohalophila	
385682	Thermophagus xiamenensis	
263906	Methanolinea tarda	NOBI-1
523844	Methanosarcina thermophila	TM-1
123783	Natrialba hulunbeirensis	
1833852	Desulfotomaculum ferrireducens	
886292	Desulfotomaculum varum	
28234	Geotoga petraea	
383372	Roseiflexus castenholzii	HLO8, DSM 13941
1933902	Rubrobacter spartanus	
571898	Thioprofundum lithotrophicum	
264951	Paecilomyces varioti	
1627895	Hypnocyclicus thermotrophus	
403181	Haloferax mucosum	
1236180	Halopelagius longus	
78579	Thermothelomyces thermophilus	
392010	Alicyclobacillus sacchari	
1450	Alicyclobacillus acidoterrestris	
1962263	Clostridium tepidum	
403181	Haloferax mucosum	
1042953	Haloparvum alkalitolerans	
1555112	Limnochorda pilosa	
438856	Methylomarinovum caldicuralii	
267746	Aneurinibacillus danicus	
1658519	Paenibacillus cisolokensis	
747076	Tepidamorphus gemmatus	
863370	Meiothermus granaticius	
1490290	Thermoactinomyces guangxiensis	
2184083	Thauera hydrothermalis	
319795	Deinococcus geothermalis	DSM 11300
332524	Actinomyces ruminicola	
388259	Natronorubrum sulfidifaciens	AD2
1452450	Roseomonas alkaliterrae	
1830138	Alicyclobacillus montanus	
1715347	Rhabdanaerobium thermarum	
1586233	Halosiccatus urmianus	
489913	Halarchaeum nitratireducens	MH1-136-2
355548	Halobacterium jilantaiense	
2257	Natronomonas pharaonis	NCMB 2190
61858	Natronorubrum bangense	A33
63128	Natronorubrum tibetense	GA33
1033806	Halorhabdus tiamatea	SARL4B
699433	Halobellus limi	
1017351	Halobaculum magnesiiphilum	
591197	Ignavibacterium album	
2163	Methanobacterium ivanovii	
1175445	Methanocella arvoryzae	MRE50(T)
419665	Methanococcus aeolicus	Nankai-3
204050	Methanoculleus submarinus	
1715806	Methanosarcina flavescens sp	E03.2
1679091	Natrarchaeobius halalkaliphilus	
68911	Natrialba chahannaoensis	
1452487	Crenobacter luteus	
672459	Nocardiopsis yanglingensis	
227138	Tepidibacter formicigenes	
671094	Curvularia protuberata	
1478153	Prauserella oleivorans	
1411117	Actinomadura amylolytica	
1411118	Actinomadura cellulosilytica	
547461	Actinomadura keratinilytica	
2707049	Coralloluteibacterium thermophilus	
1341696	Rehaibacterium terrae	
1273429	Vulcaniibacterium tengchongense	
360241	Tepidicella xavieri	
2588942	Tepidimonas alkaliphilus	
321763	Halarsenatibacter silvermanii	
302484	Haloferax larsenii	
47959	Annwoodia aquaesulis	
392011	Alicyclobacillus fastidiosus	
488549	Lutaonella thermophila	
1073081	Halarchaeum solikamskense	
1125967	Brevibacillus fulvus	
278990	Brevibacillus levickii	
1642702	Paludifilum halophilum	
68825	Rasamsonia emersonii	
72144	Remersonia thermophila	
390806	Geosporobacter subterraneus	
767519	Halomicrobium zhouii	
2675099	Haloterrigena salifodinae	
368454	Halorubrum arcis	
1917811	Tibeticola sediminis	
2054627	Altererythrobacter lauratis	
2054628	Altererythrobacter palmitatis	
516051	Muricauda lutaonensis	
553469	Halogeometricum rufum	
1758255	Halorubrum aethiopicum	
128	Isosphaera pallida	
278991	Aneurinibacillus terranovensis	
1553448	Gemmobacter intermedius	
488547	Jhaorihella thermophila	
996115	Ruegeria intermedia	
1394850	Thermoascus aegyptiacus	
244787	Nautilia profundicola	Am-H
159849	Oscillatoria terebriformis	
2017	Streptoalloteichus hindustanus	
342666	Gracilibacter thermotolerans	
253107	Natronolimnobius innermongolicus	
182779	Haloarcula quadrata	
1457	Alicyclobacillus cycloheptanicus	
717231	Flexistipes sinusarabici	MAS10, DSM 4947
265429	Silanimonas lenta	
455373	Crassicarpon hotsonii	
1679083	Natrarchaeobius chitinivorans	
1679076	Natronobiforma cellulositropha	
88724	Natrinema versiforme	
68910	Deinococcus murrayi	
1004304	Hydrotalea sandarakina	
1186196	Natrinema salaciae	
1562698	Desulfurella amilsii	
1475481	Mizugakiibacter sediminis	
-1	Chlorobium tepidum	
33059	Acidithiobacillus caldus	
929	Thermithiobacillus tepidarius	
2587410	Thielavia terrestris	
405	Methylobacillus flagellatus	
396317	Haloarcula amylolytica	
368623	Halorubrum aidingense	
444162	Thiofaba tepidiphila	
265477	Desulfotomaculum alcoholivorax	
381852	Haloferax prahovense	
1109010	Haloferax chudinovii	
97393	Ferroplasma acidarmanus	DRI
97393	Ferroplasma acidarmanus	MT17
478009	Halobacterium salinarum	R1, DSM 671
1031594	Extensimonas vulgaris	
74386	Gracilibacillus halotolerans	
2041189	Caldovatus sediminis	
33906	Actinopolyspora mortivallis	
368812	Alicyclobacillus tengchongensis	
1325932	Bacillus andreesenii	
1325931	Bacillus pervagus	
1187080	Cecembia calidifontis	
43776	Haloarcula argentinensis	
1193105	Halarchaeum grantii	
489913	Halarchaeum nitratireducens	MH1-370-1
1407499	Halobacterium hubeiense	JI20-1
63129	Halanaerobacter salinarius	
29283	Halorubrum distributum	
1334262	Halorubrum gandharaense	
1236046	Mesotoga infera	
2208	Methanosarcina barkeri	MS
536044	Methanolobus zinderi	
1586232	Halovarius luteus	
348826	Natronorubrum aibiense	
1642646	Petrimonas mucosa	
185696	Amycolatopsis deserti	
714067	Kroppenstedtia eburnea	
1972068	Sulfurivermis fontis	
1348092	Halopolyspora alba	
-1	Methanoculleus bourgensis sp	MAB1
60454	Porphyrobacter tepidarius	
1134406	Ornatilinea apprima	
1592317	Desulfoplanes formicivorans	
2004704	Halorubrum trueperi	
1526162	Halorubrum yunnanense	
1076695	Halanaerobium sehlinense	
441119	Tranquillimonas alkanivorans	
225406	Thermothelomyces hinnuleus	
408753	Clostridiisalibacter paucivorans	
36850	Clostridium quinii	
489911	Halarchaeum rubridurum	
85450	Orenia salinaria	
44470	Natronococcus amylolyticus	
768534	Sphingobacterium thermophilum	
869890	Halovenus rubra	
503834	Halanaerobaculum tunisiense	
1678448	Haloparvum sedimenti	
2583990	Halorubrum salsamenti	
515814	Nesterenkonia alba	
503170	Salisaeta longa	
2665495	Phenylobacterium terrae	
1502	Clostridium perfringens	
1485585	Cecembia rubra	
521158	Deinobacterium chartae	
1197874	Maribacter thermophilus	
413810	Halalkalicoccus jeotgali	
413811	Haloterrigena jeotgali	
558529	Natronoarchaeum philippinense	
267368	Halorubrum terrestre	
1202768	Halopiger salifodinae	
413812	Natronococcus jeotgali	
1052014	Natronococcus roseus	
1306154	Rummeliibacillus suwonensis	
1485586	Streptomyces calidiresistens	
1082276	Hydrogenispora ethanolica	
1475485	Alicyclobacillus dauci	
1027249	Gracilibacillus kekensis	
393087	Gracilibacillus lacisalsi	
411959	Virgibacillus chiguensis	
1812810	Rhodohalobacter halophilus	
1798155	Bifidobacterium aerophilum	
1798157	Bifidobacterium avesanii	
1798158	Bifidobacterium ramosum	
114628	Alkaliphilus transvaalensis	
2562278	Algoriphagus kandeliae	
1312905	Desulfocurvus thunnarius	
700500	Catenisphaera adipataccumulans	
483547	Geoalkalibacter subterraneus	
42859	Halanaerobium lacusrosei	
51589	Haloarcula hispanica	
1367881	Halorientalis persicus	
1198301	Halosimplex litoreum	
1547897	Halostella salina	
890420	Halovenus aranensis	
42419	Halanaerobacter chitinivorans	
36738	Halococcus salifodinae	
60847	Halogeometricum borinquense	
555874	Haloplanus vescus	
2175149	Halobaculum roseum	
869891	Halohasta litorea	
1267564	Halopenitus malekzadehii	
1048396	Halopenitus persicus	
376415	Halorubrum orientale	
35743	Halorubrum sodomense	
119434	Halorubrum tebenquichense	
63740	Halorubrum vacuolatum	
72612	Methanoculleus palmolei	
1463631	Nesterenkonia alkaliphila	
1487865	Halovivax cerinus	
1395169	Salinarchaeum chitinilyticum	
1655277	Brevibacillus gelatini	
1851175	Salinifilum proteinilyticum	
135740	Paracoccus kondratievae	
1082479	Limimonas halophila	
1850348	Longibacter salinarum	
1308	Streptococcus thermophilus	
1571184	Desmospora profundinema	
1485204	Salinithrix halophila	
2075419	Thermomyces stellatus	
165813	Sporanaerobacter acetigenes	
42879	Methanococcus aeolicus	Nankai-2
1765684	Acidibacillus sulfuroxidans	
2246	Haloferax volcanii	
307643	Exiguobacterium profundum	
237684	Salinibacillus aidingensis	
36842	Maledivibacter halophilus	
47854	Micromonospora chersina	
2052941	Bifidobacterium callitrichidarum	
1380675	Haloimpatiens lingqiaonensis	
1670458	Haloarchaeobius baliensis	
392413	Deinococcus misasensis	
627618	Bhargavaea indica	
1333998	Tepidicaulis marinus	
915180	Caecibacterium sporoformans	
516123	Sporosalibacterium faouarense	
39664	Methanohalophilus portucalensis	
293256	Desulfovibrio alkalitolerans	
644790	Halanaerocella petrolearia	
1232219	Halococcus agarilyticus	
73781	Methylocaldum tepidum	
1034015	Nitrososphaera viennensis	
160404	Anaerotignum lactatifermentans	
1680761	Saccharedens versatilis	
546108	Thalassobacillus hwangdonensis	
1384639	Aridibacter kavangonensis	
175632	Halalkalicoccus tibetensis	
341036	Desulfotomaculum arcticum	
425254	Cellulosilyticum ruminicola	
1675686	Sulfurifustis variabilis	
732237	Thalassospira povalilytica	
333146	Ferroplasma acidarmanus	Fer1
5763	Naegleria fowleri	
349931	Clostridium cavendishii	
253108	Natronolimnobius baerhuensis	
1630166	Bifidobacterium myosotis	
1897628	Rhodoplanes azumiensis	
200616	Rhodoplanes tepidamans	
35825	Pseudobacteroides cellulosolvens	
204285	Melanocarpus albomyces	
5041	Malbranchea cinnamomea	
29282	Haloarcula japonica	
293091	Haloquadratum walsbyi	
268735	Halonotius pteroides	
256826	Methanobacterium aarhusense	
642589	Caproiciproducens galactitolivorans	
1179467	Hazenella coriacea	
393657	Thalassospira tepidiphila	
545502	Ornithinibacillus bavariensis	
54121	Halanaerobium congolense	
869886	Halosimplex pelagicum	
869889	Halosimplex rubrum	
2707018	Halorubrum glutamatedens	
110505	Mycobacterium heckeshornense	
1397668	Desulfotomaculum aquiferis	
47055	Dethiosulfovibrio peptidovorans	
76489	Clostridium acetireducens	
116085	Coprococcus catus	
410072	Coprococcus comes	
33043	Coprococcus eutactus	
2162	Methanobacterium formicicum	
864069	Microvirga lotononidis	
29313	Mycobacterium shimoidei	
364901	Streptomyces gulbargensis	
1661150	Alicyclobacillus fodiniaquatilis	
129338	Geobacillus subterraneus	
568899	Alteribacillus persepolensis	
930124	Bacillus halosaccharovorans	
571932	Thalassobacillus cyri	
1133106	Plasticicumulans lactativorans	
1417629	Anaerosolibacter carboniphilus	
1424294	Geosporobacter ferrireducens	
1211322	Deinococcus metallilatus	
376490	Desulfovibrio bizertensis	
218206	Desulfovibrio capillatus	
1721088	Desulfovibrio salinus	
1721087	Desulfovibrio senegalensis	
57732	Enterococcus asini	
28442	Haloarcula vallismortis	
367189	Haladaptatus paucihalophilus	
1046043	Natronomonas gomsonensis	
957042	Fuchsiella alkaliacetigena	
2033802	Halomonas endophytica	
1897629	Rhodoplanes tepidicaeni	
2029849	Marinicauda algicola	
944671	Lactobacillus nasuensis	
1615586	Methanobacterium aggregans	
710191	Methanobacterium ferruginis	
483896	Methanobacterium kanagiense	
83983	Methanobacterium uliginosum	
2205	Methanomicrobium mobile	
1682650	Microvirga pakistanensis	
1930624	Natrinema soli	
1263547	Oscillibacter ruminantium	
1460447	Terrisporobacter petrolearius	
1940533	Rhodosalinus sediminis	
1087	Rhodovibrio salinarum	
1086	Rhodothalassium salexigens	
407019	Sphingomonas astaxanthinifaciens	
424188	Streptomyces deccanensis	
1482737	Aminobacterium thunnarium	
1709001	Mongoliimonas terrestris	
42879	Methanococcus aeolicus	PL-15/H
2188	Methanococcus voltae	PS
81417	Methanofollis tationis	
1534102	Pseudogracilibacillus endophyticus	
481366	Limnobacter litoralis	
2201	Methanofollis liminatans	
1732	Eubacterium oxidoreducens	
489912	Halarchaeum salinum	
425468	Mycobacterium arosiense	
36812	Mycobacterium genavense	
425942	Magnetospirillum bellicus	
69540	Methanobacterium oryzae	
299308	Methanofollis formosanus	
230356	Methanolacinia paynteri	
933068	Ilyobacter delafieldii	
54120	Methanolacinia petrolearia	
2315	Methanoplanus limicola	
60695	Selenomonas lipolytica	
135083	Selenomonas noxia	
332175	Desulfosalsimonas propionicica	
1562603	Microbulbifer rhizosphaerae	
56636	Aeropyrum pernix	K1
1483572	Thermofilum carboxyditrophus	1505
427317	Sulfolobus islandicus	M.14.25
55802	Thermococcus barophilus	CH5
-1	Thermococcus sp	2319x1
1200300	Thermogladius cellulolyticus	
-1	Sulfolobus solfataricus	98/2 SULC
-1	Sulfolobus solfataricus	SULB
2689387	Thermococcus bergensis	7324
-1	Thermotoga sp	RQ7
425944	Sulfolobus islandicus	L.D.8.5
429572	Sulfolobus islandicus	L.S.2.15
427318	Sulfolobus islandicus	M.16.27
426118	Sulfolobus islandicus	M.16.4
930945	Sulfolobus islandicus	REY15A
439386	Sulfolobus islandicus	Y.G.57.14
515635	Dictyoglomus turgidum	DSM 6724
56957	Thermus oshimai	
-1	Clostridium stercorarium	
1111107	Metallosphaera yellowstonensis	
37636	Thermus scotoductus	
-1	Thermoanaerobacter sp	X513
-1	Thermoanaerobacter sp	X514
49339	Methanothermobacter defluvii	ADZ
-1	Roseiflexus sp	RS-1
419942	Sulfolobus islandicus	Y.N.15.51
375896	Synechococcus bigranulatus	
-1	Bacillus coagulans	MA-13
145262	Methanothermobacter thermautotrophicus	CaT2
49340	Methanothermobacter thermoflexum	IDZ
49341	Methanothermobacter thermophilus	
635013	Thermincola potens	JR
479434	Sphaerobacter thermophilus	4ac11, DSM 20745
1402	Bacillus licheniformis	ATCC 14580
223182	Halobacterium noricense	
644295	Methanohalobium evestigatum	Z-7303, DSM 3721
1052	Halorhodospira halochloris	A
53635	Acidimicrobium ferrooxidans	
1131473	Thermoascus thermophilus	
-1	Thermothelomyces thermophila	
679936	Sulfobacillus acidophilus	NAL, DSM 10332
1053	Halorhodospira halophila	
39669	Methanohalophilus zhilinae	
697303	Thermoanaerobacter wiegelii	Rt8.B1
1563981	Zygogonium ericetorum	
420335	Caldanaerobacter hydrothermalis	
477278	Caldanaerobacter proteolyticus	
-1	Hydrogenobaculum sp	3684 ((Finished QAed))
-1	Hydrogenobaculum sp	HO
-1	Hydrogenobaculum sp	SHO (Final Finished Sequence)
-1	Hydrogenobaculum sp	SN
-1	Hydrogenobaculum sp	Y04AAS1
35835	Hydrogenobacter hydrogenophilus	
-1	Geobacillus sp	Y412MC61
373981	Calothrix thermalis	
481448	Methylacidiphilum infernorum	V4
195750	Geotoga aestuarianus	
749414	Streptomyces bingchenggensis	BCW-1
272	Thermus caldophilus	
116039	Thermus nonproteolyticus	
42735	Thermopallium natronophilum	
