Name	Strain	Temp	Source_ID
Pediastrum boryanum	TAC 56-3A (TAN-56-3A)	20 C	NIES-301
Pediastrum duplex	Pe-16	20 (25) C	NIES-210
Pediastrum duplex	F50-1	20 (25) C	NIES-211
Pediastrum duplex	KW-P-1	20 C	NIES-212
Pediastrum duplex	AQ-P-1	20 C	NIES-213
Astrephomene gubernaculifera	1520-4 (-)	20 C	NIES-418
Pediastrum duplex	KR-P-2	20 C	NIES-214
Monactinus sturmii	F-26-4	20 (25) C	NIES-302
Pediastrum simplex	B-P-18	20 C	NIES-215
Stauridium tetras	K-P-30	20 C	NIES-216
Penium margaritaceum	N-76-20	20 (25) C	NIES-217
Eudorina elegans	A-5 (m)	20 C	NIES-456
Phormidium foveolarum		20 (25) C	NIES-32
Phormidium foveolarum		20 (25) C	NIES-34
Leptolyngbya sp.		20 (25) C	NIES-30
Eudorina elegans	I-14 (f)	20 C	NIES-457
Pleurotaenium cylindricum	F57-18-4	22 C	NIES-306
Pleurotaenium ovatum	F57-17-8	20 (25) C	NIES-313
Pleurotaenium ehrenbergii	W-1-3	20 (25) C	NIES-308
Pleurotaenium ehrenbergii	R-13-27	20 (25) C	NIES-309
Pleurotaenium ehrenbergii	R-13-30	20 (25) C	NIES-310
Pleurotaenium ehrenbergii	R-13-19	20 (25) C	NIES-311
Eudorina elegans	04427-1	20 C	NIES-458
Prorocentrum micans	OPm	20 C	NIES-12
Prorocentrum micans	KGW-13-7	20 C	NIES-218
Prorocentrum minimum	OPmin	20 C	NIES-237
Prorocentrum minimum	KGW-14-2-5	20 C	NIES-238
Pterosperma cristatum	H-88-1	20 C	NIES-221
Pyramimonas aff.	KGW-64-3	20 C	NIES-251
Peridinium willei	8423-P	15 C	NIES-304
Skeletonema marinoi-dohrnii complex	H-53-3	15 C	NIES-16
Skeletonema marinoi-dohrnii complex	H-90-2	15 C	NIES-17
Skeletonema marinoi-dohrnii complex	KGW-26	15 C	NIES-223
Hafniomonas montana	430M3-3	20 C	NIES-656
Staurastrum inconspicuum	34-10'	20 (20) C	NIES-390
Staurodesmus dejectus	TAC 53-1 (TAN-53-1)	20 (20) C	NIES-224
Staurastrum paradoxum	Kas-K-3	20 (20) C	NIES-528
Synura petersenii	USI-10	20 C	NIES-233
Synura spinosa	SIS-1	20 C	NIES-234
Tabellaria flocculosa	OZ-43-4	15 C	NIES-225
Ochromonas sp.	KY-1S	20 (20) C	NIES-2300
Tetraselmis cordiformis	SM-6-9	20 C	NIES-18
Tolypothrix tenuis		20 (25) C	NIES-37
Volvox aureus	S-9-8	20 C	NIES-241
Volvox kirkiorum	V-sp	23 C	NIES-543
Volvox carteri	V-4	25 C	NIES-397
Volvox carteri	V-11	25 C	NIES-398
Gloeomonas lateperforata	1/4	20 C	NIES-464
Pandorina morum	Oz-Pa-1	20 C	NIES-362
Pandorina morum	Oz-Pa-2	20 C	NIES-242
Pandorina morum	Oz-Pa-3	20 C	NIES-243
Monomastix minuta	SIS-Mono	20 C	NIES-255
Monomastix minuta	Oz-35-m	20 C	NIES-256
Eudorina elegans	B-Eud-6	20 C	NIES-351
Pyramimonas parkeae	8-25-2	20 C	NIES-254
Pavlova gyrans	MB-D-24	20 C	NIES-623
Volvulina steinii	1107-8 (+)	20 C	NIES-546
Chlamydomonas tetragama	413D4-4	20 C	NIES-446
Monoraphidium circinale	SIS-1-M	20 (25) C	NIES-480
Coelastrum astroideum		20 (25) C	NIES-244
Coelastrum reticulatum	F63-3	20 (25) C	NIES-245
Lagerheimia ciliata	F37-1	20 (25) C	NIES-382
Pediastrum angulosum	83-24-1-7	20 (25) C	NIES-300
Cylindrocystis brebissonii	6801-68	20 (25) C	NIES-349
Cylindrocystis sp.	6801-15	20 (25) C	NIES-2301
Cylindrocystis sp.	6801-01	20 (25) C	NIES-2302
Cylindrocystis sp.	6707-01	20 (25) C	NIES-2303
Graesiella emersonii		20 (25) C	NIES-226
Chlorella vulgaris		20 (25) C	NIES-227
Treubaria triappendiculata	F67-5	20 (25) C	NIES-394
Pseudoschroederia antillarum	F47-3	25 C	NIES-246
Gonium viridistellatum	G4	20 C	NIES-288
Gonium viridistellatum	G3	20 C	NIES-289
Gonium viridistellatum	G1	20 C	NIES-290
Eremosphaera viridis	43-23	20 (25) C	NIES-380
Volvulina steinii	1107-5 (-)	20 C	NIES-545
Closterium ehrenbergii	KK-33-1	20 (25) C	NIES-228
Closterium ehrenbergii	KK-33-6	20 (20) C	NIES-229
Gonatozygon monotaenium	84-25-109	20 (20) C	NIES-247
Merismopedia tenuissima	F98-2	20 C	NIES-230
Coelastrum morus	F78-4-2	20 (25) C	NIES-231
Polyedriopsis spinulosa	F128	20 (25) C	NIES-232
Chlorotetraedron incus	F115	20 (25) C	NIES-392
Oltmannsiellopsis unicellularis	810YB-6	20 C	NIES-359
Florenciella sp.	810YB-10	20 C	NIES-2304
Eutreptiella sp.	8280G27-10	20 C	NIES-2305
Microcystis aeruginosa	K-5	20 (25) C	NIES-478
Microcystis aeruginosa	K-3A	20 (25) C	NIES-604
Nephroselmis astigmatica	810-13	20 C	NIES-252
Cosmocladium constrictum	F75-2	20 (20) C	NIES-248
Closterium aciculare	Bca-25	20 C	NIES-258
Closterium aciculare	Bca-26	20 C	NIES-259
Closterium peracerosum-strigosum-littorale complex	N-13-4	15 (20) C	NIES-262
Pleurotaenium nodosum	83-24-3	20 (25) C	NIES-312
Eudorina illinoisensis	5607-E-14 (f)	20 C	NIES-459
Micrasterias foliacea	83-24-24	20 (25) C	NIES-297
Spinoclosterium cuspidatum	83-24-19	20 (25) C	NIES-325
Eudorina illinoisensis	5630-E-3 (m)	20 C	NIES-460
Penium margaritaceum	84-25-1	20 (25) C	NIES-303
Sphaerozosma sp.	OZ-N-1-12	20 (25) C	NIES-2306
Heterosigma akashiwo	8280G21-1	20 C	NIES-293
Oltmannsiellopsis viridis	8280G41-2	20 C	NIES-360
Pedinomonas minor	H31P4	20 (25) C	NIES-363
Pyramimonas aff.	8280G47-5	20 C	NIES-320
Euglena mutabilis		20 (25) C	NIES-286
Pseudanabaena sp.	841211St5-1	20 (20) C	NIES-305
Microcystis aeruginosa	TAC 47 (K-TAN-47)	25 C	NIES-298
Microcystis aeruginosa	KN1133	25 C	NIES-299
Coolia monotis	8-1	20 C	NIES-343
Skeletonema marinoi-dohrnii complex	Sk-85w	15 C	NIES-323
Skeletonema marinoi-dohrnii complex	Sk-85su	15 C	NIES-324
Tetrahymena pyriformis	Tetra-1	15 C	NIES-403
Gonium pectorale	9406-12	20 C	NIES-469
Klebsormidium sp.		20 C	NIES-329
Mesostigma viride	KY-14	20 C	NIES-296
Asterionellopsis glacialis	MB-B-1	15 C	NIES-265
Gonium pectorale	9406-10	20 C	NIES-468
Thalassionema nitzschioides	MBB-6	15 C	NIES-534
Chattonella marina		20 C	NIES-603
Gephyrocapsa oceanica	TMCO-2	20 C	NIES-353
Oscillatoria amphibia	Oa	20 C	NIES-361
Volvox aureus		23 C	NIES-396
Volvox tertius		23 C	NIES-544
Volvox sp.		23 C	NIES-2307
Uroglena americana	Strain 78	15 C	NIES-395
Arthrospira sp.		20 (25) C	NIES-2308
Volvox aureus	1706-2	23 C	NIES-541
Volvox aureus	1706-4	23 C	NIES-542
Achnanthidium minutissimum	1st-1-1	15 C	NIES-412
Achnanthidium minutissimum	1st-2-8	15 C	NIES-413
Achnanthidium minutissimum	1st-3-17	15 C	NIES-411
Achnanthidium minutissimum	4st-0-8	15 C	NIES-407
Achnanthidium minutissimum	AT4-18	15 C	NIES-410
Achnanthidium minutissimum	0-25	15 C	NIES-414
Achnanthidium minutissimum	Ast-3-3	15 C	NIES-409
Achnanthidium minutissimum	AT5-23	15 C	NIES-408
Nitzschia palea	3st-0-57	15 C	NIES-487
Nitzschia palea	Ast-2-2	15 C	NIES-489
Gomphonema gracile	Ast-1-1	15 C	NIES-465
Eunotia pectinalis	(1)-16	15 C	NIES-461
Staurastrum dorsidentiferum	NB	25 C	NIES-665
Gomphonema parvulum	Tst-1-18	10 C	NIES-466
Gomphonema parvulum	Tst-4-3	10 C	NIES-467
Phormidium jenkelianum	AT5-37	20 (20) C	NIES-506
Phormidium jenkelianum	Ast-1-4	20 (20) C	NIES-507
Phormidesmis molle	AT2-17	20 (20) C	NIES-509
Phormidium foveolarum	AT4-17	20 (20) C	NIES-505
Leptolyngbya sp.	2st-2-4	20 (20) C	NIES-504
Chamaesiphon subglobosus	2st-2-1	20 (20) C	NIES-434
Tolypothrix sp.	NK-12	20 (20) C	NIES-515
Aphanocapsa montana	NK-24	20 (20) C	NIES-416
Phormidium mucicola	(1)-23	20 (20) C	NIES-510
Phormidium foveolarum	(1)-48	20 (20) C	NIES-503
Myxosarcina burmensis	(1)-45	20 (20) C	NIES-481
Chamaesiphon polymorphus	M-29	10 C	NIES-433
Characium angustum	AK-5-2	15 C	NIES-639
Chloroidium saccharophilum	Tst-8-2	10 (10) C	NIES-640
Chlorella vulgaris	1st-3-26	20 C	NIES-641
Chlorella vulgaris	1st-2-17	20 C	NIES-642
Oocystis borgei	AT2-26	15 (15) C	NIES-659
Oocystis lacustris	Ast-3-1	15 (15) C	NIES-660
Oocystis lacustris	4st-3-9	20 C	NIES-661
Oocystis lacustris	1st-2-9	20 C	NIES-662
Stigeoclonium fasciculare	M-2	10 C	NIES-532
Stigeoclonium aestivale	2st-3-12	20 C	NIES-531
Stigeoclonium sp.	2Tst-2-1	10 C	NIES-454
Ulothrix zonata	4st-1'-24	15 C	NIES-536
Ulothrix zonata	2Tst-1-1	15 C	NIES-537
Microthamnion k tzingianum	Tst11-6	10 (10) C	NIES-479
Stichococcus bacillaris	AT5-17	15 C	NIES-530
Stichococcus sp.	AT2-16	15 C	NIES-529
Uronema gigas	4st-0-16	20 C	NIES-540
Uronema gigas	4st-3-5	20 C	NIES-539
Uronema confervicolum	4st-2-10	20 C	NIES-538
Mesostigma viride	KY-Mes-1	20 C	NIES-476
Mesostigma viride	KY-Mes-2	20 C	NIES-475
Mesostigma viride	KY-Mes-3	20 C	NIES-477
Nephroselmis olivacea	S-N-2-1	20 C	NIES-483
Nephroselmis olivacea	S-N-5-8	20 C	NIES-484
Nephroselmis olivacea	S-N-3-4	20 C	NIES-485
Tetraselmis cordiformis	KY-20-1	20 C	NIES-533
Nephroselmis viridis	813H-7	20 C	NIES-2309
Mamiella sp.	814To-3	20 C	NIES-2310
Pseudocarteria mucosa	M-4	20 C	NIES-524
Pseudocarteria mucosa	M-2	20 C	NIES-522
Pseudocarteria mucosa	USI-8	20 C	NIES-523
Carteria crucifera	SIST3-1	20 C	NIES-421
Carteria inversa	134-4	20 C	NIES-422
Carteria inversa	106	20 C	NIES-423
Carteria klebsii	SIST7-4	20 C	NIES-426
Carteria obtusa	SIS5-20	20 C	NIES-429
Carteria obtusa	Ca2-3	20 C	NIES-430
Carteria obtusa	Ca-2-1	20 C	NIES-428
Carteria obtusa	SIST6-3	20 C	NIES-431
Carteria multifilis	Ca1-2	20 C	NIES-427
Carteria sp.	SM-6-3	20 C	NIES-2311
Carteria sp.	412KY-9	20 C	NIES-2312
Carteria sp.	w-39-4	20 C	NIES-2313
Carteria radiosa	w-5-2	20 C	NIES-432
Carteria palmata	KY-1	20 C	NIES-1336
Carteria palmata	KY-8	20 C	NIES-1337
Carteria palmata	KY-24	20 C	NIES-1338
Carteria cerasiformis	Kas-10	20 C	NIES-424
Carteria cerasiformis	w-8-15	20 C	NIES-425
Chlamydomonas fasciata	H-3-4-2	20 C	NIES-437
Microglena sp.	Kas-7	20 C	NIES-438
Gungnir neglectum	T-4-19	20 C	NIES-439
Chlamydomonas parkeae	I-29	20 C	NIES-440
Chlamydomonas sp.	SIS-ch	20 C	NIES-2314
Chlamydomonas sp.	H-3-1	20 C	NIES-2315
Chlamydomonas sp.	OChla	20 C	NIES-2316
Chlamydomonas sp.	KZ-5-8	20 C	NIES-2317
Chlamydomonas sp.	KZ-5-17	20 C	NIES-2318
Chlamydomonas sp.	H-3-6	20 C	NIES-2319
Rhysamphichloris similis	w-14-5	20 C	NIES-2320
Rhysamphichloris similis	w-30	20 C	NIES-2321
Rhysamphichloris similis	w-36	20 C	NIES-2322
Chlamydomonas sp.	Sa-38	20 C	NIES-2323
Chlamydomonas sp.	IC-9	20 C	NIES-2324
Eutreptiella sp.	813H-4	20 C	NIES-2325
Dictyosphaerium pulchellum		15 C	NIES-453
Glenodiniopsis uliginosa	TM3D-6	20 C	NIES-463
Gymnodinium sp.	8423G	15 C	NIES-2946
Gymnodinium sp.	TIDD-6	15 C	NIES-2948
Gymnodinium sp.	TKDD-11	15 C	NIES-2326
Hemidinium nasutum	87SPD-1	20 C	NIES-471
Peridinium bipes	LOND-9	15 C	NIES-495
Peridinium volzii	SPSP-2	15 C	NIES-501
Togula britannica	HASS-1	20 C	NIES-405
Cochlodinium sp.	SMHD-7	15 C	NIES-2327
Heterocapsa niei	IID-1	20 C	NIES-420
Heterocapsa pseudotriquetra	TMUD-2	20 C	NIES-473
Heterocapsa ovata	KSTH-23	20 C	NIES-472
Alexandrium sp.	NCD-4	20 C	NIES-2328
Oxyrrhis marina	370OX	20 C	NIES-494
Mamiella sp.	Hamam	15 C	NIES-2329
Fibrocapsa japonica	HASS-8	20 C	NIES-462
Chattonella marina		20 C	NIES-849
Pseudochattonella verruculosa		15 C	NIES-850
Lobomonas monstruosa	FL	20 C	NIES-474
Pterosperma cristatum	89KGW-1	15 C	NIES-626
Fibrocapsa japonica		20 C	NIES-605
Pyrocystis lunura		20 C	NIES-609
Planktothrix agardhii	K-8	20 (20) C	NIES-594
Planktothrix agardhii	3A(2)	20 (20) C	NIES-595
Planktothrix agardhii	VLOA 7	20 (20) C	NIES-596
Chaetoceros didymus	St-4	15 C	NIES-586
Odontella longicruris	St-11	15 C	NIES-590
Odontella aurita	St-22	15 C	NIES-589
Lithodesmium variabile	St-12	15 C	NIES-588
Pleodorina californica		25 C	NIES-576
Didymogenes soliella	HA-1	20 (25) C	NIES-2330
Paraphysomonas vestita		20 C	NIES-602
Triceratium dubium	No.20	20 C	NIES-556
Chaetoceros socialis	T-1	15 C	NIES-553
Volvulina compacta	89-804-4	20 C	NIES-582
Eudorina elegans	7914-E-6	20 C	NIES-568
Fibrocapsa japonica		20 C	NIES-560
Chattonella marina		20 C	NIES-558
Heterosigma akashiwo		20 C	NIES-561
Prorocentrum micans		20 C	NIES-601
Chattonella marina		20 C	NIES-557
Chattonella marina		20 C	NIES-559
Cyanidium caldarium	86	20 (25) C	NIES-551
Acinetospora crinita		20 (20) C	NIES-548
Galdieria sulphuraria	002	37 C	NIES-550
Chrysochromulina parva		15 C	NIES-562
Chroomonas debatzensis	NAK-1	20 C	NIES-2331
Rhodomonas sp.	Shiz-5	20 C	NIES-2332
Porphyridium sp.		20 C	NIES-1032
Porphyridium sp.		20 C	NIES-1033
Rhodella sp.		20 C	NIES-1036
Rhodella sp.		20 C	NIES-1037
Porphyridium sp.		20 C	NIES-1034
Porphyridium sp.		20 C	NIES-1035
Synechococcus sp.	JUS 1	15 C	NIES-937
Synechococcus sp.	HAR 3	15 C	NIES-938
Synechococcus sp.	HAR 10	15 C	NIES-939
Synechococcus sp.	HIM 1	15 C	NIES-940
Synechococcus sp.	TEG 1	15 C	NIES-941
Synechococcus sp.	USK 1	15 C	NIES-942
Synechococcus sp.	KOJ 1	15 C	NIES-943
Synechococcus sp.	ABS 10	15 C	NIES-944
Synechococcus sp.	B 1	15 C	NIES-945
Synechococcus sp.	2K 11	15 C	NIES-946
Synechococcus sp.	SA 1	15 C	NIES-947
Synechococcus sp.	ABS 11	15 C	NIES-948
Synechococcus sp.	USK 2	15 C	NIES-949
Choricystis sp.	MSZ 3	15 C	NIES-2333
Mychonastes sp.	KIZ 11	15 C	NIES-2334
Choricystis sp.	KUTA 1	15 C	NIES-2335
Mychonastes sp.	YA 4	15 C	NIES-2336
Choricystis sp.	SKT 1	15 C	NIES-2337
Choricystis sp.	TOYA 1	15 C	NIES-2338
Mychonastes frigidus	SA 2	15 C	NIES-2339
Mychonastes frigidus	NT 2	15 C	NIES-2340
Mychonastes sp.	TATE 1	15 C	NIES-2341
Choricystis krienitzii	OTD 1	15 C	NIES-2342
Ankistrodesmus sp.	HAR 1	15 C	NIES-2980
Synechococcus sp.	LN 3	15 C	NIES-950
Synechococcus sp.	AKN 3	15 C	NIES-951
Synechococcus sp.	KIZ 5/3	15 C	NIES-952
Synechococcus sp.	B 10	15 C	NIES-953
Synechococcus sp.	B 8	15 C	NIES-954
Synechococcus sp.	KIZ 5/1	15 C	NIES-955
Synechococcus sp.	NOJ 1	15 C	NIES-956
Synechococcus sp.	B 11	15 C	NIES-957
Synechococcus sp.	B 4	15 C	NIES-958
Synechococcus sp.	B 3	15 C	NIES-959
Synechococcus sp.	TSU 3	15 C	NIES-960
Synechococcus sp.	2K 12	15 C	NIES-961
Synechococcus sp.	ONM 3	15 C	NIES-962
Synechococcus sp.	NT 5	15 C	NIES-963
Synechococcus sp.	Me 5	15 C	NIES-964
Synechococcus sp.	MSZ 2	15 C	NIES-965
Pandorina colemaniae	88-1025-1	20 C	NIES-572
Pandorina colemaniae	89-0131-P-3	20 C	NIES-573
Tetrabaena socialis	21028-4	20 C	NIES-571
Gonium pectorale	88-1113-G-1	20 C	NIES-569
Gonium pectorale	88-1113-G-2	20 C	NIES-570
Astrephomene perforata	1620-3-2	20 C	NIES-564
Astrephomene perforata	1620-4-1	20 C	NIES-565
Pandorina morum	7916-P-7	20 C	NIES-574
Pandorina morum	7916-P-8	20 C	NIES-575
Volvulina steinii	89-306-1	20 C	NIES-584
Volvulina steinii	89-423-1	20 C	NIES-585
Volvox carteri	6823-+-2	20 C	NIES-580
Volvox carteri	90-1111-5	20 C	NIES-581
Yamagishiella unicocca	01209-1	20 C	NIES-578
Yamagishiella unicocca	01209-7	20 C	NIES-579
Basichlamys sacculifera	3907-1	20 C	NIES-566
Pleodorina japonica	6715-7	20 C	NIES-577
Characiochloris sasae	91-0106-1	20 C	NIES-567
Gomphonema angustatum	1-36	15 C	NIES-620
Hantzschia amphioxys	Wn-24	15 C	NIES-587
Spirulina subsalsa	KO-39	20 (25) C	NIES-598
Planktothrix spiroides	T-43	22 C	NIES-597
Mastigocladus sp.	Yu-50	20 (25) C	NIES-592
Hydrococcus rivularis	Yu-52	20 (25) C	NIES-593
Trentepohlia sp.	TP-5	20 C	NIES-967
Volvulina compacta	89-804-7	20 C	NIES-583
Coolia monotis	CM-01	20 C	NIES-615
Prorocentrum lima	PL-03	20 C	NIES-617
Prorocentrum mexicanum	PX-01	20 C	NIES-618
Pseudanabaena sp.	Bpt	25 C	NIES-611
Botrydium granulatum		20 C	NIES-622
Chlorarachnion reptans		20 C	NIES-624
Planktothrix rubescens		20 C	NIES-610
Astrephomene gubernaculifera	1727-1(-)	20 C	NIES-628
Gonium quadratum	90-809-F1-2-1	20 C	NIES-647
Gonium quadratum	90-809-F1-2-2	20 C	NIES-648
Gonium quadratum	90-809-F1-2-3	20 C	NIES-649
Gonium quadratum	90-809-F1-2-4	20 C	NIES-650
Characiochloris sasae	91-0106-6	20 C	NIES-638
Characiochloris acuminata		20 C	NIES-637
Gonium quadratum		20 C	NIES-651
Eremosphaera viridis	92-604-E-5	20 C	NIES-643
Eremosphaera viridis	92-604-E-3	20 C	NIES-644
Gonium viridistellatum	KY-4 (+)	20 C	NIES-654
Gonium viridistellatum	KY-7 (-)	20 C	NIES-655
Gonium pectorale	5912-6 (+)	20 C	NIES-645
Gonium pectorale	5912-6 (-)	20 C	NIES-646
Carteria eugametos	91-409-1	20 C	NIES-631
Carteria eugametos	91-421-4	20 C	NIES-632
Carteria eugametos	91-504-1	20 C	NIES-633
Carteria eugametos		20 C	NIES-634
Carteria eugametos		20 C	NIES-635
Carteria eugametos		20 C	NIES-636
Carteria crucifera		20 C	NIES-630
Yamagishiella unicocca	X-441	20 C	NIES-666
Yamagishiella unicocca	X-443	20 C	NIES-667
Gonium quadratum	90-423-3	20 C	NIES-652
Gonium quadratum	90-423-2	20 C	NIES-653
Pleurotaenium nodosum	93-913-Gon-1	20 C	NIES-663
Pleurotaenium nodosum	93-913-Gon-3	20 C	NIES-664
Amphidinium klebsii	AK-1	20 C	NIES-613
Pseudochattonella verruculosa		20 C	NIES-670
Chattonella marina		20 C	NIES-671
Oltmannsiellopsis geminata		20 C	NIES-672
Alexandrium catenella	Ac 5	20 C	NIES-675
Alexandrium insuetum		20 C	NIES-678
Prorocentrum dentatum		20 C	NIES-682
Heterocapsa sp.	Mie-92	20 C	NIES-2343
Heterocapsa sp.	Uranouchi	20 C	NIES-2344
Desmodesmus abundans		20 (25) C	NIES-685
Chlorella vulgaris	C-207	20 (25) C	NIES-686
Graesiella emersonii	C-104	20 (25) C	NIES-687
Graesiella emersonii	211/8G	20 (25) C	NIES-688
Graesiella emersonii	211/8H	20 (25) C	NIES-689
Graesiella emersonii	211/11N	20 (25) C	NIES-690
Tetrabaena socialis	KG-4-8th	15 C	NIES-691
Chlorogonium capillatum	92-517-6-2	20 C	NIES-692
Chlamydomonas kuwadae	92-514-H-13	10 C	NIES-968
Euglena sp.	92-517-E-1	15 C	NIES-2345
Pedinella sp.	92-912-1	10 C	NIES-2346
Volvox aureus	k-5	20 C	NIES-693
Volvox aureus	31202-2-9	20 C	NIES-694
Synura sphagnicola	92-520-S-6	20 C	NIES-695
Synura sphagnicola	92-1001-S-2	20 C	NIES-696
Cyanophora kugrensii	S117	20 C	NIES-763
Cyanophora sudae	S118	20 C	NIES-764
Nephroselmis spinosa	S222	20 C	NIES-934
Nephroselmis spinosa	SD959-3	20 C	NIES-935
Haptolina hirta	CH1	15 C	NIES-741
Rhodomonas acuta	M01	15 C	NIES-697
Rhodomonas irregularis	M04	15 C	NIES-698
Rhodomonas atrorosea	M07	15 C	NIES-699
Rhodomonas baltica	M06	15 C	NIES-700
Rhodomonas chrysoidea	M03	15 C	NIES-701
Rhodomonas falcata	M10	15 C	NIES-702
Chroomonas collegionis	M08	15 C	NIES-703
Chroomonas dispersa	M09	15 C	NIES-704
Chroomonas placoidea	M11	15 C	NIES-705
Rhodomonas duplex	M14	15 C	NIES-765
Chroomonas nordstedtii	#00165	15 C	NIES-706
Chroomonas nordstedtii	#00173	15 C	NIES-707
Chroomonas nordstedtii	#00324	15 C	NIES-708
Chroomonas nordstedtii	#00330	15 C	NIES-709
Chroomonas nordstedtii	#00331	15 C	NIES-710
Chroomonas nordstedtii	#00354	15 C	NIES-711
Chroomonas caudata	#00171	15 C	NIES-712
Chroomonas coerulea	#00191	15 C	NIES-713
Chroomonas coerulea	#00217	15 C	NIES-714
Cryptomonas paramaecium	#00210	15 C	NIES-715
Cryptomonas paramaecium	#00318	15 C	NIES-766
Cryptomonas paramaecium	#00319	15 C	NIES-767
Eudorina elegans		20 C	NIES-717
Eudorina elegans		20 C	NIES-718
Eudorina elegans		20 C	NIES-719
Eudorina elegans		20 C	NIES-720
Eudorina elegans		20 C	NIES-721
Eudorina cylindrica		20 C	NIES-722
Eudorina illinoisensis		20 C	NIES-723
Eudorina unicocca		20 C	NIES-724
Eudorina peripheralis		20 C	NIES-725
Eudorina peripheralis		20 C	NIES-726
Paulschulzia pseudovolvox		20 C	NIES-727
Platydorina caudata		20 C	NIES-728
Platydorina caudata		23 C	NIES-729
Haramonas dimorpha		20 C	NIES-716
Volvox barberi		23 C	NIES-730
Volvox zeikusii		23 C	NIES-731
Volvox carteri	KK-3	23 C	NIES-732
Volvox carteri	KK-5	23 C	NIES-733
Volvox rousseletii		23 C	NIES-734
Pleodorina californica		20 C	NIES-735
Pleodorina indica		23 C	NIES-736
Gonium multicoccum	90-530-F1-5	20 C	NIES-737
Chlorogonium capillatum		20 C	NIES-742
Chlorogonium capillatum		20 C	NIES-743
Chlorogonium capillatum		20 C	NIES-744
Chlorogonium capillatum		20 C	NIES-745
Chlorogonium capillatum		20 C	NIES-746
Chlorogonium capillatum		20 C	NIES-747
Chlorogonium capillatum		20 C	NIES-748
Chlorogonium capillatum		20 C	NIES-749
Chlorogonium capillatum		20 C	NIES-750
Chlorogonium elongatum		20 C	NIES-751
Chlorogonium elongatum		20 C	NIES-752
Chlorogonium elongatum		20 C	NIES-753
Chlorogonium euchlorum		20 C	NIES-754
Chlorogonium euchlorum		20 C	NIES-755
Chlorogonium euchlorum		20 C	NIES-756
Chlorogonium euchlorum		20 C	NIES-757
Chlorogonium euchlorum		20 C	NIES-758
Chlorogonium euchlorum		20 C	NIES-759
Chlorogonium euchlorum		20 C	NIES-760
Gungnir kasakii		20 C	NIES-761
Gonium octonarium	GO-LC-1+	20 C	NIES-851
Gonium octonarium	GO-LC-3-	20 C	NIES-852
Achnanthes subconstricta	IMHB-5	15 C	NIES-330
Ditylum brightwellii	KBB-10	15 C	NIES-350
Characium polymorphum	N-76-0	20 (25) C	NIES-436
Chattonella marina	Ho-1	20 C	NIES-1
Chattonella marina	OCH-a	20 C	NIES-2
Chattonella marina	KGW-2	20 C	NIES-83
Gonium multicoccum	GQ-M-Tx-1	20 C	NIES-1038
Gonium multicoccum	GQ-M-Tx-2	20 C	NIES-1039
Pteromonas aculeata	970603-PtAcl	20 C	NIES-738
Pteromonas angulosa	970603-PtAng	20 C	NIES-739
Pteromonas multipyrenoidea	970603-PtMul	20 C	NIES-740
Cosmarium askenasyi	88-8-37	22 (25) C	NIES-768
Cosmarium askenasyi	88-8-38	22 (25) C	NIES-769
Cosmarium askenasyi	88-8-39	22 (25) C	NIES-770
Cosmarium askenasyi	88-8-40	22 (25) C	NIES-771
Euastrum turgidum	84-15-75	22 (25) C	NIES-772
Euastrum turgidum	84-15-76	22 (25) C	NIES-773
Micrasterias anomala	88-95-12	22 (25) C	NIES-774
Micrasterias foliacea	M2-1	22 (25) C	NIES-777
Micrasterias foliacea	M2-2	22 (25) C	NIES-778
Micrasterias mahabuleshwarensis	M2-6	22 (25) C	NIES-779
Micrasterias mahabuleshwarensis	M2-7	22 (25) C	NIES-780
Micrasterias thomasiana	85-28-14	22 (25) C	NIES-781
Micrasterias thomasiana	85-28-57	22 (25) C	NIES-782
Micrasterias truncata	88-7-2	22 (25) C	NIES-783
Micrasterias truncata	88-8-5	22 (25) C	NIES-784
Pleurotaenium nodosum	86-7-15	20 (25) C	NIES-785
Pleurotaenium nodosum	86-7-16	22 (25) C	NIES-786
Pleurotaenium nodosum	85-30-9	22 (25) C	NIES-787
Pleurotaenium nodosum	85-30-56	22 (25) C	NIES-788
Triploceras gracile	85-28-1	22 (25) C	NIES-789
Triploceras gracile	85-28-2	22 (25) C	NIES-790
Triploceras gracile	85-28-3	22 (25) C	NIES-791
Triploceras gracile	85-28-4	22 (25) C	NIES-792
Triploceras gracile	83-24-2	22 (25) C	NIES-793
Triploceras gracile	83-24-7	22 (25) C	NIES-794
Triploceras gracile	83-24-3	22 (25) C	NIES-795
Triploceras gracile	83-24-6	22 (25) C	NIES-796
Desmodesmus subspicatus	B8-7	20 (25) C	NIES-797
Desmodesmus subspicatus	B8-16	20 (25) C	NIES-798
Desmodesmus subspicatus	B8-23	20 (25) C	NIES-799
Desmodesmus subspicatus	B3-12	20 (25) C	NIES-800
Desmodesmus subspicatus	B3-15	20 (25) C	NIES-801
Desmodesmus subspicatus	B12-2	20 (25) C	NIES-802
Cyclotella meneghiniana	506-26	15 C	NIES-803
Cyclotella meneghiniana	518-39	15 C	NIES-804
Cyclotella meneghiniana	613-2	15 C	NIES-805
Glaucocystis oocystiformis	F(6)-5	20 C	NIES-966
Dolichospermum compactum		20 C	NIES-806
Sphaerospermopsis kisseleviana	TAC 34	20 C	NIES-807
Dolichospermum lemmermannii	TAC 437 (A28)	20 C	NIES-808
