Name	Strain	Temp	ncbiTaxID	Genome
Thermofilum uzonense	1807-2	85	-1	GCA_000993805.1
Vulcanisaeta thermophila	CBA1501	85	867917	
Thermoproteus thermophilus	CBA1502	85	867916	
Thermococcus alcaliphilus	AEDII12 	85	139207	
Thermococcus waiotapuensis	WT1	85	90909	
Staphylothermus hellenicus	P8	85	84599	GCA_000092465.1
Thermosphaera aggregans	M11TL	85	54254	GCA_000092185.1
Thermodesulfobacterium geofontis	OPF15 	83	1295609	GCA_000215975.1
Archaeoglobus fulgidus	VC-16	83	2234	GCA_000008665.1
Methanocaldococcus bathoardescens	JH146	82	1301915	GCA_000739065.1
Archaeoglobus profundus	AV18	82	84156	GCA_000025285.1
Thermotoga neapolitana	NS-E	80	2337	GCA_000018945.1
Thermotoga maritima	MSB8 	80	2336	GCA_000230655.3
Palaeococcus pacificus	DY20341	80	1343739	GCA_000725425.1
Methanocaldococcus villosus	KIN24-T80	80	1069083	
Thermococcus onnurineus	NA1	80	523850	GCA_000018365.1
Acidianus manzaensis	NA-1	80	282676	GCA_002116695.1
Thermococcus profundus	DT5432	80	49899	GCA_002214585.1
Caldicellulosiruptor changbaiensis	CBS-Z	75	1222016	GCA_003999255.1
Pseudothermotoga hypogea	SEBR 7054	70	57487	GCA_000816145.1
Sulfurisphaera javensis	KD-1	82,5	2049879	
Acidilobus saccharovorans	345-15	82,5	666510	GCA_000144915.1
Zestosphaera tikiterensis	NZ3	82,5	1973259	
Caldicellulosiruptor bescii	Z-1320	79	31899	GCA_000022325.1
Fervidobacterium changbaicum	CBS-1	77,5	310769	
Thermocrinis albus	HI 11/12 	85	136094	GCA_000025605.1
Vulcanisaeta souniana	IC-059	85	164452	
Methanocaldococcus infernus	ME	85	573063	GCA_000092305.1
Acidilobus sulfurireducens	18D70	81	411357	
Thermocrinis ruber	OC 1/4 	80	75906	GCA_000512735.1
Methanocaldococcus vulcanius	M7	80	579137	GCA_000024625.1
Stygiolobus azoricus	FC6	80	41675	GCA_009729035.1
Palaeococcus ferrophilus	DMJ	83	83868	
Thermotoga petrophila	RKU-1	80	390874	GCA_000016785.1
Thermococcus sibiricus	MM739	78	172049	GCA_000022545.1
Fervidobacterium thailandense	FC2004	79	1008305	
Thermovibrio guaymasensis	SL19	77,5	240167	
Saccharolobus solfataricus	NBRC 15331	85	2287	GCA_900079115.1
Archaeoglobus lithotrophicus	TF2	80	138903	
Acidianus ambivalens	Lei 10	80	2283	GCA_009729015.1
Methanocaldococcus indicus	SL43	85	213231	
Methanocaldococcus jannaschii	JAL-1	85	2190	GCA_000091665.1
Thermotoga naphthophila	 RKU-10	80	-1	GCA_000025105.1
Thermothrix azorensis	TM	77	48383	
Geoglobus acetivorans	SBH6	81	565033	GCA_000789255.1
Thermocrinis jamiesonii	GBS1	80	1302351	
Thermococcus celericrescens	TS2	80	227598	
Palaeococcus helgesonii	PI1	80	207243	
Sulfurisphaera tokodaii	7	80	111955	GCA_000011205.1
Archaeoglobus veneficus	SNP6	80	693661	GCA_000194625.1
Caldicellulosiruptor obsidiansis	OB47 	78	717609	GCA_000145215.1
Hydrogenobacter subterraneus	HGP1	78	92642	
Thermocrinis minervae	CR11	75	381751	
Desulfurobacterium pacificum	SL17	75	240166	
Sulfolobus acidocaldarius	NBRC 15157	72,5	2285	GCA_000012285.1
Caldicoprobacter guelmensis	D2C22	65	1170224	
Thermococcus zilligii	DSM2770 	77,5	54076	
Hydrogenivirga okinawensis	LS12-2	72,5	345592	
Thermus thermophilus	HB8	68,5	300852	GCA_002355995.1
Fervidicoccus fontis	Kam940	67,5	1163730	GCA_000258425.1
Desulfotomaculum kuznetsovii	17	62,5	-1	
Pseudothermotoga thermarum	LA3	70	119394	GCA_000217815.1
Calditerricola satsumensis	YMO81	78	373054	
Acidianus sulfidivorans	JP7	74	619593	GCA_003201765.1
Methanotorris formicicus	Mc-S-70	70	647171	
Caldicellulosiruptor kristjanssonii	I77R1B	78	-1	GCA_000166695.1
Ammonifex thiophilus	SR	75	444093	
Caldimicrobium rimae	DS	75	444091	
Thermocladium modestius	1C-125	75	62609	
Caldicellulosiruptor kronotskyensis	2002	70	632348	GCA_000166775.1
Thermodesulfobacterium commune	YSRA-1 	70	1741	GCA_000734015.1
Hydrogenobacter hydrogenophilus	 INMIZ-829	75	35835	
Calditerricola yamamurae	YMO722	72	448141	
Thermovorax subterraneus	70B 	71	496831	
Dictyoglomus thermophilum	H-6-12	78	309799	GCA_000020965.1
Phorcysia thermohydrogeniphila	HB-8 	75	936138	
Sulfurihydrogenibium rodmanii	UZ3-5	75	380763	
Thermovibrio ammonificans	HB-1 	75	228745	GCA_000185805.1
Thermovibrio ruber	ED11/3LLK 	75	171869	
Thermodesulfobacterium hydrogeniphilum	SL6	75	161156	
Caldicellulosiruptor owensensis	OL	75	632518	GCA_000166335.1
Archaeoglobus sulfaticallidus	PM70-1	75	387631	GCA_000385565.1
Metallosphaera prunae	Ron 12/II	75	47304	
Metallosphaera sedula	TH2	75	43687	GCA_000016605.1
Persephonella marina	EX-H1	73	123214	GCA_000021565.1
Thermosipho japonicus	IHB1	72	90323	
Thermoanaerobacter pentosaceus	DTU01	70	694059	
Fervidicola ferrireducens	Y170	70	520764	
Thermus parvatiensis	RL	70	456163	GCA_001535545.1
Vulcanithermus mediatlanticus	TR	70	206045	
Thermaerobacter subterraneus	C21	70	175696	
Thermodesulfatator indicus	CIR29812	70	171695	GCA_000217795.1
Thermosipho melanesiensis	BI429	70	391009	GCA_000016905.1
Caldicellulosiruptor saccharolyticus	Tp8T 6331	70	44001	GCA_000016545.1
Methanothermobacter tenebrarum	M.O.H.	70	680118	
Acidianus tengchongensis	S5 	70	146920	
Metallosphaera hakonensis	HO1-1	70	79601	GCA_003201675.1
Kosmotoga olearia	TBF 19.5.1	65	521045	GCA_000023325.1
Fervidobacterium riparium	1445t	65	548918	
Caldicellulosiruptor hydrothermalis	108	65	632292	GCA_000166355.1
Thermosipho atlanticus	DV1140	65	238991	
Hydrogenothermus marinus	VM1	65	133270	
Thermoanaerobacter acetoethylicus	 HTB2	65	2704	
Fervidobacterium islandicum	H21	65	2423	GCA_000767275.3
Methanothermobacter crinale	Tm2	60	1045764	
Thermaerobacter marianensis	7p75a	75	73919	GCA_000184705.1
Rhodothermus profundi	PRI 2902	72,5	633813	
Desulfurobacterium atlanticum	SL22	72,5	240169	
Balnearium lithotrophicum	17S	72,5	223788	
Thermoanaerobacter italicus	Ab9	72,5	580331	GCA_000025645.1
Thermomicrobium roseum	ATCC 27502	72,5	500	GCA_000021685.1
Caldisphaera lagunensis	IC-154	72,5	200415	GCA_000317795.1
Thermus composti	K-39	70	532059	
Thermus filiformis	Wai33 AI 	71,5	276	
Desulfovirgula thermocuniculi	RL80JIV	70,5	348842	
Thermodesulfatator autotrophicus	S606	67,5	1795632	
Thermus antranikianii	HN3-7 	67,5	88190	
Thermus igniterrae	RF-4 	67,5	88189	
Fervidobacterium gondwanense	AB39	66,5	44754	
Thermaerobacter composti	NI80	70	554949	
Fervidobacterium nodosum	Rt17-B	70	2424	GCA_000017545.1
Thermus aquaticus	YT-1	70	271	GCA_001399775.1
Thermus islandicus	PRI3838	65	540988	
Caldisphaera draconis	18U65	71	671066	
Kosmotoga pacifica	SLHLJ1	70	1330330	
Thermosulfidibacter takaii	ABI70S6	70	1298851	GCA_001547735.1
Thermolithobacter carboxydivorans	R1	70	335383	
Thermaerobacter litoralis	KW1	70	317015	
Sulfurihydrogenibium yellowstonense	SS-5	70	432331	
Thermaerobacter nagasakiensis	Ts1a 	70	159723	
Thermoanaerobacter ethanolicus	JW200	69	1757	GCA_003722315.1
Caldicellulosiruptor lactoaceticus	6A	68	-1	GCA_000193435.3
Geobacillus thermocatenulatus	DSM 730	70	33938	GCA_002243665.1
Carboxydothermus hydrogenoformans	Z-2901	71	246194	GCA_000012865.1
Thermoanaerobacter siderophilus	SR4	70	880478	
Thermus yunnanensis	RHY12-2 	67,5	266825	
Caldicellulosiruptor acetigenus	X6B	66,5	301953	
Thermoanaerobacter wiegelii	Rt8.B1	66,5	697303	GCA_000147695.3
Brockia lithotrophica	Kam1851 	62,5	933949	
Hydrogenivirga caldilitoris	AB120294	75	246264	
Hydrogenobaculum acidophilum	 3H-1	65	34092	
Hydrogenobacter thermophilus	TK-56	72,5	940	GCA_000010785.1
Caldimicrobium thiodismutans	TF1	75	1653476	GCA_001548275.1
Thermosipho africanus	Ob7	75	344616	GCA_000021285.1
Caldicoprobacter oshimai	JW/HY-331	70	551788	
Thermus arciformis	TH92	70	482827	
Ammonifex degensii	KC4	70	429009	GCA_000024605.1
Rhodothermus marinus	DSM 4252 	65	29549	GCA_000024845.1
Thermothrix thiopara	ATCC 29244	71,5	48382	
Desulfurella multipotens	RH-8	59	79269	
Thermosediminibacter oceani	JW/IW-1228P	64	291990	GCA_000144645.1
Thermosediminibacter litoriperuensis	JW/YJL-1230-7/2 	64	291989	
Thermorudis pharmacophila	WKT50.2	70,5	1167092	
Thermovenabulum ferriorganovorum	Z-9801	64	159731	
Thermolithobacter ferrireducens	JW/KA-2	73	416555	
Hydrogenobacter halophilus	TH-112	70	2547829	
Geobacillus galactosidasius	CF1B	70	-1	
Thermosipho affectus	ik275mar	70	660294	
Venenivibrio stagnispumantis	CP.B2	70	407998	
Persephonella guaymasensis	EX-H2	70	182900	
Thermosipho geolei	SL31	70	117503	
Desulfurobacterium thermolithotrophum	BSAT	70	64160	GCA_000191045.1
Pseudothermotoga subterranea	SL1	70	39100	
Metallosphaera tengchongensis	Ric-A	70	1532350	
Archaeoglobus infectus	Arc51	70	403219	
Aciduliprofundum boonei	T469	70	439481	GCA_000025665.1
Acidianus brierleyi	DSM 3191	70	41673	GCA_003201835.1
Thermosipho globiformans	MN14	68	380685	
Thermosulfuriphilus ammonigenes	ST65	65	1936021	
Desulfurobacterium indicum	K6013	65	1914305	
Thermosipho activus	Rift-s3 	65	1462921	
Thermohydrogenium kirishiense	ZE-7	65	937254	
Caldanaerobacter subterraneus	ATCC BAA-225	65	911092	GCA_000007085.1
Rhabdothermus arcticus	2M70-1	65	874266	
Caldicoprobacter algeriensis	TH7C1	65	699281	
Caldinitratiruptor microaerophilus	CA62N	65	671077	
Kosmotoga shengliensis	2SM-2	65	501340	
Pseudothermotoga lettingae	TMO	65	416591	GCA_000017865.1
Parageobacillus caldoxylosilyticus	S1812	65	81408	
Metallosphaera cuprina	Ar-4	65	1006006	GCA_000204925.1
Methanobacterium thermaggregans	DSM 3266	65	83982	
Sulfolobus metallicus	Kra 23	65	-1	
Coprothermobacter proteolyticus	BT	63	35786	GCA_000020945.1
Desulfotomaculum thermocisternum	ST90	62	-1	
Hippea alviniae	EP5-r	60	944480	
Deferribacter autotrophicus	SL50	60	500465	
Anoxybacillus mongoliensis	T4	60	452565	
Thermoanaerobacterium thermosulfurigenes	4BT	60	33950	
Planifilum composti	P8	55	1108801	
Anoxybacillus tengchongensis	T-11	50	576944	
Thermoflexus hugenholtzii	JAD2	73,75	877466	
Thermoanaerobacter mathranii	A3	72,5	583357	GCA_000092965.1
Caldicoprobacter faecalis	DSM 20678	71,5	937334	
Caldanaerobacter uzonensis	K67	69	447594	
Thermodesulfatator atlanticus	AT1325 	67,5	501497	
Methanothermobacter thermautotrophicus	DH	67,5	145262	GCA_000008645.1
Thermus thermamylovorans	CFH 72773	65	2509362	
Planifilum yunnanense	 LA5	65	337094	
Ardenticatena maritima	110S	62,5	872965	
Geobacillus icigianus	G1w1	62,5	1430331	
Desulfotomaculum salinum	435	62,5	-1	
Caloramator indicus	IndiB4	62,5	33957	
Methanothermococcus okinawensis	IH1 	62,5	155863	GCA_000179575.2
Thermoanaerobacter sulfurophilus	L-64	57,5	74714	
Thermoanaerobacter brockii	Thermoanaerobacter brockii	57,5	29323	GCA_000175295.2
Polycladomyces subterraneus	KSR 13	52,5	1016997	
Carboxydothermus ferrireducens	JW/AS-Y7 	65	54265	
Thermodesulforhabdus norvegica	A8444	60	39841	
Thermoanaerobacter thermocopriae	JT3-3	60	29350	
Methanothermobacter wolfeii	ATCC43096	55	145261	GCA_900095815.1
Desulfotomaculum australicum	AB33 	68	-1	
Thermodesulfobacterium hveragerdense	JSP	72	53424	
Thermogemmatispora foliorum	ONI-5 	62,5	732235	
Thermogemmatispora onikobensis	ONI-1 	62,5	732234	
Thermanaeromonas toyohensis	 ToBE	70	161154	
Sulfurihydrogenibium kristjanssonii	I6628	68	460873	
Chthonomonas calidirosea	T49	68	1303518	
Sulfurihydrogenibium azorense	Az-Fu1	68	204536	GCA_000021545.1
Thermus kawarayensis	KW11	68	171864	
Thermus scotoductus	SE-1	65	37636	GCA_000187005.1
Spirochaeta thermophila	 Z-1203	67	154	GCA_000184345.2
Polycladomyces abyssicola	JIR-001	57,5	1125966	
Desulfurella acetivorans	Desulfurella acetivorans	54,5	33002	GCA_000517565.1
Persephonella hydrogeniphila	29W	70	198703	
Marinithermus hydrothermalis	T1	67,5	186192	GCA_000195335.1
Pseudothermotoga elfii	SEBR 6459	66	38322	GCA_000504085.1
Thermoanaerobacter kivui	LKT-1	66	2325	GCA_000763575.1
Thermodesulfitimonas autotrophica	SF97	65	1894989	
Thermotoga profunda	AZM34c06	60	1408160	GCA_000828675.1
Thermotoga caldifontis	AZM44c09T	60	1508419	GCA_000828655.1
Geobacillus vulcani	3s-1	60	135517	
Caldanaerobius zeae	mel2	67,5	160792	
Caldanaerobius polysaccharolyticus	KMTHCJ	66,5	44256	
Thermoanaerobacter sulfurigignens	JW/SL-NZ826	65	120958	
Desulfotomaculum thermosubterraneum	RL50JIII 	63,5	-1	
Hippea jasoniae	Mar08-272r	62,5	944479	
Anoxybacillus flavithermus	DSM 2641	62,5	33934	GCA_000019045.1
Geobacillus kaustophilus	ATCC 8005	62,5	1462	GCA_005160065.1
Anoxybacter fermentans	DY22613	61	1323375	GCA_003991135.1
Limisphaera ngatamarikiensis	NGM72.4 	62,5	1324935	
Thermomicrobium carboxidum	KI3 	70	1401547	
Marinitoga arctica	2PyrY55-1	65	1862713	
Streptomyces thermoautotrophicus	UBT1	65	-1	
Thermorudis peleae	KI4	65	1382356	
Thermus caliditerrae	YIM 77925 	65	1330700	
Moorella stamsii	E3-O	65	1266720	
Thermanaeromonas burensis	IA106	65	1226730	
Thermus tengchongensis	YIM 77924 	65	1214928	
Carboxydothermus pertinax	Ug1	65	870242	
Caldisericum exile	AZM16c01	65	511051	GCA_000284335.1
Moorella humiferrea	64-FGQ	65	676965	
Carboxydothermus islandicus	SET IS-9 	65	661089	
Thermovenabulum gondwanense	R270 	65	520767	
Carboxydothermus siderophilus	1315	65	441616	
Thermodesulfovibrio hydrogeniphilus	Hbr5	65	412896	
Moorella mulderi	TMS	65	202604	
Marinitoga piezophila	KA3	65	443254	GCA_000255135.1
Thermohalobacter berrensis	CTT3	65	99594	
Thermodesulfovibrio islandicus	R1Ha3	65	53423	
Conexivisphaera calidus	NAS-02	65	-1	
Methermicoccus shengliensis	ZC-1	65	660064	
Methanothermococcus thermolithotrophicus	SN-1	62,5	2186	
Dissulfuribacter thermophilus	S69	61	1156395	
Thermus caldifontis	YIM 73026	60	1930763	
Deferrisoma palaeochoriense	MAG-PB1	60	1573172	
Caloranaerobacter ferrireducens	DY22619 	60	1323370	
Anoxybacillus kaynarcensis	D1021	60	1173302	
Thermosyntropha tengcongensis	L-60	60	873078	
Thermolongibacillus kozakliensis	E173a 	60	575186	
Marinitoga litoralis	MC3	60	570855	
Caloramator australicus	RC3	60	857293	
Caldibacillus debilis	Tf	60	301148	
Carboxydocella sporoproducens	Kar	60	285110	
Thermoleophilum minutum	YS-4	60	192994	
Caldithrix abyssi	LF13 	60	187145	GCA_001886815.1
Rubrobacter taiwanensis	LS-293	60	185139	
Caminibacter hydrogeniphilus	AM1116	60	152526	
Thermodesulfovibrio aggregans	TGE-P1 	60	86166	
Thermoleophilum album	HS-5	60	29539	
Thermoanaerobacterium xylanolyticum	LX-11 	60	29329	GCA_000189775.3
Thermoanaerobacterium saccharolyticum	B6A-RI 	60	28896	
Methanothermobacter marburgensis	Marburg 	60	145263	GCA_000145295.1
Anaerobranca californiensis	PAOHA-1	58	182411	
Desulfothermobacter acidiphilus	Amm 3408-1	55	1938353	
Brassicibacter thermophilus	Cel2f 	55	1548890	
Fonticella tunisiensis	BELH25	55	1096341	
Microaerobacter geothermalis	Nad S1	55	674972	
Anoxybacillus eryuanensis	E-112	55	651866	
Thermolongibacillus altinsuensis	E265 	55	575256	
Anoxybacillus calidus	C161ab	55	575178	
Caminibacter mediatlanticus	TB-2	55	391592	
Meiothermus taiwanensis	WR-30	55	172827	
Desulfotomaculum nigrificans	ATCC 19998	55	1565	GCA_000214435.1
Methanothermobacter thermoflexus	IDZ	55	49340	
Desulfurella kamchatkensis	K-119	54	79270	
Bacillus thermophilus	SgZ-10	50	-1	
Anoxybacillus ayderensis	AB04	50	265546	
Sulfodiicoccus acidiphilus	HS-1	67,5	1670455	GCA_003967175.1
Thermosyntropha lipolytica	JW/VS-265	63	54294	
Thermus amyloliquefaciens	YIM77409	62,5	1449080	
Alicyclobacillus acidocaldarius	104-1A	62,5	405212	GCA_000024285.1
Deferribacter desulfuricans	BMA	62,5	197162	GCA_000010985.1
Sulfurihydrogenibium subterraneum	HGMK1	62,5	171121	
Thermanaerovibrio velox	 Z-9701	62,5	108007	
Meiothermus ruber	21	62,5	277	GCA_000024425.1
Geobacillus thermoleovorans	ATCC 43513	60	33941	GCA_001610955.1
Geobacillus thermodenitrificans	DSM 465	57,5	33940	GCA_000015745.1
Carboxydocella manganica	SLM 61	59	744873	
Thermincola ferriacetica	Z-0001	58,5	281456	
Cetia pacifica	TB-6	57,5	-1	
Moorella perchloratireducens	An10 	57,5	411923	
Marinitoga okinawensis	TFS10-5	57,5	389480	
Anoxybacillus gonensis	G2	57,5	198467	GCA_001187595.1
Geobacillus lituanicus	N-3	57,5	169283	
Methanothrix thermoacetophila	PT	57,5	349307	
Oceanotoga teriensis	27303	56,5	515440	
Moorella thermoautotrophica	JW 701/3	56,5	-1	
Marinitoga lauensis	LG1	52,5	2201189	
Bacillus manusensis	Ma50-6	52,5	2078954	
Anoxybacillus kestanbolensis	K4	52,5	227476	
Pyrinomonas methylaliphatogenes	K22	65	454194	
Anoxybacillus bogrovensis	BT 13	65	409997	
Thermoanaerobacter uzonensis	JW/IW010	61	447593	
Anoxybacillus salavatliensis	A343	60	771855	
Desulfothermus naphthae	TD3	62,5	392844	
Thermoanaerobacterium thermosaccharolyticum	ATCC 7956	58,5	1517	GCA_000145615.1
Inmirania thermothiophila	S2479	65	1750597	
Calderihabitans maritimus	KKC1	65	1246530	
Thermosinus carboxydivorans	Nor1	60	401526	
Oceanithermus profundus	506	60	187137	GCA_000183745.1
Halothermothrix orenii	H168	60	31909	GCA_000020485.1
Parageobacillus thermoglucosidasius	DSM 2542	60	1426	GCA_001295365.1
Thermogymnomonas acidicola	IC-189	60	399579	
Thermovirga lienii	Cas60314	58	336261	GCA_000233775.1
Carboxydocella thermautotrophica	41	58	178899	GCA_003054495.1
Thermostilla marina	SVX8	55	1742923	
Thermincola carboxydiphila	2204	55	278994	
Thermoanaerobacterium aciditolerans	761-119	55	242698	
Caloramator proteoclasticus	U	55	53342	
Nautilia lithotrophica	525	53	128945	
Lebetimonas acidiphila	Pd55	50	267990	
Thermoanaerobacterium calidifontis	Rx1	52,5	715028	
Rubrobacter naiadicus	RG-3	60	1392641	
Rubrobacter calidifluminis	RG-1	60	1392640	
Alicyclobacillus cellulosilyticus	Sueoka 	55	1003997	
Anoxybacillus thermarum	AF/04	65	404937	
Hydrogenophilus hirschii	Yel5a	63	85993	
Tepidimicrobium xylanilyticum	PML14	60	1123352	
Anoxybacillus kamchatkensis	JW/VK-KG4	60	196180	
Thermoplasma volcanium	GSS1	60	273116	GCA_000011185.1
Anoxybacillus rupiensis	R270	55	311460	
Anoxybacillus tepidamans	GS5-97	55	265948	
Chloroflexus aggregans	MD-66	55	152260	GCA_000021945.1
Planifilum fulgidum	500275	62,5	201973	
Caldanaerobius fijiensis	JW/YJL-F3	61,5	456330	
Desulfurispora thermophila	RA50E1 	60	265470	
Thermogutta terrifontis	R1	57,5	1331910	GCA_002277955.1
Methylothermus thermalis	MYHT	58	317575	
Anaerobranca horikoshii	JW/YL-138	57	42448	
Thermoanaerobacterium aotearoense	JW/SL-NZ613 	61,5	47490	GCA_009905255.1
Anoxybacillus vitaminiphilus	3nP4	58,5	581036	
Chloroflexus aurantiacus	J-10-fl	56	324602	GCA_000022185.1
Thermomonospora catenispora	22/03/2003	52,5	2493090	
Caloranaerobacter azorensis	MV1087	65	116090	
Parageobacillus thermantarcticus	M1	63	186116	
Methanothermobacter defluvii	ADZ	62,5	49339	
Anoxybacillus pushchinoensis	K1	62	150248	
Anoxybacillus amylolyticus	MR3C	61	294699	GCA_001634285.1
Anoxybacillus caldiproteolyticus	SF03	60	247480	
Meiothermus luteus	YIM 72257	60	2026184	
Aeribacillus composti	N.8	60	1868734	
Herbivorax saccincola	GGR1	60	-1	
Anoxybacillus geothermalis	GSsed3	60	1490051	
Thermoanaerobaculum aquaticum	MP-01	60	1312852	
Ammoniibacillus agariperforans	FAB2	60	1229250	
Kosmotoga arenicorallina	S304	60	1453497	
Caldithrix palaeochoryensis	MC	60	650508	
Thermoanaerobacterium thermostercoris	Buff	60	604099	
Caloramator boliviensis	45B	60	568790	
Symbiobacterium turbinis	KY46	60	557450	
Nautilia abyssi	PH1209	60	498371	
Petrotoga halophila	MET-B	60	301141	
Caldalkalibacillus thermarum	HA6	60	296745	
Marinitoga hydrogenitolerans	AT1271	60	287990	
Oceanithermus desulfurans	St55B	60	227924	
Deferribacter abyssi	JR	60	213806	
Desulfotomaculum solfataricum	V21	60	-1	
Symbiobacterium thermophilum	T	60	2734	GCA_000009905.1
Thermonema rossianum	NR-27	60	55505	
Deferribacter thermophilus	BMA	60	53573	
Desulfacinum infernum	BaGI	60	35837	
Picrophilus torridus	KAW 2/3	60	82076	GCA_000008265.1
Picrophilus oshimae	JCM 10054	60	46632	
Thermacetogenium phaeum	PB	58	85874	GCA_000305935.1
Moorella glycerini	JW/AS-Y6	58	55779	
Acetomicrobium flavidum	TN	58	49896	
Methanothermobacter thermophilus	M	57	49341	
Thermodesulfobium acidiphilum	 3127-1	55	1794699	GCA_003057965.1
Herbinix luporum	SD1D	55	1679721	GCA_900070325.1
Thermogemmatispora carboxidivorans	PM5	55	1382306	
Kallotenue papyrolyticum	JKG1 	55	1325125	
Keratinibaculum paraultunense	KD-1	55	1278232	
Bacillus borbori	DX-4	55	1245521	
Litorilinea aerophila	PRI-4131	55	1204385	
Defluviitoga tunisiensis	SulfLac1	55	1006576	GCA_000953715.1
