Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
lactobacillus odontolyticus	Type 2	NCTC 1407	No	tomato juice agar,37, aerobic	lemco media,37, aerobic
Brucella abortus	Weybridge IV	NCTC 1478	No	Blood agar, 37, aerobic, carbon dioxide required	Nutrient broth,37, aerobic
Corynebacterium dihptheriae var intermedius	55	NCTC 1523	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium fortuitum	Cobbett	NCTC 1542	No	glucose agar,37, aerobic	lemco broth,37, aerobic
Escherichia coli	Towne	NCTC 1601	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Rhodococcus hoagii	Foal	NCTC 1621	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Micrococcus sp.	Thaysen	NCTC 1630	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kocuria varians	Milk	NCTC 1631	No	nutrient agar,27, aerobic	nutrient broth,27, aerobic
Haemophilus haemoglobinophilus	XIII	NCTC 1659	Yes	Chocolate blood agar, 48 hours, 37°C, requires carbon dioxide	nutrient broth,37, facultative anaerobe
Burkholderia pseudomallei	Rat	NCTC 1688	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Erysipelothrix rhusiopathiae	Aberdeen	NCTC 1694	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bordetella bronchiseptica	Rahmen 78	NCTC 1704	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Morganella morganii	Palestine I	NCTC 1707	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Lactobacillus acidophilus	4 B	NCTC 1723	No	mrs media,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella multocida	Gaiger	NCTC 1737	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	C 8	NCTC 1779	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Staphylococcus aureus	Gaiger	NCTC 1803	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pasteurella multocida	01316	NCTC 1876	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella multocida	08366	NCTC 1877	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Lactobacillus acidophilus	2	NCTC 1899	No	tomato juice agar,37, facultative anaerobe	nutrient broth+serum,37, facultative anaerobe
Nocardia otitidiscaviarum	Noc II Sumatra	NCTC 1934	Yes	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Nocardia farcinica	Noc I Sumatra	NCTC 1935	No	glucose agar,37, aerobic	nutrient broth,37, aerobic
Klebsiella pneumoniae subsp. rhinoscleromatis	5 Sumatra	NCTC 1936	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Comamonas terrigena	Mudd	NCTC 1937	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, aerobic
Pseudomonas aeruginosa	Fildes III	NCTC 1999	No	nutrient agar,30, aerobic	nutrient broth,30, aerobic
Pseudomonas aeruginosa	Eyre I	NCTC 2000	No	Nutrient agar, 24 hours, 37°C, aerobic	nutrient broth,37, aerobic
Mycobacterium fortuitum	Terrapin C 3	NCTC 2006	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Clostridium botulinum	Loch Maree	NCTC 2012	No	3% neopeptone an02,37, strict anaerobe	meat broth,37, strict anaerobe
Yersinia pestis	Java	NCTC 2028	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Brucella melitensis	Chevre 83	NCTC 2065	No	Columbia Blood agar, 37C, O2, 48 hours	
Bacillus licheniformis	ATCC 8187	NCTC 2120	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Streptococcus pyogenes	SF 3	NCTC 2218	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Thompson	Thompson	NCTC 2252	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Mycobacterium marinum	Aronson	NCTC 2275	Yes	Columbia blood agar, 2-6 days, 30°C, aerobic	
Mycobacterium fortuitum	Halibut	NCTC 2291	No	blood agar,37, aerobic	nutrient broth,37, aerobic
Streptococcus pyogenes	E 3	NCTC 2366	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Enterococcus faecalis	Rettger	NCTC 2400	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pasteurella multocida	Rabbit 105	NCTC 2417	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Erysipelothrix rhusiopathiae	Solly	NCTC 2422	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Serratia marcescens	233925	NCTC 2446	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pseudotuberculosis	Turkey 324	NCTC 2477	No	nutrient agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Pasteurella multocida	Hen 1330	NCTC 2479	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Providencia rustigianii	Braun	NCTC 2481	No	nutrient agar nutrient broth,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Pasteurella multocida	Guinea-pig	NCTC 2484	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium perfringens	Steele Col 5	NCTC 2544	No	Meat broth, 24-48 hours, 37°C, anaerobic	meat broth,37, strict anaerobe
Bacillus pumilus	Ford 9	NCTC 2595	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus pumilus	Ford 10A	NCTC 2596	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus cereus	Gibson 971	NCTC 2599	Yes	Nutrient agar, 24 hours, 30°C, aerobic	nutrient broth,37, facultative anaerobe
Bacillus cereus	Ford 17	NCTC 2603	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus sphaericus	Ford 24D	NCTC 2608	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus sphaericus	Ford 25	NCTC 2609	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Bacillus circulans	Ford 26	NCTC 2610	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Brevibacillus brevis	Ford 27B	NCTC 2611	Yes	Columbia blood agar, 24-48 hours, 30°C, aerobic	nutrient broth,37, facultative anaerobe
Brevibacillus laterosporus	Ford 29	NCTC 2613	Yes	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Bacillus anthracis	Hankow hide	NCTC 2620	No	nutrient agar,37, aerobic	nutrient broth,37, aerobic
Micrococcus luteus	2665	NCTC 2665	Yes	Nutrient agar, 24-48 hours, 30°C, aerobic	nutrient broth,37, aerobic
Staphylococcus aureus	Bundaberg	NCTC 2669	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Shigella sp.	Gettings bacillus	NCTC 2670	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Kocuria rosea	ATCC 998	NCTC 2676	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Enterococcus faecalis	Hucker 15	NCTC 2705	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Pasteurella multocida	5985	NCTC 2771	No	blood agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Morganella morganii	Green-billed toucan	NCTC 2815	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Morganella morganii	Pine Snake, 1	NCTC 2818	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium perfringens	13 Zeissler	NCTC 2836	No	Blood agar,37C, strict anaerobe	Meat broth,37, strict anaerobe
Clostridium perfringens	40 Zeissler	NCTC 2837	No	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	Meat broth,37C, strict anaerobe
Serratia marcescens	K 5	NCTC 2847	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Yersinia pestis	Bombay 1	NCTC 2868	No	blood agar,30, facultative anaerobe	nutrient broth,30, facultative anaerobe
Mycobacterium fortuitum	2891	NCTC 2891	No	glucose agar,30, aerobic	nutrient broth,30, aerobic
Proteus mirabilis	Minced heart	NCTC 2896	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Clostridium novyi	Hall 140	NCTC 2908	No	meat broth,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium cochlearium	446 Ivan Hall	NCTC 2909	No	neo-peptone agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium bifermentans	50	NCTC 2914	No	2%neopeptone+blood ano2,37, strict anaerobe	viand leur ano2,37, strict anaerobe
Clostridium histolyticum	290	NCTC 2915	No	blood agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium botulinum	2447	NCTC 2916	No	blood agar ano2,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tertium	2787 Ba	NCTC 2917	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	1171	NCTC 2918	No	meat broth,37, strict anaerobe	meat brtoh,37, strict anaerobe
Clostridium tetani	TenBroeck Type I	NCTC 2933	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	TenBroeck Type II	NCTC 2934	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	TenBroeck Type III	NCTC 2935	No	blood agar,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	TenBroeck Type IV	NCTC 2936	No	meat broth,37, strict anaerobe	meat broth,37, strict anaerobe
Clostridium tetani	TenBroeck Type V	NCTC 2937	No	neo-peptone agar,37, strict anaerobe	nutrient broth,37, strict anaerobe
Clostridium tetani	TenBroeck Type VI	NCTC 2938	No	neo-peptone agar,37, strict anaerobe	meat broth,37, strict anaerobe
Lactobacillus acidophilus	Cruickshank V. 3	NCTC 2949	No	mrs media,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Shigella dysenteriae	Monkey 68	NCTC 2966	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Actinomadura pelletieri	Cullen	NCTC 3026	No	glucose agar,37, aerobic	glucose broth,37, aerobic
Salmonella enterica subsp. enterica serotype Enteritidis	OG1	NCTC 3045	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella sp.	HG 3	NCTC 3046	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Typhimurium	Glasgow H (CN 412)	NCTC 3048	No	nutrient agar,37, facultative anaerobe	nutrient broth,37, facultative anaerobe
Salmonella enterica subsp. enterica serotype Anatum	C 5	NCTC 3072	No	Nutrient agar, 24-48 hours, 37°C, aerobic	nutrient broth,37, facultative anaerobe
